item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
광주 - 남자 - -매우 불만족,Statistics,0.4,0.6,0.3,0.8,1.0,0.5,0.479,0.146,1.152
광주 - 남자 - -보통,Statistics,43.8,39.5,43.2,38.8,35.1,34.0,34.915,32.537,35.061
광주 - 남자 - -약간 만족,Statistics,35.7,35.6,31.3,38.6,36.6,41.8,35.463,34.668,36.519
광주 - 남자 - -약간 불만족,Statistics,2.9,5.4,3.1,2.3,1.3,2.4,2.506,2.185,3.034
광주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 여자 - -매우 만족,Statistics,14.1,17.5,19.0,15.5,24.7,17.7,18.912,20.227,22.184
광주 - 여자 - -매우 불만족,Statistics,0.3,0.5,0.7,0.9,0.6,0.4,0.389,0.331,1.489
광주 - 여자 - -보통,Statistics,44.8,43.3,41.4,41.6,34.7,43.1,37.037,35.472,33.777
광주 - 여자 - -약간 만족,Statistics,36.2,33.7,34.6,38.4,36.7,36.7,41.251,41.647,39.217
광주 - 여자 - -약간 불만족,Statistics,4.6,4.9,4.3,3.6,3.3,2.2,2.412,2.323,3.334
광주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - -매우 만족,Statistics,15.2,12.6,17.1,16.1,14.4,11.8,17.65,23.411,22.663
대구 - 계 - -매우 불만족,Statistics,0.5,0.4,1.0,0.9,0.5,0.5,0.195,0.717,1.033
대구 - 계 - -보통,Statistics,43.2,45.8,46.5,44.9,42.2,49.2,46.333,37.635,35.675
대구 - 계 - -약간 만족,Statistics,37.9,38.1,32.2,33.8,39.6,34.8,34.018,36.158,37.054
대구 - 계 - -약간 불만족,Statistics,3.1,3.2,3.2,4.2,3.3,3.6,1.805,2.078,3.574
대구 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 남자 - -매우 만족,Statistics,16.4,13.5,18.7,18.0,15.7,12.6,20.159,24.916,24.02
대구 - 남자 - -매우 불만족,Statistics,0.5,0.2,1.2,1.3,0.5,0.6,0.177,0.672,1.255
