item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
구미시 - 2015년 기준년가격,Statistics,,,,,34732664.0,35813760.0,32744028.0,31239828.0,30306013.0,29328743.0,25015183.0
구미시 - 당해년가격,Statistics,,,,,34732664.0,35560024.0,36068854.0,33860074.0,28938854.0,27984001.0,26380995.0
군산시 - 2015년 기준년가격,Statistics,9654449.0,9326693.0,9599624.0,9485818.0,9554687.0,9171968.0,8956245.0,8863168.0,8940629.0,8856200.0,9564488.0
군산시 - 당해년가격,Statistics,8852973.0,8667001.0,9099606.0,9129308.0,9554687.0,9399640.0,9150677.0,9098915.0,9218503.0,9357449.0,10507858.0
군위군 - 2015년 기준년가격,Statistics,,,,,764963.0,782144.0,775816.0,776092.0,758859.0,771085.0,886381.0
군위군 - 당해년가격,Statistics,,,,,764963.0,808467.0,813431.0,817747.0,802975.0,846953.0,999035.0
군포시 - 2015년 기준년가격,Statistics,5267416.0,5526437.0,5764247.0,5903872.0,6089813.0,6540181.0,6943017.0,7147930.0,7229708.0,6871563.0,6931450.0
군포시 - 당해년가격,Statistics,4891202.0,5220327.0,5518579.0,5723746.0,6089813.0,6686773.0,7259215.0,7487177.0,7536001.0,7252421.0,7329556.0
금산군 - 2015년 기준년가격,Statistics,2103319.0,2091020.0,2232788.0,2232291.0,2260575.0,2129353.0,2121520.0,2122195.0,2176148.0,2197547.0,2129409.0
금산군 - 당해년가격,Statistics,1956226.0,1991149.0,2123752.0,2137767.0,2260575.0,2182095.0,2159249.0,2176282.0,2279225.0,2359964.0,2310879.0
금정구 - 2015년 기준년가격,Statistics,3818692.0,3973970.0,4106499.0,4548869.0,4332302.0,4238552.0,4431662.0,4250349.0,4315413.0,3999605.0,4211580.0
금정구 - 당해년가격,Statistics,3675106.0,3823146.0,3942938.0,4396536.0,4332302.0,4350242.0,4619023.0,4492619.0,4626781.0,4367027.0,4656596.0
금천구 - 2015년 기준년가격,Statistics,14582933.0,15306673.0,15181551.0,14730324.0,14953994.0,15428330.0,15700657.0,16287912.0,16745777.0,16047698.0,16224045.0
금천구 - 당해년가격,Statistics,13589560.0,14513295.0,14541512.0,14234518.0,14953994.0,15751878.0,16385145.0,17162843.0,17614623.0,17221771.0,17801015.0
기장군 - 2015년 기준년가격,Statistics,3683022.0,3937036.0,4223924.0,5135747.0,5258037.0,5308488.0,5148253.0,5530633.0,5660392.0,6206758.0,6635271.0
기장군 - 당해년가격,Statistics,2989053.0,3259598.0,3732435.0,4726735.0,5258037.0,5560120.0,5111724.0,5437095.0,5624192.0,6368873.0,6587541.0
김제시 - 2015년 기준년가격,Statistics,2301994.0,2247937.0,2445208.0,2432547.0,2546005.0,2567381.0,2654601.0,2656453.0,2769441.0,2835561.0,2944384.0
김제시 - 당해년가격,Statistics,2169160.0,2134504.0,2338487.0,2375718.0,2546005.0,2650473.0,2792260.0,2804379.0,2928412.0,3088783.0,3288996.0
김천시 - 2015년 기준년가격,Statistics,,,,,4964756.0,5119433.0,5038723.0,5200107.0,5111014.0,5126081.0,5164176.0
김천시 - 당해년가격,Statistics,,,,,4964756.0,5278287.0,5287573.0,5528117.0,5457629.0,5654517.0,5812964.0
김포시 - 2015년 기준년가격,Statistics,8999550.0,9016658.0,9147586.0,9682183.0,10288273.0,11140979.0,11834498.0,12607690.0,13065223.0,13228221.0,13822006.0
김포시 - 당해년가격,Statistics,8443373.0,8584539.0,8810712.0,9401445.0,10288273.0,11420305.0,12273913.0,13296398.0,13970412.0,14369720.0,15460054.0
김해시 - 2015년 기준년가격,Statistics,,,,,15064592.0,14904689.0,15227001.0,15208882.0,15235242.0,14456487.0,14461531.0
김해시 - 당해년가격,Statistics,,,,,15064592.0,15229177.0,15681224.0,15827827.0,16058319.0,15604555.0,15627489.0
나주시 - 2015년 기준년가격,Statistics,2642315.0,2548657.0,2917652.0,3608914.0,3842302.0,3968510.0,4109893.0,4181659.0,4597770.0,4533880.0,4698462.0
나주시 - 당해년가격,Statistics,2447756.0,2421383.0,2776452.0,3504818.0,3842302.0,4061975.0,4286389.0,4381126.0,4903816.0,4976771.0,5380719.0
남구 - 2015년 기준년가격,Statistics,4200219.0,4408774.0,4352813.0,4700907.0,5314016.0,5453376.0,5890530.0,5871329.0,5865608.0,6390904.0,6650218.0
남구 - 당해년가격,Statistics,4058632.0,4316404.0,4325921.0,4691424.0,5314016.0,5286229.0,5772151.0,5708284.0,5649213.0,6155947.0,7907772.0
남동구 - 2015년 기준년가격,Statistics,,,,,15137036.0,15158934.0,15701016.0,15289650.0,15388198.0,15556773.0,16452589.0
남동구 - 당해년가격,Statistics,,,,,15137036.0,15503392.0,16342258.0,16079177.0,16240920.0,16456077.0,17562722.0
남양주시 - 2015년 기준년가격,Statistics,6843195.0,7972802.0,8113247.0,7833276.0,8400958.0,9118680.0,9767455.0,10397099.0,10765280.0,11662225.0,11859368.0
남양주시 - 당해년가격,Statistics,6296169.0,7470922.0,7715539.0,7592522.0,8400958.0,9327965.0,10154496.0,10974908.0,11526940.0,12682583.0,13099866.0
남원시 - 2015년 기준년가격,Statistics,1594954.0,1631776.0,1688054.0,1675117.0,1592415.0,1565311.0,1520145.0,1549051.0,1659301.0,1598341.0,1650211.0
남원시 - 당해년가격,Statistics,1466472.0,1523681.0,1619540.0,1631701.0,1592415.0,1606591.0,1594437.0,1644180.0,1763497.0,1782256.0,1911878.0
남해군 - 2015년 기준년가격,Statistics,,,,,977764.0,1020028.0,1011956.0,1038179.0,1061836.0,1043119.0,1051472.0
남해군 - 당해년가격,Statistics,,,,,977764.0,1017806.0,1062429.0,1102116.0,1123864.0,1134093.0,1176264.0
노원구 - 2015년 기준년가격,Statistics,5782551.0,5596591.0,5566977.0,5585382.0,5606176.0,5781399.0,6008729.0,6089681.0,6236040.0,5973903.0,6193137.0
노원구 - 당해년가격,Statistics,5254223.0,5200159.0,5255627.0,5399253.0,5606176.0,5901669.0,6239829.0,6387713.0,6620672.0,6438328.0,6728358.0
논산시 - 2015년 기준년가격,Statistics,3203642.0,3149008.0,3385062.0,3397629.0,3539582.0,3555583.0,3505861.0,3574104.0,3833843.0,4045340.0,3901652.0
논산시 - 당해년가격,Statistics,3003438.0,3003750.0,3247024.0,3305561.0,3539582.0,3663996.0,3662308.0,3790489.0,4080662.0,4439047.0,4401371.0
단양군 - 2015년 기준년가격,Statistics,988737.0,1002805.0,982930.0,1052729.0,1136012.0,1156723.0,1171303.0,1172473.0,1116303.0,1134782.0,1146820.0
단양군 - 당해년가격,Statistics,892605.0,931569.0,922926.0,1010332.0,1136012.0,1184616.0,1194744.0,1197263.0,1159310.0,1165485.0,1193247.0
달서구 - 2015년 기준년가격,Statistics,,,,,11014202.0,10963071.0,10995266.0,11159079.0,11498434.0,10995447.0,11890871.0
달서구 - 당해년가격,Statistics,,,,,11014202.0,11277453.0,11388929.0,11620034.0,12090472.0,11708977.0,12790786.0
달성군 - 2015년 기준년가격,Statistics,,,,,7116825.0,7178298.0,7067326.0,7268108.0,7012118.0,6777146.0,8077379.0
달성군 - 당해년가격,Statistics,,,,,7116825.0,7432311.0,7336778.0,7589674.0,7433594.0,7213212.0,8535736.0
담양군 - 2015년 기준년가격,Statistics,1020226.0,1062154.0,1081382.0,1098803.0,1219135.0,1249375.0,1228997.0,1245963.0,1320027.0,1407297.0,1384673.0
담양군 - 당해년가격,Statistics,960983.0,1013184.0,1038931.0,1068561.0,1219135.0,1279622.0,1255817.0,1338706.0,1424619.0,1550518.0,1552619.0
당진시 - 2015년 기준년가격,Statistics,,10388702.0,10819760.0,11507278.0,11675103.0,11023966.0,11456653.0,11723086.0,11472335.0,11441406.0,11837833.0
당진시 - 당해년가격,Statistics,,9837797.0,10403145.0,11160577.0,11675103.0,11358068.0,11479492.0,11630730.0,11384432.0,11733515.0,13246669.0
대구광역시 - 2015년 기준년가격,Statistics,,,,,51822013.0,51823902.0,52721214.0,53964991.0,54762237.0,53668577.0,56017462.0
대구광역시 - 당해년가격,Statistics,,,,,51822013.0,53167211.0,54832958.0,56714479.0,58094694.0,57725389.0,60987154.0
대덕구 - 2015년 기준년가격,Statistics,,,,,7659692.0,7749327.0,7498908.0,7014147.0,7236221.0,7222836.0,7527843.0
대덕구 - 당해년가격,Statistics,,,,,7659692.0,8000787.0,7699618.0,7280039.0,7585213.0,7713470.0,8067394.0
대전광역시 - 2015년 기준년가격,Statistics,,,,,37162614.0,38456557.0,38772485.0,39135729.0,40684092.0,41208249.0,42500095.0
대전광역시 - 당해년가격,Statistics,,,,,37162614.0,39335023.0,40537224.0,41308348.0,43092218.0,44393136.0,46716590.0
도봉구 - 2015년 기준년가격,Statistics,2970708.0,2952452.0,2948645.0,2967107.0,2906723.0,3042411.0,3201186.0,3196705.0,3208282.0,3239063.0,3212809.0
도봉구 - 당해년가격,Statistics,2680341.0,2730446.0,2778965.0,2864374.0,2906723.0,3116564.0,3325320.0,3352742.0,3404872.0,3499358.0,3490683.0
동구 - 2015년 기준년가격,Statistics,3574194.0,3869415.0,4553394.0,3082043.0,4203262.0,4106300.0,4423362.0,4209432.0,4264091.0,3535620.0,3481614.0
동구 - 당해년가격,Statistics,3327930.0,3613104.0,4262499.0,2919480.0,4203262.0,4210995.0,4731722.0,4552679.0,4768625.0,4098015.0,4360438.0
동대문구 - 2015년 기준년가격,Statistics,6524806.0,6757866.0,6785837.0,6749342.0,6589147.0,6998347.0,6934645.0,6940198.0,7078663.0,6847365.0,7065684.0
