item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
광주 - 계 - 매우 안전,Statistics,,0.7,0.9,0.3,0.5,0.5,3.92,3.834,2.085
광주 - 계 - 매우 안전하지 않음,Statistics,6.5,7.5,6.0,11.1,8.1,4.1,1.853,2.818,4.081
광주 - 계 - 보통,Statistics,38.1,47.3,45.9,39.4,40.5,44.6,44.478,46.139,43.736
광주 - 계 - 비교적 안전,Statistics,8.4,8.7,11.6,4.4,7.8,15.5,33.11,24.62,25.734
광주 - 계 - 비교적 안전하지 않음,Statistics,47.0,35.7,35.7,44.9,43.1,35.3,16.639,22.589,24.364
광주 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 남자 - 매우 안전,Statistics,,1.0,1.2,0.5,0.7,1.0,4.359,4.468,2.576
광주 - 남자 - 매우 안전하지 않음,Statistics,6.5,7.4,4.8,10.8,7.6,3.7,2.035,2.303,3.365
광주 - 남자 - 보통,Statistics,40.3,48.8,48.3,41.3,42.9,43.8,43.905,46.099,43.028
광주 - 남자 - 비교적 안전,Statistics,9.2,10.3,14.3,5.5,8.9,19.4,37.162,26.343,30.028
광주 - 남자 - 비교적 안전하지 않음,Statistics,44.0,32.5,31.4,41.9,39.9,32.0,12.539,20.788,21.003
광주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 여자 - 매우 안전,Statistics,,0.5,0.5,0.2,0.3,0.1,3.502,3.228,1.607
광주 - 여자 - 매우 안전하지 않음,Statistics,6.6,7.6,7.1,11.4,8.5,4.5,1.68,3.311,4.779
광주 - 여자 - 보통,Statistics,36.0,46.0,43.6,37.5,38.3,45.3,45.023,46.178,44.426
광주 - 여자 - 비교적 안전,Statistics,7.6,7.2,9.0,3.2,6.7,11.9,29.258,22.972,21.552
광주 - 여자 - 비교적 안전하지 않음,Statistics,49.8,38.7,39.7,47.7,46.2,38.2,20.537,24.312,27.637
대구 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - 매우 안전,Statistics,0.1,0.1,0.4,0.6,0.4,0.5,2.242,3.471,1.577
대구 - 계 - 매우 안전하지 않음,Statistics,5.5,2.9,3.5,8.8,6.6,8.4,8.962,2.401,4.476
