item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
인천 - 계 - 정부 및 사회단체,Statistics,,,,,,,5.538,4.379,6.01
전국 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전국 - 계 - 기타,Statistics,0.5,0.3,0.4,0.3,0.1,0.1,0.044,0.034,0.065
전국 - 계 - 딸 또는 사위,Statistics,1.9,1.8,2.3,2.6,2.3,2.3,,,
전국 - 계 - 모든 자녀(아들과 딸),Statistics,25.9,26.1,27.6,27.7,27.5,27.2,,,
전국 - 계 - 부모님 스스로 해결,Statistics,46.6,48.0,48.9,50.2,52.6,55.5,69.539,71.656,71.778
전국 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,26.623,24.618,23.989
전국 - 계 - 아들(장남 포함) 또는 며느리,Statistics,10.5,11.3,9.7,9.1,8.7,7.4,,,
전국 - 계 - 장남 또는 맏며느리,Statistics,14.6,12.4,11.2,10.1,8.8,7.5,,,
전국 - 계 - 정부 및 사회단체,Statistics,,,,,,,3.794,3.693,4.169
전남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전남 - 계 - 기타,Statistics,0.5,0.1,0.6,0.4,,0.1,,,
전남 - 계 - 딸 또는 사위,Statistics,1.1,1.3,1.5,2.9,4.1,3.0,,,
전남 - 계 - 모든 자녀(아들과 딸),Statistics,23.9,27.5,27.1,32.0,29.7,26.3,,,
전남 - 계 - 부모님 스스로 해결,Statistics,43.4,45.1,42.5,39.7,42.5,47.3,61.32,67.177,63.224
전남 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,33.75,27.492,29.244
전남 - 계 - 아들(장남 포함) 또는 며느리,Statistics,15.3,11.1,10.8,10.3,9.2,10.1,,,
전남 - 계 - 장남 또는 맏며느리,Statistics,15.9,14.9,17.5,14.7,14.6,13.2,,,
전남 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.93,5.332,7.532
전북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전북 - 계 - 기타,Statistics,0.4,0.4,0.5,0.3,,,,,0.217
전북 - 계 - 딸 또는 사위,Statistics,2.0,2.3,0.8,2.8,2.6,2.3,,,
전북 - 계 - 모든 자녀(아들과 딸),Statistics,27.1,28.9,30.9,25.3,26.8,28.4,,,
전북 - 계 - 부모님 스스로 해결,Statistics,46.2,43.9,43.2,55.6,56.6,52.0,68.212,64.161,68.226
전북 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,29.006,30.878,25.875
전북 - 계 - 아들(장남 포함) 또는 며느리,Statistics,12.1,12.5,13.3,6.0,7.5,9.9,,,
전북 - 계 - 장남 또는 맏며느리,Statistics,12.2,11.9,11.3,9.9,6.5,7.5,,,
전북 - 계 - 정부 및 사회단체,Statistics,,,,,,,2.781,4.962,5.682
제주 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
제주 - 계 - 기타,Statistics,0.4,0.7,0.3,2.0,,,0.526,,
제주 - 계 - 딸 또는 사위,Statistics,2.1,1.7,2.5,1.7,0.6,2.7,,,
제주 - 계 - 모든 자녀(아들과 딸),Statistics,17.7,18.0,21.1,23.0,22.8,20.7,,,
제주 - 계 - 부모님 스스로 해결,Statistics,62.4,61.4,59.9,63.7,62.5,61.3,77.755,77.489,79.633
제주 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,16.919,18.135,16.817
제주 - 계 - 아들(장남 포함) 또는 며느리,Statistics,7.0,8.5,8.3,4.6,7.2,8.1,,,
제주 - 계 - 장남 또는 맏며느리,Statistics,10.5,9.8,7.8,5.0,6.9,7.1,,,
제주 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.8,4.376,3.55
충남 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충남 - 계 - 기타,Statistics,0.4,0.1,0.5,0.3,0.1,0.1,,,
충남 - 계 - 딸 또는 사위,Statistics,0.7,2.4,1.9,1.2,1.0,2.3,,,
충남 - 계 - 모든 자녀(아들과 딸),Statistics,21.6,24.8,29.3,28.1,24.7,30.0,,,
충남 - 계 - 부모님 스스로 해결,Statistics,54.6,45.9,48.8,48.1,57.1,49.1,69.225,72.79,73.98
충남 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,27.833,24.45,23.174
충남 - 계 - 아들(장남 포함) 또는 며느리,Statistics,8.9,13.6,9.9,9.8,8.6,9.0,,,
충남 - 계 - 장남 또는 맏며느리,Statistics,13.9,13.1,9.5,12.4,8.5,9.5,,,
충남 - 계 - 정부 및 사회단체,Statistics,,,,,,,2.942,2.76,2.847
충북 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충북 - 계 - 기타,Statistics,,1.1,0.7,0.6,0.4,0.2,,,
충북 - 계 - 딸 또는 사위,Statistics,2.7,2.4,3.0,3.0,1.6,2.6,,,
충북 - 계 - 모든 자녀(아들과 딸),Statistics,22.9,28.1,29.2,22.2,28.3,26.0,,,
충북 - 계 - 부모님 스스로 해결,Statistics,48.7,44.9,49.4,54.6,46.9,55.6,70.596,69.746,70.103
충북 - 계 - 부모님의 자녀(며느리 사위 포함) 또는 친척,Statistics,,,,,,,25.171,27.496,26.038
충북 - 계 - 아들(장남 포함) 또는 며느리,Statistics,10.9,11.9,8.1,10.2,12.3,6.5,,,
충북 - 계 - 장남 또는 맏며느리,Statistics,14.8,11.6,9.8,9.4,10.4,9.1,,,
충북 - 계 - 정부 및 사회단체,Statistics,,,,,,,4.232,2.759,3.859
