item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
곡성군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,5.1,5.3,5.2
곡성군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,104.0,111.0,115.0
곡성군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,2038.0,2104.0,2202.0
공주시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,4.0,3.9
공주시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,354.0,365.0,367.0
공주시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,8983.0,9215.0,9459.0
과천시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.2,4.2,4.2
과천시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,151.0,156.0,154.0
과천시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,3628.0,3675.0,3697.0
관악구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.4,4.5,4.6
관악구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1172.0,1178.0,1179.0
관악구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,26374.0,26105.0,25505.0
광명시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.7,4.6,4.7
광명시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,904.0,878.0,869.0
광명시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,19114.0,18990.0,18577.0
광산구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.3,4.1,3.9
광산구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1217.0,1231.0,1251.0
광산구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,28579.0,29795.0,32061.0
광양시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.4,3.3,3.2
광양시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,408.0,402.0,408.0
광양시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,11925.0,12231.0,12712.0
광주광역시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,3.0,3.3,3.4,3.7,3.7,3.8,3.9,4.0,3.9,4.0,4.1,4.1,4.0
광주광역시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,2918.0,3202.0,3407.0,3656.0,3822.0,4053.0,4214.0,4396.0,4397.0,4680.0,4887.0,4891.0,5010.0
광주광역시 - 전산업 사업체수＜br＞(B),Statistics,97111.0,97511.0,99148.0,99976.0,102386.0,105931.0,108808.0,111285.0,113424.0,116046.0,118409.0,119617.0,123706.0
광주시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.0,2.9,3.0
광주시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,785.0,794.0,835.0
광주시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,26597.0,27420.0,28195.0
광진구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.7,3.7,3.7
광진구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,904.0,909.0,916.0
광진구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,24688.0,24535.0,24445.0
괴산군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.1,3.9,4.0
괴산군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,115.0,114.0,120.0
괴산군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,2818.0,2901.0,3024.0
구례군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.7,3.8,3.6
구례군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,84.0,88.0,85.0
구례군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,2251.0,2332.0,2381.0
구로구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,2.9,2.9,3.0
구로구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1124.0,1123.0,1152.0
구로구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,38405.0,38553.0,38756.0
구리시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.2,4.3,4.2
구리시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,602.0,624.0,619.0
구리시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,14201.0,14648.0,14826.0
구미시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.5,3.5,3.4
구미시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,1221.0,1236.0,1236.0
구미시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,34719.0,35624.0,36282.0
군산시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,3.8,3.9
군산시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,854.0,852.0,867.0
군산시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,22174.0,22283.0,22440.0
군위군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.4,3.3,3.5
군위군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,64.0,64.0,70.0
군위군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,1874.0,1920.0,1976.0
군포시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.4,4.4,4.4
군포시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,765.0,774.0,783.0
군포시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,17286.0,17736.0,17973.0
금산군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.3,3.3,3.5
금산군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,192.0,197.0,209.0
금산군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,5803.0,5896.0,6054.0
금정구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.4,3.4,3.4
금정구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,611.0,618.0,612.0
금정구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,18008.0,18104.0,18025.0
금천구 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,2.2,2.1,2.1
금천구 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,692.0,685.0,713.0
금천구 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,31750.0,32472.0,33814.0
기장군 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.0,3.9,4.0
기장군 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,433.0,438.0,456.0
기장군 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,10712.0,11143.0,11509.0
김제시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,4.3,4.1,4.1
김제시 - 보건업 및 사회복지서비스업 사업체수＜br＞(A),Statistics,,,,,,,,,,,313.0,306.0,311.0
김제시 - 전산업 사업체수＜br＞(B),Statistics,,,,,,,,,,,7278.0,7468.0,7635.0
김천시 - 보건및사회복지사업체 비율＜br＞(A÷B×100),Statistics,,,,,,,,,,,3.9,3.8,4.0
