item,category,2016,2017,2018,2019,2020,2021,2022,2023
강원 태백시 - 생활안전 - 등급,Statistics,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
강원 태백시 - 자살 - 등급,Statistics,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0
강원 태백시 - 화재 - 등급,Statistics,2.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0
강원 평창군 - 감염병 - 등급,Statistics,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0
강원 평창군 - 교통사고 - 등급,Statistics,2.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0
강원 평창군 - 범죄 - 등급,Statistics,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0
강원 평창군 - 생활안전 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
강원 평창군 - 자살 - 등급,Statistics,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0
강원 평창군 - 화재 - 등급,Statistics,4.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0
강원 홍천군 - 감염병 - 등급,Statistics,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0
강원 홍천군 - 교통사고 - 등급,Statistics,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0
강원 홍천군 - 범죄 - 등급,Statistics,3.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0
강원 홍천군 - 생활안전 - 등급,Statistics,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
강원 홍천군 - 자살 - 등급,Statistics,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0
강원 홍천군 - 화재 - 등급,Statistics,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0
강원 화천군 - 감염병 - 등급,Statistics,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
강원 화천군 - 교통사고 - 등급,Statistics,1.0,2.0,1.0,5.0,5.0,5.0,1.0,3.0
강원 화천군 - 범죄 - 등급,Statistics,2.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0
강원 화천군 - 생활안전 - 등급,Statistics,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
강원 화천군 - 자살 - 등급,Statistics,3.0,2.0,3.0,2.0,5.0,3.0,4.0,5.0
강원 화천군 - 화재 - 등급,Statistics,2.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0
강원 횡성군 - 감염병 - 등급,Statistics,2.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0
강원 횡성군 - 교통사고 - 등급,Statistics,2.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0
강원 횡성군 - 범죄 - 등급,Statistics,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0
강원 횡성군 - 생활안전 - 등급,Statistics,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0
강원 횡성군 - 자살 - 등급,Statistics,4.0,2.0,3.0,2.0,4.0,4.0,5.0,3.0
강원 횡성군 - 화재 - 등급,Statistics,5.0,5.0,2.0,3.0,2.0,2.0,5.0,3.0
강원특별자치도 - 감염병 - 등급,Statistics,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0
강원특별자치도 - 교통사고 - 등급,Statistics,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
강원특별자치도 - 범죄 - 등급,Statistics,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0
강원특별자치도 - 생활안전 - 등급,Statistics,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
강원특별자치도 - 자살 - 등급,Statistics,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0
강원특별자치도 - 화재 - 등급,Statistics,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0
경기 가평군 - 감염병 - 등급,Statistics,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0
경기 가평군 - 교통사고 - 등급,Statistics,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0
경기 가평군 - 범죄 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
경기 가평군 - 생활안전 - 등급,Statistics,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
경기 가평군 - 자살 - 등급,Statistics,2.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0
경기 가평군 - 화재 - 등급,Statistics,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0
경기 고양시 - 감염병 - 등급,Statistics,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0
경기 고양시 - 교통사고 - 등급,Statistics,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
경기 고양시 - 범죄 - 등급,Statistics,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0
경기 고양시 - 생활안전 - 등급,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
경기 고양시 - 자살 - 등급,Statistics,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0
경기 고양시 - 화재 - 등급,Statistics,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0
경기 과천시 - 감염병 - 등급,Statistics,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0
경기 과천시 - 교통사고 - 등급,Statistics,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
경기 과천시 - 범죄 - 등급,Statistics,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
경기 과천시 - 생활안전 - 등급,Statistics,4.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0
경기 과천시 - 자살 - 등급,Statistics,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0
경기 과천시 - 화재 - 등급,Statistics,2.0,2.0,2.0,2.0,1.0,1.0,2.0,5.0
경기 광명시 - 감염병 - 등급,Statistics,2.0,2.0,2.0,1.0,2.0,3.0,4.0,2.0
경기 광명시 - 교통사고 - 등급,Statistics,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
경기 광명시 - 범죄 - 등급,Statistics,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0
경기 광명시 - 생활안전 - 등급,Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
경기 광명시 - 자살 - 등급,Statistics,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0
경기 광명시 - 화재 - 등급,Statistics,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0
경기 광주시 - 감염병 - 등급,Statistics,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0
경기 광주시 - 교통사고 - 등급,Statistics,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
경기 광주시 - 범죄 - 등급,Statistics,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
경기 광주시 - 생활안전 - 등급,Statistics,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
경기 광주시 - 자살 - 등급,Statistics,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
경기 광주시 - 화재 - 등급,Statistics,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
경기 구리시 - 감염병 - 등급,Statistics,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0
경기 구리시 - 교통사고 - 등급,Statistics,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
