item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
남동구 - 조혼인율 (천명당),Statistics,7.3,6.9,6.1,6.2,6.4,6.9,7.6,7.8,6.6,6.6,6.7,6.5,6.2,6.1,6.3,5.8,5.3,5.0,4.4,4.0,3.5,3.5,3.6,3.9
남양주시 - 조혼인율 (천명당),Statistics,6.3,5.7,5.7,5.8,6.0,6.5,6.6,6.1,5.6,5.9,5.8,5.5,5.6,5.1,5.1,4.7,4.1,4.1,3.8,3.4,3.4,3.5,3.2,3.6
남원시 - 조혼인율 (천명당),Statistics,4.9,4.9,4.6,4.6,4.7,4.9,4.7,4.6,4.3,4.6,4.8,4.2,4.1,3.9,3.6,3.9,3.9,3.2,3.3,2.6,2.1,2.6,2.2,2.9
남제주군 - 조혼인율 (천명당),Statistics,6.4,6.1,5.7,4.9,5.8,,,,,,,,,,,,,,,,,,,
남해군 - 조혼인율 (천명당),Statistics,3.6,3.8,3.4,3.8,3.8,4.9,4.7,3.7,3.9,3.8,3.5,3.4,3.4,3.4,2.9,2.7,2.7,2.6,2.7,2.1,1.8,2.0,2.0,2.0
노원구 - 조혼인율 (천명당),Statistics,7.0,6.6,6.2,6.1,6.0,6.4,6.5,5.9,5.5,5.8,6.2,6.1,5.8,5.5,5.5,4.9,4.4,4.1,4.0,3.8,3.4,3.5,3.3,3.5
논산시 - 조혼인율 (천명당),Statistics,5.1,4.6,5.1,4.9,5.1,5.4,5.1,5.0,4.5,5.1,5.0,4.9,4.4,4.4,4.5,4.3,4.0,4.1,3.6,3.1,2.7,3.1,3.6,3.5
단양군 - 조혼인율 (천명당),Statistics,5.2,4.2,4.5,5.0,4.9,4.7,4.4,4.5,4.2,4.9,4.8,3.7,4.4,4.1,4.1,3.7,3.8,3.5,3.4,2.3,2.8,2.4,2.3,2.4
단원구 - 조혼인율 (천명당),Statistics,,7.8,7.2,7.1,7.4,7.7,7.9,7.7,7.0,6.8,6.8,6.8,6.9,6.0,5.9,5.6,5.1,5.4,5.6,4.8,4.5,4.2,4.4,4.8
달서구 - 조혼인율 (천명당),Statistics,5.9,5.3,5.3,5.1,5.0,5.1,5.7,5.5,5.2,5.6,5.4,5.5,5.6,5.0,5.2,4.7,4.3,4.2,4.0,3.4,2.8,3.0,3.4,3.7
달성군 - 조혼인율 (천명당),Statistics,6.3,5.1,6.1,5.9,6.4,6.5,6.3,6.8,6.6,6.4,6.6,6.3,5.9,5.2,5.8,7.4,7.7,6.9,6.0,4.7,3.9,4.1,4.1,4.5
담양군 - 조혼인율 (천명당),Statistics,5.0,4.4,5.0,4.6,5.2,5.8,6.1,5.3,4.9,5.0,4.6,4.3,4.8,3.8,3.9,3.3,3.7,3.1,3.3,3.2,2.3,2.7,3.0,2.7
당진군 - 조혼인율 (천명당),Statistics,5.6,4.8,5.1,5.4,6.3,6.6,7.2,7.1,7.2,6.3,6.1,,,,,,,,,,,,,
당진시 - 조혼인율 (천명당),Statistics,,,,,,,,,,,,7.7,8.0,7.4,7.5,6.8,6.3,6.4,5.1,4.6,4.1,4.3,4.4,4.7
대구광역시 - 조혼인율 (천명당),Statistics,5.9,5.4,5.5,5.5,5.2,5.5,5.9,5.5,5.2,5.4,5.6,5.5,5.5,5.1,5.1,5.0,4.6,4.5,4.1,3.5,3.1,3.2,3.4,3.9
대덕구 - 조혼인율 (천명당),Statistics,7.3,6.6,6.4,6.2,6.1,5.9,6.3,6.2,5.8,5.9,6.1,6.0,6.2,5.7,5.5,5.1,4.5,4.4,3.8,3.6,3.7,3.9,3.1,5.4
대전광역시 - 조혼인율 (천명당),Statistics,6.8,6.5,6.3,6.2,6.2,6.5,6.6,6.4,6.0,6.3,6.5,6.5,6.3,6.0,5.8,5.5,5.1,5.0,4.5,4.1,3.7,3.9,3.6,5.6
덕양구 - 조혼인율 (천명당),Statistics,7.4,7.3,7.1,6.7,6.4,6.6,6.9,6.3,5.9,6.4,6.2,5.8,5.9,5.8,5.8,5.0,4.8,4.5,4.7,4.3,4.5,4.1,3.9,5.0
덕진구 - 조혼인율 (천명당),Statistics,6.3,5.6,5.5,5.9,5.7,5.9,6.5,6.0,5.9,6.3,6.1,5.8,6.2,5.6,5.5,5.1,4.8,5.1,5.0,4.0,3.6,3.6,3.7,4.5
도봉구 - 조혼인율 (천명당),Statistics,6.4,6.1,6.1,6.2,5.5,6.0,6.2,6.1,5.5,5.8,5.9,5.9,5.8,5.1,5.2,4.7,4.5,4.4,4.0,3.7,3.0,3.0,3.0,3.2
동구 - 조혼인율 (천명당),Statistics,6.1,6.0,5.6,5.0,4.8,5.6,5.9,5.9,5.4,5.2,5.7,5.5,5.3,5.3,4.6,4.3,4.1,4.5,4.3,4.9,4.5,3.9,4.1,4.5
동남구 - 조혼인율 (천명당),Statistics,,,,,,,,7.6,6.6,7.1,7.2,6.9,6.3,5.8,5.9,5.8,4.9,5.4,4.7,4.3,3.5,3.6,4.0,4.5
동대문구 - 조혼인율 (천명당),Statistics,6.9,6.6,6.7,6.9,6.8,6.8,7.2,6.5,6.4,6.4,6.5,6.4,6.5,5.9,6.1,5.1,4.8,5.1,4.7,4.5,3.7,3.6,3.9,4.4
