item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
구례군 - 도시지역면적,Statistics,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0,10906000.0
구로구 - 도시지역면적,Statistics,20120000.0,20119945.0,20120000.0,20120000.0,20120000.0,20120000.0,20120000.0,20120000.0,20119485.0,20119485.0,20119485.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0,20136328.0
구리시 - 도시지역면적,Statistics,33292000.0,33292000.0,33292000.0,33292001.0,33292000.0,33292000.0,33292045.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0,33292067.0
구미시 - 도시지역면적,Statistics,196426000.0,196426097.0,196426097.0,176504788.0,185660963.0,185660963.0,185660963.0,185660963.0,185660963.0,185659426.0,185781767.0,185781767.0,185781767.0,185820299.0,185821767.0,185821767.0,185821767.0,185821767.0
군산시 - 도시지역면적,Statistics,207483000.0,207483000.0,207448821.0,207448821.0,207448822.0,207448822.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0,207398894.0
군위군 - 도시지역면적,Statistics,7246000.0,7246000.0,7246000.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7443500.0,7246000.0,7246000.0,7246000.0,7246000.0,
군포시 - 도시지역면적,Statistics,36356455.0,36379999.0,36362000.0,36362000.0,36362000.0,36362000.0,36460654.0,36460654.0,36460654.0,36362000.0,36362000.0,36362000.0,36460228.0,36460228.0,36460228.0,36460323.0,36459541.0,36459541.0
금산군 - 도시지역면적,Statistics,29348000.0,29328530.0,29328530.0,29328530.0,29328530.0,29406235.0,29406235.0,29406235.0,29406235.0,29406235.0,29454111.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0,29453071.0
금정구 - 도시지역면적,Statistics,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0,65179775.0
금천구 - 도시지역면적,Statistics,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13370000.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0,13012685.0
