item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
구리시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,14201.0,14648.0,14826.0
구리시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,71.0,72.0,74.4
구리시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,200042.0,203553.0,199265.0
구미시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,34719.0,35624.0,36282.0
구미시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,82.3,84.5,86.4
구미시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,421799.0,421494.0,419742.0
군산시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,22174.0,22283.0,22440.0
군산시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,80.6,81.7,83.1
군산시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,274997.0,272645.0,270131.0
군위군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,1874.0,1920.0,1976.0
군위군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,77.4,80.3,82.9
군위군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,24215.0,23919.0,23843.0
군포시 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,17286.0,17736.0,17973.0
군포시 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,61.5,64.0,65.2
군포시 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,281205.0,276916.0,275852.0
금산군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,5803.0,5896.0,6054.0
금산군 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,107.7,110.8,115.9
금산군 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,53894.0,53222.0,52257.0
금정구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,18008.0,18104.0,18025.0
금정구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,73.7,74.5,75.4
금정구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,244469.0,242956.0,239062.0
금천구 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,31750.0,32472.0,33814.0
금천구 - 인구천명당 사업체수＜br＞(A÷B×1000),Statistics,,,,,,,,,,,135.0,138.8,145.2
금천구 - 주민등록인구＜br＞(B),Statistics,,,,,,,,,,,235154.0,233917.0,232810.0
기장군 - 사업체수＜br＞(A),Statistics,,,,,,,,,,,10712.0,11143.0,11509.0
