item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
강원특별자치도 - 유기농산물 - 면적,Statistics,1575.0,1653.0,1356.8,1290.2,1430.12,1523.97,1566.44,1598.8,1595.53,1634.85
강원특별자치도 - 유기농산물 - 출하량,Statistics,12337.0,18159.0,7605.2,7732.7,8254.6,7104.26,8326.89,7312.1,7223.29,8008.56
강원특별자치도 - 저농약농산물 - 건수,Statistics,60.0,,,,,,,,,
강원특별자치도 - 저농약농산물 - 농가수,Statistics,136.0,,,,,,,,,
강원특별자치도 - 저농약농산물 - 면적,Statistics,130.0,,,,,,,,,
강원특별자치도 - 저농약농산물 - 출하량,Statistics,1569.0,,,,,,,,,
강진군 - 계 - 건수,Statistics,296.0,333.0,366.0,597.0,637.0,558.0,554.0,563.0,613.0,647.0
강진군 - 계 - 농가수,Statistics,519.0,536.0,575.0,773.0,832.0,674.0,606.0,595.0,623.0,659.0
강진군 - 계 - 면적,Statistics,1082.0,1150.0,1259.3,1791.3,1878.64,1615.83,1519.77,1572.6,1527.5,1546.54
강진군 - 계 - 출하량,Statistics,4155.0,4289.0,4490.8,4362.3,4291.75,3261.04,2621.8,1449.82,2495.01,1752.23
강진군 - 무농약농산물 - 건수,Statistics,243.0,284.0,320.0,552.0,587.0,493.0,438.0,302.0,374.0,350.0
강진군 - 무농약농산물 - 농가수,Statistics,442.0,470.0,512.0,712.0,765.0,555.0,466.0,323.0,374.0,350.0
강진군 - 무농약농산물 - 면적,Statistics,878.0,954.0,1078.7,1615.6,1684.59,1332.69,1087.03,764.76,859.46,750.18
강진군 - 무농약농산물 - 출하량,Statistics,3229.0,3039.0,3057.8,3452.6,2902.47,2036.53,1111.61,408.27,729.27,734.79
강진군 - 유기농산물 - 건수,Statistics,45.0,49.0,46.0,45.0,50.0,65.0,116.0,261.0,239.0,297.0
강진군 - 유기농산물 - 농가수,Statistics,62.0,66.0,63.0,61.0,67.0,119.0,140.0,272.0,249.0,309.0
강진군 - 유기농산물 - 면적,Statistics,188.0,196.0,180.6,175.7,194.05,283.13,432.74,807.84,668.05,796.37
강진군 - 유기농산물 - 출하량,Statistics,709.0,1250.0,1433.0,909.7,1389.28,1224.52,1510.2,1041.55,1765.74,1017.44
강진군 - 저농약농산물 - 건수,Statistics,8.0,,,,,,,,,
강진군 - 저농약농산물 - 농가수,Statistics,15.0,,,,,,,,,
강진군 - 저농약농산물 - 면적,Statistics,16.0,,,,,,,,,
강진군 - 저농약농산물 - 출하량,Statistics,217.0,,,,,,,,,
강화군 - 계 - 건수,Statistics,77.0,86.0,166.0,161.0,228.0,213.0,205.0,216.0,214.0,142.0
강화군 - 계 - 농가수,Statistics,293.0,220.0,307.0,306.0,254.0,213.0,205.0,216.0,214.0,237.0
강화군 - 계 - 면적,Statistics,524.0,411.0,628.0,650.7,540.91,487.86,479.6,510.7,532.87,624.6
강화군 - 계 - 출하량,Statistics,1909.0,3383.0,4702.9,5186.3,4146.01,3130.36,3740.3,2566.5,3134.39,3450.7
강화군 - 무농약농산물 - 건수,Statistics,62.0,73.0,154.0,151.0,199.0,185.0,177.0,190.0,182.0,114.0
강화군 - 무농약농산물 - 농가수,Statistics,240.0,172.0,266.0,274.0,225.0,185.0,177.0,190.0,182.0,204.0
강화군 - 무농약농산물 - 면적,Statistics,404.0,313.0,547.7,579.4,487.06,439.85,432.24,464.89,485.25,576.54
강화군 - 무농약농산물 - 출하량,Statistics,1621.0,2773.0,4255.4,4706.2,3859.92,2876.91,3448.19,2374.37,2939.25,3258.04
강화군 - 유기농산물 - 건수,Statistics,15.0,13.0,12.0,10.0,29.0,28.0,28.0,26.0,32.0,28.0
강화군 - 유기농산물 - 농가수,Statistics,53.0,48.0,41.0,32.0,29.0,28.0,28.0,26.0,32.0,33.0
강화군 - 유기농산물 - 면적,Statistics,120.0,98.0,80.3,71.3,53.85,48.01,47.36,45.81,47.62,48.06
강화군 - 유기농산물 - 출하량,Statistics,288.0,610.0,447.5,480.1,286.09,253.44,292.11,192.13,195.14,192.65
거제시 - 계 - 건수,Statistics,45.0,46.0,43.0,43.0,48.0,54.0,63.0,63.0,63.0,70.0
거제시 - 계 - 농가수,Statistics,89.0,83.0,66.0,61.0,64.0,63.0,71.0,81.0,77.0,82.0
거제시 - 계 - 면적,Statistics,64.0,78.0,55.9,58.0,61.82,72.56,68.29,80.32,84.34,95.09
거제시 - 계 - 출하량,Statistics,924.0,851.0,721.4,655.2,778.71,798.43,796.16,845.67,679.65,954.4
거제시 - 무농약농산물 - 건수,Statistics,42.0,44.0,41.0,40.0,41.0,46.0,53.0,49.0,50.0,54.0
