item,category,2021,2022,2023
금산군 - 전산업 사업체수(B),Statistics,9474.0,9507.0,9728.0
금정구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.6,2.6,2.6
금정구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,682.0,690.0,690.0
금정구 - 전산업 사업체수(B),Statistics,26714.0,26544.0,26080.0
금천구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,1.6,1.6,1.6
금천구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,763.0,772.0,755.0
금천구 - 전산업 사업체수(B),Statistics,47964.0,48438.0,47935.0
기장군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,3.1,3.2,3.2
기장군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,555.0,593.0,600.0
기장군 - 전산업 사업체수(B),Statistics,17930.0,18481.0,18994.0
김제시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.6,2.6,2.5
김제시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,332.0,339.0,342.0
김제시 - 전산업 사업체수(B),Statistics,13001.0,13019.0,13461.0
김천시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,2.7,2.5
김천시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,444.0,455.0,442.0
김천시 - 전산업 사업체수(B),Statistics,16101.0,16917.0,17481.0
김포시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.1,2.1,2.0
김포시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1300.0,1349.0,1346.0
김포시 - 전산업 사업체수(B),Statistics,62310.0,64231.0,66118.0
김해시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.1,2.1,2.1
김해시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1443.0,1469.0,1459.0
김해시 - 전산업 사업체수(B),Statistics,67905.0,69770.0,68717.0
나주시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,2.8,2.7
나주시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,449.0,448.0,451.0
나주시 - 전산업 사업체수(B),Statistics,15459.0,15963.0,16660.0
남구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,3.0,3.1
남구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,707.0,724.0,733.0
남구 - 전산업 사업체수(B),Statistics,24190.0,23966.0,23686.0
남동구 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,2.9,2.9
남동구 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1631.0,1687.0,1662.0
남동구 - 전산업 사업체수(B),Statistics,57621.0,58596.0,58158.0
남양주시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,2.9,2.8
남양주시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,1930.0,1987.0,1998.0
남양주시 - 전산업 사업체수(B),Statistics,66794.0,68272.0,71539.0
남원시 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.9,3.2,2.8
남원시 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,338.0,345.0,340.0
남원시 - 전산업 사업체수(B),Statistics,11634.0,10807.0,12207.0
남해군 - 보건 및 사회복지 사업체 비율(A÷B×1000),Statistics,2.8,2.6,2.5
남해군 - 보건업 및 사회복지 서비스업 사업체수(A),Statistics,166.0,164.0,161.0
