item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
전남 - 계 - 보통,Statistics,46.9,39.8,51.7,50.5,42.8,35.2,30.901,30.359,33.229
전남 - 계 - 약간 만족,Statistics,30.1,44.8,28.1,33.6,40.8,35.4,39.634,32.602,34.138
전남 - 계 - 약간 불만족,Statistics,1.9,6.2,3.7,6.1,4.7,3.1,1.472,8.774,6.042
전북 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
전북 - 계 - 매우 만족,Statistics,7.6,10.6,7.8,7.4,11.1,14.2,16.669,12.148,16.659
전북 - 계 - 매우 불만족,Statistics,0.7,2.0,1.3,1.2,3.2,0.6,1.07,4.206,7.323
전북 - 계 - 보통,Statistics,40.2,49.8,51.4,53.9,46.1,44.9,47.905,49.376,41.267
전북 - 계 - 약간 만족,Statistics,47.8,32.2,30.6,33.3,34.2,35.6,30.3,29.385,29.751
전북 - 계 - 약간 불만족,Statistics,3.7,5.3,8.9,4.2,5.4,4.8,4.057,4.886,5.001
제주 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
제주 - 계 - 매우 만족,Statistics,13.7,12.8,12.8,24.1,21.5,19.4,35.146,23.509,26.557
제주 - 계 - 매우 불만족,Statistics,,,0.5,0.7,1.4,,,,
제주 - 계 - 보통,Statistics,41.9,44.6,46.1,34.1,45.8,42.6,28.244,42.557,30.616
제주 - 계 - 약간 만족,Statistics,40.8,37.3,37.7,38.1,29.3,36.7,35.876,28.836,42.017
제주 - 계 - 약간 불만족,Statistics,3.6,5.3,3.0,2.9,2.0,1.2,0.734,5.099,0.809
충남 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충남 - 계 - 매우 만족,Statistics,20.2,13.2,11.8,11.5,16.6,19.5,27.867,28.975,19.926
충남 - 계 - 매우 불만족,Statistics,0.7,1.3,0.4,0.7,0.3,1.0,,1.102,
충남 - 계 - 보통,Statistics,32.7,38.7,47.2,48.4,32.3,34.9,35.597,35.419,38.311
충남 - 계 - 약간 만족,Statistics,43.0,45.8,31.4,36.5,48.6,40.2,33.399,29.551,38.794
충남 - 계 - 약간 불만족,Statistics,3.4,1.0,9.3,3.0,2.2,4.4,3.137,4.954,2.969
충북 - 계 - 계(재학생),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
충북 - 계 - 매우 만족,Statistics,10.9,10.8,11.0,13.1,14.7,20.8,22.636,16.668,17.573
충북 - 계 - 매우 불만족,Statistics,1.2,2.1,2.3,1.0,1.5,,,,1.921
충북 - 계 - 보통,Statistics,44.1,47.6,44.5,42.8,41.7,36.2,37.454,33.373,48.115
충북 - 계 - 약간 만족,Statistics,35.7,32.7,32.1,36.9,36.2,39.9,37.096,43.734,29.419
충북 - 계 - 약간 불만족,Statistics,8.1,6.7,10.0,6.2,5.8,3.1,2.814,6.225,2.971
