item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경상북도 - 일반대＜br＞(A),Statistics,18.0,18.0,19.0,19.0,18.0,18.0,19.0,19.0,20.0,19.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,14.0
경상북도 - 전문대＜br＞(B),Statistics,18.0,18.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,
경주시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
경주시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
경주시 - 일반대＜br＞(A),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,
경주시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
계양구 - 교육대＜br＞(C),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
계양구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
계양구 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
계양구 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
계양구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
고령군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
고령군 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
고성군 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
고성군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
고성군 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
고양시 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
고양시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
고양시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
고양시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
곡성군 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
곡성군 - 일반대＜br＞(A),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
곡성군 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
공주시 - 교육대＜br＞(C),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
공주시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
공주시 - 산업대＜br＞(D),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
공주시 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
공주시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
관악구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,1.0
관악구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
관악구 - 일반대＜br＞(A),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
광산구 - 교육대＜br＞(C),Statistics,,,,,,,,,,,,,,,,,,,,,3.0
광산구 - 대학교 수＜br＞(A+B+C+D),Statistics,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
광산구 - 일반대＜br＞(A),Statistics,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
광산구 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
광양시 - 대학교 수＜br＞(A+B+C+D),Statistics,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
광양시 - 산업대＜br＞(D),Statistics,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
광양시 - 일반대＜br＞(A),Statistics,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0
광양시 - 전문대＜br＞(B),Statistics,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
광주광역시 - 교육대＜br＞(C),Statistics,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
