item,category,2014,2016,2018,2020,2022,2024
충남 - 계 - 전혀 불안하지 않음,Statistics,0.3,0.6,0.6,1.366,3.575,4.135
충남 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충남 - 남자 - 매우 불안함,Statistics,28.5,26.4,39.7,27.765,16.673,16.935
충남 - 남자 - 별로 불안하지 않음,Statistics,4.8,3.9,3.5,6.13,14.622,6.044
충남 - 남자 - 보통,Statistics,15.6,19.7,17.4,20.267,24.307,29.215
충남 - 남자 - 약간 불안함,Statistics,50.7,49.1,38.6,44.766,39.794,43.077
충남 - 남자 - 전혀 불안하지 않음,Statistics,0.3,0.9,0.8,1.073,4.603,4.73
충남 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0
충남 - 여자 - 매우 불안함,Statistics,33.8,32.0,46.4,31.947,16.378,19.038
충남 - 여자 - 별로 불안하지 않음,Statistics,2.6,3.5,3.2,4.976,11.501,7.49
충남 - 여자 - 보통,Statistics,12.4,14.3,13.1,16.985,28.114,24.026
충남 - 여자 - 약간 불안함,Statistics,50.9,49.8,36.9,44.421,41.514,45.938
충남 - 여자 - 전혀 불안하지 않음,Statistics,0.3,0.4,0.3,1.671,2.492,3.507
