item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전라남도 - 현원 - 공무원 수,Statistics,922.0,1070.0,1112.0,1264.0,1307.0,1338.0,1440.0,1621.0,1770.0,1902.0,1908.0,1996.0,2070.0
전북특별자치도 - 1급 - 공무원 수,Statistics,647.0,727.0,706.0,822.0,769.0,783.0,796.0,,,,,,
전북특별자치도 - 2급 - 공무원 수,Statistics,62.0,139.0,158.0,211.0,257.0,304.0,367.0,,,,,,
전북특별자치도 - 3급 - 공무원 수,Statistics,1.0,,,2.0,18.0,6.0,7.0,,,,,,
전북특별자치도 - 정원 - 공무원 수,Statistics,736.0,958.0,918.0,1008.0,1049.0,1133.0,1223.0,1277.0,1388.0,1454.0,1580.0,1650.0,1660.0
전북특별자치도 - 현원 - 공무원 수,Statistics,710.0,866.0,864.0,1035.0,1046.0,1095.0,1170.0,1262.0,1412.0,1431.0,1540.0,1560.0,1460.0
제주특별자치도 - 1급 - 공무원 수,Statistics,85.0,82.0,82.0,115.0,155.0,106.0,112.0,,,,,,
제주특별자치도 - 2급 - 공무원 수,Statistics,46.0,54.0,64.0,87.0,60.0,107.5,121.5,,,,,,
제주특별자치도 - 3급 - 공무원 수,Statistics,,,3.0,,,,,,,,,,
제주특별자치도 - 정원 - 공무원 수,Statistics,144.0,139.0,169.0,196.0,224.0,224.0,250.5,331.0,275.9,275.9,276.0,583.0,606.0
제주특별자치도 - 현원 - 공무원 수,Statistics,131.0,136.0,149.0,202.0,215.0,213.5,233.5,271.0,272.0,296.0,321.0,317.0,331.0
충청남도 - 1급 - 공무원 수,Statistics,572.0,599.0,614.0,681.0,662.0,632.0,683.0,,,,,,
충청남도 - 2급 - 공무원 수,Statistics,73.0,100.0,176.0,208.0,246.0,346.0,360.0,,,,,,
충청남도 - 3급 - 공무원 수,Statistics,1.0,3.0,9.0,2.0,2.0,7.0,7.0,,,,,,
충청남도 - 정원 - 공무원 수,Statistics,660.0,758.0,822.0,919.0,957.0,1048.0,1205.0,1380.0,1562.0,2288.0,1746.0,1754.0,1755.0
충청남도 - 현원 - 공무원 수,Statistics,646.0,702.0,799.0,891.0,910.0,985.0,1050.0,1163.5,1185.0,1357.0,1556.0,1578.0,1578.0
충청북도 - 1급 - 공무원 수,Statistics,331.0,363.0,391.0,430.0,434.0,455.0,452.0,,,,,,
충청북도 - 2급 - 공무원 수,Statistics,79.0,133.0,147.0,168.0,186.0,212.0,225.5,,,,,,
충청북도 - 3급 - 공무원 수,Statistics,2.0,10.0,2.0,3.0,1.0,2.0,2.0,,,,,,
충청북도 - 정원 - 공무원 수,Statistics,432.0,514.0,539.0,603.0,630.0,674.0,710.0,789.0,822.0,896.0,952.0,1084.0,1030.0
충청북도 - 현원 - 공무원 수,Statistics,412.0,506.0,540.0,601.0,620.5,669.0,679.5,757.0,800.0,901.0,954.0,964.0,920.0
