item,category,2008,2010,2012,2014,2016,2018,2020,2022,2024
광주 - 남자 - 전혀효과없음,Statistics,3.7,5.2,5.2,5.1,4.9,5.5,3.97,4.328,3.373
광주 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주 - 여자 - 매우효과있음,Statistics,6.3,6.1,7.5,7.5,9.2,7.8,10.235,12.191,14.074
광주 - 여자 - 모르겠음,Statistics,7.1,7.8,3.3,5.0,4.0,5.3,4.825,6.434,5.819
광주 - 여자 - 별로효과없음,Statistics,17.3,19.0,17.0,17.1,17.0,12.9,13.656,13.17,12.251
광주 - 여자 - 보통,Statistics,36.8,37.3,38.3,36.8,41.0,38.6,34.333,34.529,36.825
광주 - 여자 - 약간효과있음,Statistics,30.4,26.1,29.1,28.8,24.9,30.8,33.771,29.201,28.314
광주 - 여자 - 전혀효과없음,Statistics,2.1,3.7,4.7,4.8,3.9,4.6,3.18,4.475,2.718
대구 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 계 - 매우효과있음,Statistics,4.0,3.9,6.3,6.0,5.7,5.5,9.057,12.943,12.212
대구 - 계 - 모르겠음,Statistics,4.4,5.3,2.6,4.2,3.5,4.4,2.638,1.953,4.269
대구 - 계 - 별로효과없음,Statistics,21.8,20.2,18.2,16.4,17.7,17.1,15.745,11.709,11.997
대구 - 계 - 보통,Statistics,40.3,42.2,40.0,43.9,41.6,42.5,38.533,39.4,34.915
대구 - 계 - 약간효과있음,Statistics,25.8,23.6,29.1,25.7,28.1,26.5,31.016,30.499,34.182
대구 - 계 - 전혀효과없음,Statistics,3.8,4.7,3.8,3.8,3.3,4.0,3.012,3.497,2.425
대구 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 남자 - 매우효과있음,Statistics,3.9,3.7,6.8,5.8,6.1,5.5,7.808,10.83,9.664
대구 - 남자 - 모르겠음,Statistics,3.5,4.4,1.7,3.5,2.5,3.5,2.422,1.955,3.3
대구 - 남자 - 별로효과없음,Statistics,22.8,20.5,17.8,16.4,18.5,17.7,17.65,12.622,12.023
대구 - 남자 - 보통,Statistics,40.6,41.7,41.5,44.6,42.3,45.8,39.37,39.438,37.939
대구 - 남자 - 약간효과있음,Statistics,25.4,25.0,28.0,25.5,26.3,24.3,30.285,31.729,34.22
대구 - 남자 - 전혀효과없음,Statistics,3.8,4.6,4.2,4.3,4.3,3.3,2.465,3.427,2.854
대구 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대구 - 여자 - 매우효과있음,Statistics,4.1,4.2,5.9,6.1,5.4,5.5,10.255,15.0,14.651
대구 - 여자 - 모르겠음,Statistics,5.2,6.1,3.4,4.9,4.4,5.3,2.844,1.95,5.198
대구 - 여자 - 별로효과없음,Statistics,20.9,19.9,18.5,16.5,16.9,16.6,13.917,10.82,11.972
대구 - 여자 - 보통,Statistics,40.0,42.7,38.6,43.3,41.0,39.3,37.73,39.363,32.019
대구 - 여자 - 약간효과있음,Statistics,26.1,22.3,30.1,25.9,29.9,28.6,31.716,29.301,34.145
대구 - 여자 - 전혀효과없음,Statistics,3.7,4.9,3.4,3.3,2.5,4.6,3.537,3.566,2.014
대전 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 계 - 매우효과있음,Statistics,4.4,9.9,6.7,10.5,9.2,12.3,10.085,13.106,13.376
대전 - 계 - 모르겠음,Statistics,4.3,4.0,7.5,1.8,2.5,3.4,3.471,2.06,2.544
대전 - 계 - 별로효과없음,Statistics,21.4,17.7,19.4,17.3,17.3,16.9,14.199,14.298,12.907
대전 - 계 - 보통,Statistics,45.0,38.4,36.4,34.5,36.5,37.1,35.217,33.032,38.542
대전 - 계 - 약간효과있음,Statistics,20.9,26.7,24.4,32.1,29.8,26.2,32.676,34.611,27.628
대전 - 계 - 전혀효과없음,Statistics,4.0,3.4,5.8,3.7,4.8,4.1,4.351,2.893,5.002
대전 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 남자 - 매우효과있음,Statistics,4.0,9.6,6.5,12.4,9.4,11.5,10.368,13.662,14.969
대전 - 남자 - 모르겠음,Statistics,3.3,2.1,5.9,1.5,2.5,3.3,2.612,1.962,2.185
대전 - 남자 - 별로효과없음,Statistics,21.8,18.1,19.5,16.7,17.1,16.7,13.788,13.97,13.384
대전 - 남자 - 보통,Statistics,45.5,39.4,37.6,33.9,38.5,38.2,36.012,34.335,37.664
대전 - 남자 - 약간효과있음,Statistics,21.0,27.4,24.6,31.7,27.8,26.0,32.014,32.327,25.021
대전 - 남자 - 전혀효과없음,Statistics,4.4,3.4,6.0,3.7,4.7,4.2,5.205,3.743,6.777
대전 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
대전 - 여자 - 매우효과있음,Statistics,4.8,10.1,6.9,8.7,9.0,13.0,9.805,12.545,11.74
대전 - 여자 - 모르겠음,Statistics,5.1,5.8,9.0,2.1,2.5,3.5,4.322,2.158,2.913
대전 - 여자 - 별로효과없음,Statistics,21.1,17.3,19.2,17.9,17.5,17.1,14.605,14.629,12.418
대전 - 여자 - 보통,Statistics,44.4,37.3,35.2,35.1,34.5,36.0,34.429,31.718,39.443
대전 - 여자 - 약간효과있음,Statistics,20.9,26.0,24.1,32.4,31.7,26.4,33.333,36.914,30.304
대전 - 여자 - 전혀효과없음,Statistics,3.8,3.5,5.6,3.8,4.9,3.9,3.505,2.036,3.18
부산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 계 - 매우효과있음,Statistics,6.2,6.0,5.6,11.7,11.1,11.5,13.394,15.586,12.805
