item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전북특별자치도 - 소방서 수＜br＞(B),Statistics,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,13.0,13.0,13.0,15.0
전북특별자치도 - 주민등록인구＜br＞(A),Statistics,1855772.0,1854508.0,1868963.0,1874031.0,1873341.0,1872965.0,1871560.0,1869711.0,1864791.0,1854607.0,1836832.0,1818917.0,1804104.0,1786855.0,1769607.0,1754757.0
제주특별자치도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,140155.0,140666.0,142814.0,144039.0,145928.0,148452.0,151837.0,156099.0,160399.0,164271.0,166798.0,167747.0,168659.0,169190.0,169540.0,168813.0
제주특별자치도 - 소방서 수＜br＞(B),Statistics,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
제주특별자치도 - 주민등록인구＜br＞(A),Statistics,560618.0,562663.0,571255.0,576156.0,583713.0,593806.0,607346.0,624395.0,641597.0,657083.0,667191.0,670989.0,674635.0,676759.0,678159.0,675252.0
충청남도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,155272.0,156737.0,159655.0,150092.0,156060.0,146259.0,137485.0,138510.0,131045.0,132298.0,132893.0,132732.0,132564.0,132454.0,132690.0,133132.0
충청남도 - 소방서 수＜br＞(B),Statistics,13.0,13.0,13.0,14.0,13.0,14.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
충청남도 - 주민등록인구＜br＞(A),Statistics,2018537.0,2037582.0,2075514.0,2101284.0,2028777.0,2047631.0,2062273.0,2077649.0,2096727.0,2116770.0,2126282.0,2123709.0,2121029.0,2119257.0,2123037.0,2130119.0
충청북도 - 소방서 1개서당 담당주민수＜br＞(A÷B),Statistics,189948.0,190935.0,193691.0,195363.0,173959.0,174748.0,143539.0,143996.0,144693.0,132869.0,133271.0,133334.0,133403.0,133119.0,132922.0,132789.0
충청북도 - 소방서 수＜br＞(B),Statistics,8.0,8.0,8.0,8.0,9.0,9.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
충청북도 - 주민등록인구＜br＞(A),Statistics,1519587.0,1527478.0,1549528.0,1562903.0,1565628.0,1572732.0,1578933.0,1583952.0,1591625.0,1594432.0,1599252.0,1600007.0,1600837.0,1597427.0,1595058.0,1593469.0
