item,category,2020,2021,2022,2023,2024
평창군 - 미충족의료율(표준화율),Statistics,10.1,9.4,8.2,13.1,9.2
평택 - 미충족의료율(표준화율),Statistics,4.8,8.7,7.6,4.8,8.5
평택시 - 미충족의료율(표준화율),Statistics,4.8,7.4,8.0,6.0,10.0
포천시 - 미충족의료율(표준화율),Statistics,8.0,8.0,11.5,9.0,8.9
포항시 - 미충족의료율(표준화율),Statistics,4.9,4.6,4.6,3.4,3.2
하남시 - 미충족의료율(표준화율),Statistics,3.9,3.4,2.6,4.7,2.2
하동군 - 미충족의료율(표준화율),Statistics,9.3,8.5,7.7,7.7,4.9
함안군 - 미충족의료율(표준화율),Statistics,12.3,10.6,11.4,11.3,1.6
함양군 - 미충족의료율(표준화율),Statistics,11.7,14.0,13.1,7.7,7.3
함평군 - 미충족의료율(표준화율),Statistics,3.6,6.4,2.5,0.3,0.8
합천군 - 미충족의료율(표준화율),Statistics,7.8,8.4,8.0,5.2,1.5
해남군 - 미충족의료율(표준화율),Statistics,2.3,13.1,10.3,7.4,4.2
해운대구 - 미충족의료율(표준화율),Statistics,5.0,5.7,4.1,3.5,3.5
홍성군 - 미충족의료율(표준화율),Statistics,4.8,7.7,10.1,6.5,7.5
홍천군 - 미충족의료율(표준화율),Statistics,5.4,7.8,6.9,3.8,7.1
화성시 - 미충족의료율(표준화율),Statistics,3.9,4.2,5.8,7.6,4.8
화순군 - 미충족의료율(표준화율),Statistics,5.8,2.5,1.5,3.2,2.7
화천군 - 미충족의료율(표준화율),Statistics,7.3,5.1,7.9,5.4,4.3
횡성군 - 미충족의료율(표준화율),Statistics,3.6,7.3,8.2,4.1,1.9
흥덕구 - 미충족의료율(표준화율),Statistics,3.9,2.3,4.8,3.2,3.6
