item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
광명시 - 다문화 혼인 비중(%),Statistics,9.3,7.1,6.8,6.3,7.2,7.1,6.9,6.3,7.2,9.0,8.4,7.1,4.8,7.8,8.8
광명시 - 전체 혼인 건수(건),Statistics,2068.0,2906.0,2917.0,2756.0,2492.0,2241.0,2147.0,1925.0,1749.0,1708.0,1528.0,1246.0,1113.0,1134.0,1086.0
광산구 - 다문화 혼인 건수(건),Statistics,202.0,207.0,178.0,199.0,178.0,163.0,161.0,153.0,182.0,198.0,210.0,147.0,126.0,151.0,195.0
광산구 - 다문화 혼인 비중(%),Statistics,9.5,8.1,6.8,7.9,7.0,6.9,6.8,6.9,8.5,9.9,10.6,8.5,8.2,10.0,12.3
광산구 - 전체 혼인 건수(건),Statistics,2118.0,2546.0,2610.0,2528.0,2560.0,2372.0,2372.0,2214.0,2131.0,2004.0,1983.0,1720.0,1536.0,1503.0,1579.0
광양시 - 다문화 혼인 건수(건),Statistics,84.0,94.0,112.0,82.0,82.0,58.0,65.0,68.0,73.0,63.0,69.0,31.0,36.0,53.0,68.0
광양시 - 다문화 혼인 비중(%),Statistics,9.3,9.7,10.1,7.7,7.9,6.1,7.4,8.3,9.1,8.3,10.3,5.2,6.1,8.2,9.8
광양시 - 전체 혼인 건수(건),Statistics,905.0,972.0,1113.0,1059.0,1044.0,945.0,884.0,817.0,799.0,759.0,667.0,598.0,591.0,643.0,694.0
광주광역시 - 다문화 혼인 건수(건),Statistics,664.0,730.0,647.0,614.0,549.0,494.0,459.0,472.0,488.0,525.0,577.0,355.0,274.0,355.0,475.0
광주광역시 - 다문화 혼인 비중(%),Statistics,8.1,8.4,7.2,7.1,6.2,5.9,5.7,6.2,6.7,7.8,9.0,6.3,5.5,7.1,9.1
광주광역시 - 전체 혼인 건수(건),Statistics,8183.0,8658.0,9024.0,8689.0,8893.0,8305.0,8036.0,7555.0,7244.0,6747.0,6403.0,5626.0,4964.0,4981.0,5248.0
광주시 - 다문화 혼인 건수(건),Statistics,211.0,175.0,183.0,176.0,186.0,123.0,155.0,169.0,172.0,197.0,210.0,138.0,116.0,137.0,170.0
광주시 - 다문화 혼인 비중(%),Statistics,13.9,10.6,9.5,8.8,9.1,6.0,7.0,7.7,7.8,8.8,10.7,7.9,7.0,8.8,10.9
광주시 - 전체 혼인 건수(건),Statistics,1521.0,1658.0,1917.0,2004.0,2041.0,2054.0,2212.0,2198.0,2208.0,2232.0,1962.0,1753.0,1658.0,1557.0,1553.0
광진구 - 다문화 혼인 건수(건),Statistics,288.0,309.0,250.0,235.0,238.0,227.0,180.0,181.0,167.0,171.0,169.0,105.0,127.0,130.0,156.0
광진구 - 다문화 혼인 비중(%),Statistics,10.5,11.1,8.8,8.2,8.6,8.5,6.8,7.7,7.8,7.7,8.7,6.2,8.9,9.6,11.2
광진구 - 전체 혼인 건수(건),Statistics,2738.0,2773.0,2844.0,2862.0,2779.0,2675.0,2649.0,2347.0,2130.0,2216.0,1937.0,1686.0,1430.0,1348.0,1398.0
괴산군 - 다문화 혼인 건수(건),Statistics,20.0,34.0,29.0,26.0,16.0,19.0,20.0,20.0,19.0,17.0,23.0,14.0,6.0,12.0,17.0
괴산군 - 다문화 혼인 비중(%),Statistics,11.8,19.8,18.7,14.4,12.4,13.0,11.8,12.8,12.6,12.9,19.7,11.4,7.7,13.6,19.5
괴산군 - 전체 혼인 건수(건),Statistics,170.0,172.0,155.0,181.0,129.0,146.0,169.0,156.0,151.0,132.0,117.0,123.0,78.0,88.0,87.0
구례군 - 다문화 혼인 건수(건),Statistics,45.0,30.0,15.0,17.0,12.0,17.0,6.0,16.0,12.0,10.0,17.0,4.0,2.0,12.0,7.0
구례군 - 다문화 혼인 비중(%),Statistics,32.8,20.7,12.4,15.0,11.1,15.6,6.5,14.7,14.8,12.8,23.3,7.8,3.8,22.2,14.3
구례군 - 전체 혼인 건수(건),Statistics,137.0,145.0,121.0,113.0,108.0,109.0,92.0,109.0,81.0,78.0,73.0,51.0,53.0,54.0,49.0
구로구 - 다문화 혼인 건수(건),Statistics,470.0,450.0,428.0,394.0,375.0,339.0,272.0,296.0,304.0,285.0,296.0,198.0,202.0,177.0,230.0
구로구 - 다문화 혼인 비중(%),Statistics,13.6,12.5,11.9,10.7,10.8,10.4,8.7,10.7,12.0,12.0,13.7,9.3,11.6,11.0,13.4
구로구 - 전체 혼인 건수(건),Statistics,3465.0,3591.0,3602.0,3695.0,3475.0,3267.0,3142.0,2763.0,2537.0,2383.0,2165.0,2135.0,1737.0,1609.0,1716.0
구리시 - 다문화 혼인 건수(건),Statistics,118.0,106.0,92.0,84.0,78.0,60.0,55.0,68.0,63.0,71.0,57.0,53.0,38.0,43.0,54.0
구리시 - 다문화 혼인 비중(%),Statistics,9.5,8.2,7.7,7.2,7.3,6.3,5.8,7.6,6.6,7.5,7.1,7.2,5.5,6.2,8.1
구리시 - 전체 혼인 건수(건),Statistics,1236.0,1291.0,1192.0,1170.0,1070.0,954.0,943.0,895.0,960.0,943.0,806.0,741.0,689.0,699.0,664.0
구미시 - 다문화 혼인 건수(건),Statistics,174.0,171.0,163.0,155.0,155.0,144.0,145.0,157.0,137.0,134.0,163.0,113.0,69.0,113.0,135.0
구미시 - 다문화 혼인 비중(%),Statistics,6.1,5.6,4.9,4.9,4.8,5.1,5.2,5.9,5.4,5.7,7.5,6.2,4.7,7.4,8.9
구미시 - 전체 혼인 건수(건),Statistics,2843.0,3076.0,3294.0,3173.0,3260.0,2837.0,2811.0,2648.0,2518.0,2356.0,2159.0,1815.0,1481.0,1536.0,1524.0
국외 - 다문화 혼인 건수(건),Statistics,1926.0,1862.0,1768.0,1835.0,1772.0,1674.0,1064.0,129.0,97.0,78.0,85.0,40.0,80.0,110.0,67.0
국외 - 다문화 혼인 비중(%),Statistics,79.1,79.6,77.9,79.7,77.6,78.6,78.8,67.5,66.4,60.5,73.9,71.4,81.6,81.5,74.4
국외 - 전체 혼인 건수(건),Statistics,2435.0,2340.0,2269.0,2301.0,2284.0,2131.0,1351.0,191.0,146.0,129.0,115.0,56.0,98.0,135.0,90.0
군산시 - 다문화 혼인 건수(건),Statistics,201.0,220.0,183.0,216.0,150.0,144.0,125.0,140.0,167.0,123.0,137.0,120.0,82.0,90.0,126.0
군산시 - 다문화 혼인 비중(%),Statistics,12.0,11.7,9.9,11.1,8.7,9.0,7.7,9.6,12.4,10.6,12.3,11.6,9.7,10.8,14.9
군산시 - 전체 혼인 건수(건),Statistics,1669.0,1877.0,1856.0,1945.0,1720.0,1608.0,1622.0,1460.0,1345.0,1163.0,1118.0,1036.0,849.0,834.0,845.0
군위군 - 다문화 혼인 건수(건),Statistics,14.0,20.0,21.0,13.0,9.0,5.0,15.0,8.0,14.0,9.0,15.0,4.0,1.0,4.0,7.0
