item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
경기도 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,2.0,2.9,4.1,5.1,6.5,9.2,11.8,11.7,12.9,13.4,14.2,14.7,16.6,16.9,16.8,17.6,18.1,17.9,19.0
경기도 - 주민등록인구＜br＞(B),Statistics,10462920.0,10697215.0,10906033.0,11106211.0,11292264.0,11460610.0,11786622.0,11937415.0,12093299.0,12234630.0,12357830.0,12522606.0,12716780.0,12873895.0,13077153.0,13239666.0,13427014.0,13565450.0,13589432.0
경남 마산시 - 사회복지시설수＜br＞(A),Statistics,18.0,20.0,21.0,22.0,21.0,23.0,,,,,,,,,,,,,
경남 마산시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,4.2,4.7,5.0,5.3,5.1,5.7,,,,,,,,,,,,,
경남 마산시 - 주민등록인구＜br＞(B),Statistics,427248.0,425018.0,421783.0,415805.0,411078.0,406307.0,,,,,,,,,,,,,
경남 진해시 - 사회복지시설수＜br＞(A),Statistics,4.0,4.0,5.0,7.0,10.0,10.0,,,,,,,,,,,,,
경남 진해시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,2.6,2.5,3.1,4.3,5.9,5.8,,,,,,,,,,,,,
경남 진해시 - 주민등록인구＜br＞(B),Statistics,151393.0,156992.0,161175.0,163108.0,168696.0,171407.0,,,,,,,,,,,,,
경남 창원시 - 사회복지시설수＜br＞(A),Statistics,9.0,10.0,14.0,18.0,22.0,26.0,,,,,,,,,,,,,
경남 창원시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,1.8,2.0,2.8,3.6,4.4,5.2,,,,,,,,,,,,,
경남 창원시 - 주민등록인구＜br＞(B),Statistics,507161.0,504520.0,503881.0,503930.0,503518.0,502727.0,,,,,,,,,,,,,
경산시 - 사회복지시설수＜br＞(A),Statistics,5.0,7.0,9.0,8.0,14.0,13.0,26.0,26.0,30.0,39.0,40.0,49.0,50.0,55.0,56.0,57.0,59.0,60.0,72.0
경산시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,2.3,3.1,3.8,3.4,5.9,5.5,10.8,10.7,12.2,15.7,15.8,19.1,19.4,21.2,21.4,21.7,22.4,22.4,26.9
경산시 - 주민등록인구＜br＞(B),Statistics,219579.0,227766.0,234839.0,236881.0,237423.0,236459.0,240708.0,243684.0,246358.0,248805.0,253968.0,256888.0,258037.0,259485.0,261093.0,263185.0,263728.0,268369.0,267725.0
경상남도 - 사회복지시설수＜br＞(A),Statistics,94.0,111.0,135.0,165.0,198.0,238.0,295.0,307.0,243.0,323.0,331.0,328.0,330.0,336.0,386.0,426.0,430.0,426.0,441.0
경상남도 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.0,3.5,4.3,5.2,6.1,7.3,9.0,9.3,7.3,9.7,9.9,9.7,9.8,9.9,11.4,12.7,12.9,12.9,13.4
경상남도 - 주민등록인구＜br＞(B),Statistics,3143814.0,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0
경상북도 - 사회복지시설수＜br＞(A),Statistics,98.0,126.0,157.0,156.0,217.0,278.0,351.0,370.0,400.0,421.0,448.0,481.0,488.0,499.0,506.0,523.0,571.0,560.0,577.0
경상북도 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.6,4.7,5.8,5.8,8.1,10.4,13.0,13.7,14.8,15.6,16.6,17.8,18.1,18.5,18.9,19.6,21.6,21.3,22.2
경상북도 - 주민등록인구＜br＞(B),Statistics,2695917.0,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0
경주시 - 사회복지시설수＜br＞(A),Statistics,12.0,16.0,19.0,17.0,22.0,16.0,21.0,20.0,23.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,27.0,26.0,27.0
경주시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,4.3,5.8,6.9,6.2,8.2,6.0,7.9,7.5,8.7,9.9,9.9,10.0,9.6,10.1,10.1,10.2,10.7,10.3,10.8
경주시 - 주민등록인구＜br＞(B),Statistics,277870.0,275087.0,273419.0,272206.0,269343.0,267466.0,267098.0,265488.0,264091.0,263283.0,261535.0,259773.0,259452.0,257903.0,256864.0,255402.0,253502.0,251889.0,249607.0
계룡시 - 사회복지시설수＜br＞(A),Statistics,1.0,4.0,1.0,1.0,1.0,3.0,9.0,7.0,12.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,10.0
계룡시 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.2,11.6,2.7,2.6,2.4,7.0,20.9,16.3,28.9,22.0,24.7,26.4,23.5,22.7,25.2,25.6,25.7,25.4,22.5
계룡시 - 주민등록인구＜br＞(B),Statistics,31174.0,34370.0,36846.0,37775.0,41411.0,42760.0,43088.0,42942.0,41550.0,40957.0,40552.0,41730.0,42634.0,43967.0,43731.0,42971.0,42822.0,43331.0,44475.0
계양구 - 사회복지시설수＜br＞(A),Statistics,1.0,1.0,1.0,2.0,5.0,14.0,25.0,28.0,31.0,35.0,41.0,51.0,54.0,54.0,57.0,60.0,62.0,75.0,75.0
계양구 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,0.3,0.3,0.3,0.6,1.5,4.1,7.2,8.1,9.1,10.2,12.1,15.3,16.3,16.7,18.2,19.8,20.9,25.4,26.0
계양구 - 주민등록인구＜br＞(B),Statistics,337103.0,335435.0,342335.0,342564.0,342299.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680.0,303471.0,296750.0,295696.0,288856.0
고령군 - 사회복지시설수＜br＞(A),Statistics,4.0,5.0,5.0,4.0,5.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0
고령군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,11.6,14.6,14.4,11.5,14.4,17.4,23.1,22.6,25.5,22.7,22.8,23.1,23.4,26.7,27.3,27.8,31.9,32.7,32.9
고령군 - 주민등록인구＜br＞(B),Statistics,34522.0,34271.0,34777.0,34907.0,34770.0,34535.0,34678.0,35455.0,35343.0,35198.0,35033.0,34594.0,34257.0,33768.0,32969.0,32373.0,31361.0,30626.0,30353.0
고성군 - 사회복지시설수＜br＞(A),Statistics,1.0,1.0,2.0,2.0,3.0,4.0,4.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0
고성군 - 인구십만명당 사회복지시설수＜br＞(A÷B×100000),Statistics,3.1,3.1,6.4,6.6,9.9,13.2,13.3,23.3,23.2,23.0,19.8,20.0,23.2,20.0,24.9,22.0,22.4,22.0,22.0
고성군 - 주민등록인구＜br＞(B),Statistics,32361.0,31964.0,31285.0,30383.0,30172.0,30272.0,30112.0,30057.0,30124.0,30398.0,30269.0,30060.0,30114.0,30029.0,28144.0,27260.0,26757.0,27249.0,27274.0
고양시 - 사회복지시설수＜br＞(A),Statistics,13.0,18.0,28.0,36.0,51.0,62.0,114.0,103.0,131.0,149.0,151.0,161.0,189.0,193.0,198.0,212.0,226.0,235.0,241.0
