item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
계룡시 - 논벼,Statistics,249.0,228.0,216.0,225.0,254.0,215.0,201.0,162.0,153.0,203.0,203.0,195.0,198.0,214.0
계룡시 - 식량작물,Statistics,55.0,78.0,64.0,67.0,78.0,12.0,36.0,59.0,27.0,108.0,37.0,42.0,59.0,38.0
계룡시 - 채소·산나물,Statistics,76.0,96.0,105.0,123.0,97.0,136.0,95.0,189.0,180.0,38.0,104.0,75.0,39.0,116.0
계룡시 - 축산,Statistics,32.0,25.0,17.0,21.0,24.0,12.0,4.0,19.0,0.0,14.0,6.0,4.0,2.0,2.0
고령군 - 계,Statistics,4641.0,4389.0,4332.0,4205.0,3749.0,3676.0,3700.0,3553.0,3529.0,3618.0,3944.0,3910.0,3930.0,3859.0
고령군 - 과수,Statistics,96.0,95.0,116.0,109.0,75.0,89.0,106.0,95.0,106.0,102.0,120.0,110.0,165.0,199.0
고령군 - 기타작물,Statistics,103.0,53.0,146.0,173.0,121.0,89.0,54.0,83.0,35.0,194.0,235.0,211.0,248.0,307.0
고령군 - 논벼,Statistics,2175.0,1883.0,1848.0,1749.0,1906.0,1681.0,1626.0,1389.0,1797.0,1651.0,1695.0,1782.0,1766.0,1652.0
고령군 - 식량작물,Statistics,108.0,222.0,310.0,260.0,250.0,288.0,139.0,340.0,291.0,232.0,88.0,77.0,94.0,80.0
고령군 - 채소·산나물,Statistics,1601.0,1716.0,1623.0,1490.0,1111.0,1357.0,1604.0,1413.0,1153.0,1169.0,1623.0,1548.0,1475.0,1472.0
고령군 - 축산,Statistics,558.0,420.0,289.0,425.0,286.0,172.0,172.0,234.0,146.0,270.0,183.0,183.0,182.0,149.0
고성군 - 계,Statistics,2346.0,2349.0,2311.0,2244.0,2334.0,2332.0,2457.0,2471.0,2511.0,2125.0,2101.0,2098.0,2110.0,2104.0
고성군 - 과수,Statistics,45.0,38.0,57.0,42.0,56.0,153.0,159.0,147.0,174.0,66.0,67.0,67.0,64.0,73.0
고성군 - 기타작물,Statistics,271.0,191.0,235.0,269.0,325.0,162.0,341.0,334.0,506.0,208.0,146.0,260.0,209.0,221.0
고성군 - 논벼,Statistics,1309.0,1237.0,1213.0,1159.0,1291.0,1213.0,1212.0,1181.0,1105.0,1139.0,1251.0,1254.0,1273.0,1242.0
고성군 - 식량작물,Statistics,107.0,209.0,191.0,230.0,332.0,151.0,216.0,225.0,340.0,417.0,60.0,89.0,92.0,83.0
고성군 - 채소·산나물,Statistics,515.0,588.0,545.0,477.0,228.0,606.0,489.0,544.0,345.0,200.0,530.0,375.0,425.0,428.0
고성군 - 축산,Statistics,99.0,87.0,70.0,68.0,102.0,47.0,41.0,41.0,41.0,95.0,47.0,54.0,47.0,57.0
고양시 - 계,Statistics,6357.0,6723.0,6478.0,5853.0,6265.0,5692.0,5528.0,5166.0,5179.0,5950.0,5594.0,5610.0,5266.0,5194.0
고양시 - 과수,Statistics,300.0,407.0,359.0,359.0,380.0,463.0,281.0,400.0,376.0,474.0,454.0,574.0,452.0,511.0
고양시 - 기타작물,Statistics,1055.0,1087.0,1050.0,938.0,810.0,456.0,606.0,473.0,308.0,936.0,796.0,1186.0,1144.0,1136.0
고양시 - 논벼,Statistics,1875.0,1720.0,1369.0,1230.0,1812.0,1590.0,1624.0,1474.0,1271.0,1502.0,1210.0,1406.0,1122.0,1059.0
고양시 - 식량작물,Statistics,700.0,487.0,584.0,629.0,1319.0,333.0,679.0,857.0,1078.0,1204.0,850.0,721.0,908.0,1018.0
고양시 - 채소·산나물,Statistics,2361.0,2950.0,3050.0,2630.0,1777.0,2834.0,2284.0,1925.0,2146.0,1691.0,2144.0,1567.0,1483.0,1339.0
고양시 - 축산,Statistics,66.0,73.0,66.0,66.0,167.0,17.0,54.0,37.0,0.0,143.0,141.0,157.0,157.0,131.0
고창군 - 계,Statistics,9704.0,9692.0,9688.0,9629.0,8832.0,9039.0,8971.0,8841.0,8765.0,7975.0,7970.0,7947.0,7849.0,7755.0
고창군 - 과수,Statistics,907.0,988.0,816.0,955.0,840.0,812.0,929.0,928.0,612.0,325.0,471.0,640.0,544.0,704.0
고창군 - 기타작물,Statistics,860.0,910.0,879.0,1077.0,616.0,673.0,571.0,649.0,546.0,1075.0,874.0,858.0,707.0,761.0
고창군 - 논벼,Statistics,5099.0,4877.0,5137.0,4998.0,4808.0,4942.0,4587.0,4323.0,4713.0,4392.0,4353.0,4287.0,4044.0,3791.0
고창군 - 식량작물,Statistics,209.0,308.0,453.0,443.0,541.0,337.0,397.0,427.0,505.0,694.0,476.0,650.0,657.0,548.0
고창군 - 채소·산나물,Statistics,2446.0,2323.0,2130.0,1832.0,1686.0,1999.0,2197.0,2214.0,1997.0,1260.0,1401.0,1167.0,1578.0,1506.0
고창군 - 축산,Statistics,184.0,285.0,274.0,323.0,341.0,275.0,290.0,300.0,391.0,229.0,395.0,345.0,320.0,445.0
고흥군 - 계,Statistics,13465.0,13045.0,12909.0,12521.0,13033.0,13721.0,12210.0,12096.0,11631.0,10062.0,9230.0,9039.0,10134.0,9680.0
고흥군 - 과수,Statistics,1354.0,1364.0,1327.0,1188.0,1238.0,2408.0,2335.0,2851.0,2142.0,1163.0,1489.0,1516.0,1736.0,1907.0
고흥군 - 기타작물,Statistics,316.0,94.0,15.0,65.0,367.0,154.0,276.0,242.0,226.0,770.0,122.0,92.0,152.0,144.0
