item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경상남도 - 강력범죄 (강제추행) - 검거건수,Statistics,587.0,595.0,672.0,738.0,695.0,735.0,693.0,659.0,722.0,714.0
경상남도 - 강력범죄 (강제추행) - 검거인원,Statistics,554.0,639.0,727.0,796.0,757.0,801.0,752.0,695.0,756.0,716.0
경상남도 - 강력범죄 (강제추행) - 발생건수,Statistics,626.0,622.0,678.0,761.0,711.0,732.0,698.0,687.0,743.0,754.0
경상남도 - 강력범죄 (기타 강간 등) - 검거건수,Statistics,51.0,34.0,26.0,17.0,27.0,24.0,15.0,21.0,15.0,13.0
경상남도 - 강력범죄 (기타 강간 등) - 검거인원,Statistics,68.0,42.0,30.0,18.0,35.0,32.0,19.0,21.0,19.0,18.0
경상남도 - 강력범죄 (기타 강간 등) - 발생건수,Statistics,52.0,36.0,26.0,18.0,28.0,25.0,15.0,21.0,16.0,13.0
경상남도 - 강력범죄 (방화) - 검거건수,Statistics,91.0,100.0,87.0,74.0,92.0,52.0,75.0,64.0,76.0,73.0
경상남도 - 강력범죄 (방화) - 검거인원,Statistics,93.0,110.0,86.0,74.0,90.0,59.0,76.0,65.0,76.0,68.0
경상남도 - 강력범죄 (방화) - 발생건수,Statistics,109.0,107.0,91.0,78.0,97.0,58.0,80.0,71.0,84.0,80.0
경상남도 - 강력범죄 (살인기수) - 검거건수,Statistics,28.0,24.0,22.0,25.0,19.0,19.0,25.0,21.0,14.0,19.0
경상남도 - 강력범죄 (살인기수) - 검거인원,Statistics,44.0,27.0,28.0,25.0,21.0,21.0,27.0,23.0,16.0,20.0
경상남도 - 강력범죄 (살인기수) - 발생건수,Statistics,28.0,23.0,22.0,25.0,19.0,19.0,25.0,21.0,14.0,18.0
경상남도 - 강력범죄 소계 - 검거건수,Statistics,1170.0,1223.0,1171.0,1232.0,1229.0,1210.0,1204.0,1089.0,1203.0,1182.0
경상남도 - 강력범죄 소계 - 검거인원,Statistics,1204.0,1345.0,1303.0,1362.0,1343.0,1351.0,1341.0,1204.0,1283.0,1233.0
경상남도 - 강력범죄 소계 - 발생건수,Statistics,1250.0,1262.0,1181.0,1260.0,1257.0,1211.0,1228.0,1142.0,1248.0,1238.0
경상남도 - 강력범죄(강간) - 검거건수,Statistics,277.0,318.0,234.0,246.0,256.0,265.0,275.0,221.0,280.0,249.0
경상남도 - 강력범죄(강간) - 검거인원,Statistics,292.0,317.0,282.0,304.0,295.0,290.0,316.0,273.0,304.0,271.0
경상남도 - 강력범죄(강간) - 발생건수,Statistics,295.0,325.0,236.0,253.0,259.0,263.0,286.0,238.0,295.0,259.0
경상남도 - 강력범죄(강도) - 검거건수,Statistics,78.0,88.0,69.0,65.0,47.0,40.0,42.0,33.0,30.0,39.0
경상남도 - 강력범죄(강도) - 검거인원,Statistics,90.0,142.0,85.0,79.0,54.0,52.0,61.0,52.0,44.0,63.0
경상남도 - 강력범죄(강도) - 발생건수,Statistics,79.0,84.0,67.0,59.0,49.0,38.0,42.0,33.0,29.0,38.0
경상남도 - 강력범죄(살인미수 등) - 검거건수,Statistics,42.0,43.0,34.0,40.0,41.0,34.0,37.0,24.0,27.0,30.0
경상남도 - 강력범죄(살인미수 등) - 검거인원,Statistics,48.0,47.0,37.0,37.0,43.0,43.0,41.0,25.0,28.0,29.0
경상남도 - 강력범죄(살인미수 등) - 발생건수,Statistics,44.0,44.0,34.0,40.0,42.0,34.0,38.0,24.0,30.0,31.0
경상남도 - 강력범죄(유사강간) - 검거건수,Statistics,16.0,21.0,27.0,27.0,52.0,41.0,42.0,46.0,39.0,45.0
경상남도 - 강력범죄(유사강간) - 검거인원,Statistics,15.0,21.0,28.0,29.0,48.0,53.0,49.0,50.0,40.0,48.0
경상남도 - 강력범죄(유사강간) - 발생건수,Statistics,17.0,21.0,27.0,26.0,52.0,42.0,44.0,47.0,37.0,45.0
경상남도 - 기타범죄 - 검거건수,Statistics,66461.0,73384.0,73962.0,64687.0,54937.0,58731.0,54955.0,48922.0,47881.0,48331.0
경상남도 - 기타범죄 - 검거인원,Statistics,87182.0,92951.0,92081.0,79466.0,68050.0,73960.0,71524.0,56756.0,54471.0,51005.0
경상남도 - 기타범죄 - 발생건수,Statistics,77526.0,83796.0,83278.0,71718.0,61809.0,66445.0,67288.0,60648.0,60485.0,60582.0
경상남도 - 절도범죄 - 검거건수,Statistics,8103.0,8494.0,7733.0,7491.0,7183.0,7142.0,8096.0,7387.0,7899.0,10269.0
경상남도 - 절도범죄 - 검거인원,Statistics,4797.0,5173.0,5366.0,5501.0,4854.0,4961.0,5148.0,4586.0,5053.0,5195.0
경상남도 - 절도범죄 - 발생건수,Statistics,17215.0,15828.0,12337.0,11212.0,11090.0,11544.0,12714.0,11523.0,12262.0,14282.0
경상남도 - 총범죄 - 검거건수,Statistics,89455.0,98467.0,98528.0,88207.0,77723.0,82143.0,78886.0,70058.0,69694.0,72298.0
경상남도 - 총범죄 - 검거인원,Statistics,113300.0,121227.0,120725.0,107299.0,94165.0,101098.0,98247.0,79335.0,77671.0,73651.0
경상남도 - 총범죄 - 발생건수,Statistics,112253.0,118843.0,114410.0,100775.0,90267.0,96212.0,97998.0,87879.0,88852.0,90536.0
경상남도 - 폭력범죄 - 검거건수,Statistics,13721.0,15366.0,15662.0,14797.0,14374.0,15060.0,14631.0,12660.0,12711.0,12516.0
경상남도 - 폭력범죄 - 검거인원,Statistics,20117.0,21758.0,21975.0,20970.0,19918.0,20826.0,20234.0,16789.0,16864.0,16218.0
경상남도 - 폭력범죄 - 발생건수,Statistics,16262.0,17957.0,17614.0,16585.0,16111.0,17012.0,16768.0,14566.0,14857.0,14434.0
경상북도 - 강력범죄 (강제추행) - 검거건수,Statistics,436.0,494.0,488.0,542.0,559.0,589.0,549.0,572.0,506.0,573.0
경상북도 - 강력범죄 (강제추행) - 검거인원,Statistics,447.0,512.0,509.0,596.0,635.0,684.0,627.0,581.0,526.0,579.0
경상북도 - 강력범죄 (강제추행) - 발생건수,Statistics,465.0,495.0,492.0,548.0,566.0,592.0,552.0,589.0,536.0,588.0
경상북도 - 강력범죄 (기타 강간 등) - 검거건수,Statistics,48.0,36.0,18.0,14.0,27.0,25.0,9.0,16.0,11.0,9.0
경상북도 - 강력범죄 (기타 강간 등) - 검거인원,Statistics,49.0,62.0,24.0,15.0,31.0,37.0,11.0,20.0,11.0,17.0
경상북도 - 강력범죄 (기타 강간 등) - 발생건수,Statistics,50.0,33.0,18.0,15.0,26.0,24.0,9.0,15.0,12.0,8.0
경상북도 - 강력범죄 (방화) - 검거건수,Statistics,72.0,72.0,73.0,72.0,58.0,79.0,77.0,41.0,73.0,66.0
경상북도 - 강력범죄 (방화) - 검거인원,Statistics,70.0,72.0,74.0,71.0,64.0,83.0,73.0,45.0,66.0,67.0
경상북도 - 강력범죄 (방화) - 발생건수,Statistics,88.0,77.0,80.0,79.0,65.0,85.0,85.0,45.0,78.0,71.0
경상북도 - 강력범죄 (살인기수) - 검거건수,Statistics,27.0,20.0,21.0,24.0,18.0,18.0,14.0,15.0,11.0,13.0
경상북도 - 강력범죄 (살인기수) - 검거인원,Statistics,29.0,20.0,27.0,36.0,21.0,22.0,15.0,18.0,11.0,13.0
경상북도 - 강력범죄 (살인기수) - 발생건수,Statistics,28.0,20.0,21.0,28.0,17.0,18.0,14.0,15.0,11.0,13.0
경상북도 - 강력범죄 소계 - 검거건수,Statistics,889.0,996.0,925.0,995.0,999.0,1066.0,959.0,990.0,928.0,963.0
경상북도 - 강력범죄 소계 - 검거인원,Statistics,964.0,1072.0,1033.0,1128.0,1163.0,1323.0,1107.0,1050.0,958.0,998.0
경상북도 - 강력범죄 소계 - 발생건수,Statistics,964.0,1003.0,947.0,1015.0,1017.0,1083.0,977.0,1031.0,979.0,1005.0
경상북도 - 강력범죄(강간) - 검거건수,Statistics,221.0,258.0,240.0,240.0,239.0,270.0,237.0,264.0,245.0,209.0
경상북도 - 강력범죄(강간) - 검거인원,Statistics,255.0,278.0,287.0,288.0,291.0,394.0,288.0,293.0,252.0,220.0
경상북도 - 강력범죄(강간) - 발생건수,Statistics,241.0,260.0,247.0,243.0,243.0,282.0,244.0,283.0,259.0,227.0
경상북도 - 강력범죄(강도) - 검거건수,Statistics,49.0,69.0,44.0,47.0,37.0,29.0,19.0,23.0,17.0,25.0
경상북도 - 강력범죄(강도) - 검거인원,Statistics,72.0,75.0,68.0,67.0,45.0,40.0,26.0,26.0,19.0,31.0
경상북도 - 강력범죄(강도) - 발생건수,Statistics,55.0,71.0,46.0,48.0,36.0,26.0,17.0,22.0,15.0,27.0
경상북도 - 강력범죄(살인미수 등) - 검거건수,Statistics,27.0,24.0,25.0,20.0,27.0,18.0,16.0,16.0,24.0,30.0
경상북도 - 강력범죄(살인미수 등) - 검거인원,Statistics,31.0,28.0,25.0,20.0,28.0,20.0,21.0,17.0,26.0,30.0
경상북도 - 강력범죄(살인미수 등) - 발생건수,Statistics,26.0,24.0,26.0,19.0,28.0,19.0,16.0,16.0,24.0,31.0
경상북도 - 강력범죄(유사강간) - 검거건수,Statistics,9.0,23.0,16.0,36.0,34.0,38.0,38.0,43.0,41.0,38.0
경상북도 - 강력범죄(유사강간) - 검거인원,Statistics,11.0,25.0,19.0,35.0,48.0,43.0,46.0,50.0,47.0,41.0
경상북도 - 강력범죄(유사강간) - 발생건수,Statistics,11.0,23.0,17.0,35.0,36.0,37.0,40.0,46.0,44.0,40.0
경상북도 - 기타범죄 - 검거건수,Statistics,54797.0,58323.0,57543.0,51826.0,47459.0,47719.0,44807.0,38543.0,36171.0,38308.0
경상북도 - 기타범죄 - 검거인원,Statistics,73469.0,76298.0,72526.0,65561.0,60039.0,61448.0,58306.0,46237.0,43032.0,39404.0
경상북도 - 기타범죄 - 발생건수,Statistics,64003.0,66569.0,64239.0,57808.0,53540.0,54115.0,51308.0,45410.0,45190.0,46739.0
경상북도 - 절도범죄 - 검거건수,Statistics,4644.0,5381.0,4797.0,5536.0,5131.0,5949.0,5761.0,5530.0,6675.0,6479.0
경상북도 - 절도범죄 - 검거인원,Statistics,3675.0,3805.0,3926.0,4086.0,3830.0,4248.0,4128.0,3522.0,4012.0,4075.0
경상북도 - 절도범죄 - 발생건수,Statistics,11740.0,10819.0,9285.0,8635.0,7621.0,8799.0,8871.0,8586.0,9846.0,9312.0
경상북도 - 총범죄 - 검거건수,Statistics,70690.0,76233.0,75157.0,69376.0,64240.0,66656.0,62513.0,54086.0,52943.0,55014.0
경상북도 - 총범죄 - 검거인원,Statistics,93093.0,97375.0,93822.0,86156.0,79637.0,83214.0,78843.0,62743.0,60029.0,56200.0
경상북도 - 총범죄 - 발생건수,Statistics,88938.0,91876.0,88059.0,80061.0,74356.0,77449.0,73762.0,65553.0,66928.0,67953.0
경상북도 - 폭력범죄 - 검거건수,Statistics,10360.0,11533.0,11892.0,11019.0,10651.0,11922.0,10986.0,9023.0,9169.0,9264.0
경상북도 - 폭력범죄 - 검거인원,Statistics,14985.0,16200.0,16337.0,15381.0,14605.0,16195.0,15302.0,11934.0,12027.0,11723.0
경상북도 - 폭력범죄 - 발생건수,Statistics,12231.0,13485.0,13588.0,12603.0,12178.0,13452.0,12606.0,10526.0,10913.0,10897.0
경찰청 - 강력범죄 (강제추행) - 검거건수,Statistics,,,,,,,1.0,,,
경찰청 - 강력범죄 (강제추행) - 검거인원,Statistics,,,,,1.0,,1.0,,,
경찰청 - 강력범죄 소계 - 검거건수,Statistics,,1.0,,,,,2.0,,,
경찰청 - 강력범죄 소계 - 검거인원,Statistics,1.0,1.0,,,1.0,,1.0,1.0,,
경찰청 - 강력범죄(강간) - 검거건수,Statistics,,,,,,,1.0,,,
경찰청 - 강력범죄(강간) - 검거인원,Statistics,1.0,,,,,,,1.0,,
경찰청 - 강력범죄(살인미수 등) - 검거건수,Statistics,,1.0,,,,,,,,
경찰청 - 강력범죄(살인미수 등) - 검거인원,Statistics,,1.0,,,,,,,,
경찰청 - 기타범죄 - 검거건수,Statistics,91.0,75.0,87.0,63.0,90.0,42.0,66.0,68.0,44.0,129.0
경찰청 - 기타범죄 - 검거인원,Statistics,481.0,365.0,405.0,266.0,434.0,238.0,187.0,181.0,144.0,481.0
경찰청 - 절도범죄 - 검거건수,Statistics,,,,,1.0,,,,,
경찰청 - 총범죄 - 검거건수,Statistics,91.0,76.0,88.0,64.0,91.0,42.0,69.0,68.0,44.0,132.0
경찰청 - 총범죄 - 검거인원,Statistics,482.0,366.0,406.0,268.0,437.0,238.0,198.0,183.0,145.0,484.0
경찰청 - 폭력범죄 - 검거건수,Statistics,,,1.0,1.0,,,1.0,,,3.0
경찰청 - 폭력범죄 - 검거인원,Statistics,,,1.0,2.0,2.0,,10.0,1.0,1.0,3.0
광주광역시 - 강력범죄 (강제추행) - 검거건수,Statistics,545.0,490.0,497.0,489.0,482.0,466.0,393.0,369.0,385.0,443.0
광주광역시 - 강력범죄 (강제추행) - 검거인원,Statistics,523.0,484.0,504.0,515.0,550.0,513.0,436.0,388.0,409.0,453.0
광주광역시 - 강력범죄 (강제추행) - 발생건수,Statistics,573.0,494.0,495.0,489.0,481.0,453.0,391.0,367.0,391.0,467.0
광주광역시 - 강력범죄 (기타 강간 등) - 검거건수,Statistics,22.0,23.0,15.0,11.0,21.0,6.0,13.0,4.0,7.0,8.0
광주광역시 - 강력범죄 (기타 강간 등) - 검거인원,Statistics,29.0,24.0,16.0,14.0,26.0,9.0,20.0,6.0,9.0,8.0
