전라남도 - 계 - 적당한 취미가 없어서,Statistics,7.827,3.713
전북특별자치도 - 계 - 건강 체력 부족,Statistics,15.334,16.859
전북특별자치도 - 계 - 경제적 부담,Statistics,36.623,48.754
전북특별자치도 - 계 - 계,Statistics,100.0,100.0
전북특별자치도 - 계 - 교통 혼잡,Statistics,0.969,1.578
전북특별자치도 - 계 - 기타,Statistics,10.5,
전북특별자치도 - 계 - 시간 부족,Statistics,20.313,21.783
전북특별자치도 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,2.436,1.189
전북특별자치도 - 계 - 여가시설 부족,Statistics,3.227,2.504
전북특별자치도 - 계 - 여가정보 부족,Statistics,0.697,0.787
전북특별자치도 - 계 - 여가프로그램 부족,Statistics,1.718,1.19
전북특별자치도 - 계 - 적당한 취미가 없어서,Statistics,8.183,5.357
제주특별자치도 - 계 - 건강 체력 부족,Statistics,16.458,19.85
제주특별자치도 - 계 - 경제적 부담,Statistics,37.359,40.527
제주특별자치도 - 계 - 계,Statistics,100.0,100.0
제주특별자치도 - 계 - 교통 혼잡,Statistics,0.695,0.26
제주특별자치도 - 계 - 기타,Statistics,12.741,1.424
제주특별자치도 - 계 - 시간 부족,Statistics,17.517,20.343
제주특별자치도 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,2.553,3.104
제주특별자치도 - 계 - 여가시설 부족,Statistics,2.343,3.315
제주특별자치도 - 계 - 여가정보 부족,Statistics,1.932,3.336
제주특별자치도 - 계 - 여가프로그램 부족,Statistics,2.233,0.241
제주특별자치도 - 계 - 적당한 취미가 없어서,Statistics,6.168,7.6
충청남도 - 계 - 건강 체력 부족,Statistics,12.988,16.811
충청남도 - 계 - 경제적 부담,Statistics,36.777,38.111
충청남도 - 계 - 계,Statistics,100.0,100.0
충청남도 - 계 - 교통 혼잡,Statistics,1.512,1.143
충청남도 - 계 - 기타,Statistics,14.763,0.564
충청남도 - 계 - 시간 부족,Statistics,19.152,27.002
충청남도 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.283,1.673
충청남도 - 계 - 여가시설 부족,Statistics,3.244,4.124
충청남도 - 계 - 여가정보 부족,Statistics,2.196,1.353
충청남도 - 계 - 여가프로그램 부족,Statistics,2.172,1.284
충청남도 - 계 - 적당한 취미가 없어서,Statistics,5.913,7.936
충청북도 - 계 - 건강 체력 부족,Statistics,14.731,15.985
충청북도 - 계 - 경제적 부담,Statistics,37.977,46.847
충청북도 - 계 - 계,Statistics,100.0,100.0
충청북도 - 계 - 교통 혼잡,Statistics,1.317,1.71
충청북도 - 계 - 기타,Statistics,7.395,0.747
충청북도 - 계 - 시간 부족,Statistics,26.133,25.007
충청북도 - 계 - 여가를 함께 즐길사람이 없어서,Statistics,1.171,1.481
충청북도 - 계 - 여가시설 부족,Statistics,3.855,1.675
충청북도 - 계 - 여가정보 부족,Statistics,0.416,0.43
충청북도 - 계 - 여가프로그램 부족,Statistics,1.695,0.581
충청북도 - 계 - 적당한 취미가 없어서,Statistics,5.309,5.536
