item,category,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
남해군 - 지가변동률,Statistics,2.39,2.34,2.85,2.07,2.82,1.71,0.13,-0.1,-0.04,0.35,0.03,-0.12,0.15,0.51,0.02,0.14,0.22,0.38
노원구 - 지가변동률,Statistics,,10.96,29.55,16.54,5.14,0.1,0.0,-0.13,0.03,0.14,0.13,-1.58,0.24,0.24,0.02,2.19,0.07,1.89
논산군 - 지가변동률,Statistics,1.25,3.46,3.84,4.94,1.72,0.1,-0.35,-0.29,-0.37,,,,,,,,,
논산시 - 지가변동률,Statistics,,,,,,,,,,-0.06,0.39,0.0,0.03,0.48,0.41,-0.1,1.06,0.27
단양군 - 지가변동률,Statistics,0.0,2.31,3.81,1.13,0.88,0.87,0.27,-0.08,-0.14,0.45,0.22,-0.73,0.9,0.16,0.0,0.15,-0.02,0.04
달서구 - 지가변동률,Statistics,,,,,,,,,0.0,0.03,-0.01,-1.21,0.23,0.33,0.16,0.49,0.05,0.47
달성군 - 지가변동률,Statistics,1.75,7.34,9.34,2.2,8.15,1.65,-0.2,-0.24,3.44,1.96,-0.03,-0.85,0.16,0.44,0.13,0.92,-0.32,0.7
담양군 - 지가변동률,Statistics,0.83,2.96,3.16,0.33,1.22,0.29,-0.23,-0.21,0.34,0.48,0.34,-0.06,0.53,0.67,0.22,0.26,0.01,0.07
당진군 - 지가변동률,Statistics,2.34,5.99,5.33,5.76,0.59,1.78,0.26,-0.14,0.15,-0.04,0.01,-0.22,0.35,0.55,0.46,0.22,0.21,1.09
대구광역시 - 지가변동률,Statistics,,,,,,,,,0.36,0.35,-0.01,-1.15,0.24,0.26,-0.03,0.39,0.09,0.46
대덕구 - 지가변동률,Statistics,,,,,,,,,-0.13,0.15,0.07,-0.09,0.01,0.05,0.25,0.38,0.82,0.26
대덕군 - 지가변동률,Statistics,0.54,7.88,,,,,,,,,,,,,,,,
대전광역시 - 지가변동률,Statistics,,,,,,,,,-0.03,0.01,0.04,-0.03,0.23,-0.15,0.13,0.83,1.85,0.24
대천시 - 지가변동률,Statistics,1.07,0.57,1.97,4.85,0.56,0.47,-0.4,-0.14,,,,,,,,,,
덕양구 - 지가변동률,Statistics,,,,,,,,,,0.71,0.37,-2.59,1.23,1.0,-0.08,3.72,1.36,1.29
