item,category,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
부산광역시 - 농가인구,Statistics,23565.0,22859.0,20486.0,19935.0,20944.0,20554.0,19133.0,17400.0,16578.0,28529.0,25044.0,22423.0,22942.0,21845.0
부산시부 - 농가인구,Statistics,17306.0,16733.0,14418.0,14102.0,15693.0,15698.0,14645.0,13232.0,12521.0,24241.0,20633.0,18444.0,18511.0,17933.0
부안군 - 농가인구,Statistics,18536.0,18403.0,18338.0,17798.0,18877.0,15638.0,14226.0,13669.0,13729.0,14824.0,14215.0,13855.0,12542.0,12183.0
부여군 - 농가인구,Statistics,26267.0,25275.0,24200.0,23763.0,22213.0,20298.0,20014.0,19607.0,17727.0,19918.0,16658.0,13813.0,13352.0,13469.0
부천시 - 농가인구,Statistics,2898.0,2652.0,2508.0,2263.0,3057.0,2783.0,2734.0,2479.0,2383.0,4095.0,3434.0,2935.0,2592.0,2264.0
사천시 - 농가인구,Statistics,19304.0,19248.0,18885.0,18259.0,15880.0,14830.0,14229.0,13492.0,12936.0,12270.0,11395.0,11532.0,10768.0,10099.0
산청군 - 농가인구,Statistics,14890.0,14304.0,13927.0,13336.0,12624.0,12017.0,11577.0,11308.0,11324.0,10077.0,10603.0,9814.0,10329.0,9918.0
삼척시 - 농가인구,Statistics,10214.0,9838.0,9763.0,9640.0,9973.0,9891.0,9322.0,8540.0,8779.0,8262.0,7727.0,7390.0,7444.0,7064.0
상주시 - 농가인구,Statistics,35124.0,36686.0,35311.0,34034.0,32142.0,30092.0,29697.0,29290.0,29045.0,26146.0,26696.0,28181.0,27285.0,26139.0
서귀포시 - 농가인구,Statistics,48586.0,47171.0,44751.0,45001.0,39755.0,34990.0,35221.0,34068.0,33303.0,31901.0,29399.0,30802.0,29741.0,27754.0
서산시 - 농가인구,Statistics,33007.0,32801.0,30619.0,29958.0,28243.0,26822.0,22925.0,21375.0,20173.0,24141.0,23163.0,22076.0,22105.0,20388.0
서울시부 - 농가인구,Statistics,11768.0,9927.0,9164.0,8689.0,11555.0,9599.0,9374.0,8605.0,7586.0,21897.0,15767.0,14475.0,13667.0,12298.0
서울특별시 - 농가인구,Statistics,11768.0,9927.0,9164.0,8689.0,11555.0,9599.0,9374.0,8605.0,7586.0,21897.0,15767.0,14475.0,13667.0,12298.0
서천군 - 농가인구,Statistics,16224.0,15689.0,14270.0,13994.0,14651.0,11485.0,13166.0,14156.0,13815.0,12146.0,14138.0,13138.0,12325.0,11422.0
성남시 - 농가인구,Statistics,3608.0,3512.0,3482.0,3386.0,3229.0,2769.0,2924.0,2581.0,2293.0,4105.0,2740.0,2881.0,2743.0,2752.0
성주군 - 농가인구,Statistics,19057.0,19150.0,18587.0,18615.0,13896.0,14244.0,14277.0,13868.0,13654.0,11097.0,13042.0,12778.0,12380.0,12097.0
