item,category,2016,2017,2018,2019,2020,2021,2022
전국 - 아동 - 종사자수,Statistics,105637.0,18390.0,18977.0,19785.0,20790.0,21560.0,26362.0
전국 - 어린이집 - 종사자수,Statistics,321766.0,330217.0,333420.0,331444.0,325669.0,321116.0,311996.0
전국 - 장애인 - 종사자수,Statistics,34483.0,35452.0,36354.0,37740.0,39626.0,41865.0,43133.0
전국 - 정신보건 - 종사자수,Statistics,3454.0,3148.0,3326.0,3532.0,3542.0,3603.0,3685.0
전국 - 지역자활센터 - 종사자수,Statistics,1914.0,1864.0,2037.0,2023.0,2394.0,2515.0,2632.0
전라남도 - 결핵 및 한센 - 종사자수,Statistics,18.0,17.0,17.0,17.0,18.0,18.0,18.0
전라남도 - 계 - 종사자수,Statistics,29311.0,23033.0,24463.0,24785.0,26860.0,28797.0,36184.0
전라남도 - 노숙인 - 종사자수,Statistics,115.0,120.0,115.0,117.0,126.0,126.0,127.0
전라남도 - 노인 - 종사자수,Statistics,8004.0,8168.0,9466.0,10144.0,11616.0,13094.0,19643.0
전라남도 - 사회복지관 - 종사자수,Statistics,183.0,169.0,166.0,185.0,445.0,671.0,512.0
전라남도 - 아동 - 종사자수,Statistics,8388.0,1497.0,1499.0,1491.0,1657.0,1623.0,1545.0
전라남도 - 어린이집 - 종사자수,Statistics,10996.0,11339.0,11447.0,11011.0,11072.0,11105.0,10706.0
전라남도 - 장애인 - 종사자수,Statistics,1307.0,1400.0,1428.0,1500.0,1595.0,1795.0,3240.0
전라남도 - 정신보건 - 종사자수,Statistics,171.0,174.0,164.0,172.0,169.0,189.0,241.0
전라남도 - 지역자활센터 - 종사자수,Statistics,129.0,149.0,161.0,148.0,162.0,176.0,152.0
전북특별자치도 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
전북특별자치도 - 계 - 종사자수,Statistics,28088.0,22986.0,23291.0,23696.0,24961.0,25499.0,30117.0
전북특별자치도 - 노숙인 - 종사자수,Statistics,37.0,51.0,51.0,56.0,62.0,68.0,70.0
전북특별자치도 - 노인 - 종사자수,Statistics,6975.0,7542.0,7834.0,8605.0,9862.0,10725.0,15836.0
전북특별자치도 - 사회복지관 - 종사자수,Statistics,192.0,190.0,296.0,326.0,462.0,310.0,397.0
전북특별자치도 - 아동 - 종사자수,Statistics,6679.0,1130.0,1150.0,1196.0,1230.0,1246.0,1563.0
전북특별자치도 - 어린이집 - 종사자수,Statistics,12005.0,11890.0,11742.0,11185.0,10907.0,10650.0,9977.0
전북특별자치도 - 장애인 - 종사자수,Statistics,1701.0,1773.0,1812.0,1830.0,1931.0,2047.0,1905.0
전북특별자치도 - 정신보건 - 종사자수,Statistics,369.0,283.0,270.0,369.0,363.0,303.0,195.0
전북특별자치도 - 지역자활센터 - 종사자수,Statistics,130.0,127.0,136.0,129.0,144.0,150.0,174.0
제주특별자치도 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
제주특별자치도 - 계 - 종사자수,Statistics,10962.0,9800.0,10038.0,10244.0,10417.0,10799.0,7231.0
제주특별자치도 - 노숙인 - 종사자수,Statistics,47.0,52.0,49.0,49.0,50.0,51.0,53.0
제주특별자치도 - 노인 - 종사자수,Statistics,2356.0,2596.0,2599.0,2711.0,2899.0,3185.0,1166.0
제주특별자치도 - 사회복지관 - 종사자수,Statistics,101.0,120.0,126.0,96.0,96.0,145.0,157.0
제주특별자치도 - 아동 - 종사자수,Statistics,1951.0,362.0,376.0,370.0,387.0,414.0,108.0
제주특별자치도 - 어린이집 - 종사자수,Statistics,5555.0,5687.0,5859.0,5940.0,5863.0,5742.0,5522.0
제주특별자치도 - 장애인 - 종사자수,Statistics,858.0,888.0,931.0,983.0,1010.0,1143.0,200.0
제주특별자치도 - 정신보건 - 종사자수,Statistics,54.0,56.0,59.0,67.0,64.0,71.0,14.0
제주특별자치도 - 지역자활센터 - 종사자수,Statistics,40.0,39.0,39.0,28.0,48.0,48.0,11.0
충청남도 - 결핵 및 한센 - 종사자수,Statistics,,,,0.0,0.0,0.0,
충청남도 - 계 - 종사자수,Statistics,31368.0,26288.0,27656.0,28062.0,29448.0,31501.0,31759.0
충청남도 - 노숙인 - 종사자수,Statistics,5.0,4.0,4.0,5.0,5.0,5.0,5.0
충청남도 - 노인 - 종사자수,Statistics,7210.0,7289.0,8339.0,8983.0,10503.0,12659.0,13105.0
충청남도 - 사회복지관 - 종사자수,Statistics,240.0,230.0,244.0,262.0,272.0,300.0,393.0
