item,category,1978,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
계 - 다류상표기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,54078.0,92780.0,120419.0,111105.0,116760.0,122080.0,119836.0,129635.0,136590.0,147489.0,144920.0,134019.0,129993.0,132864.0,140908.0,158058.0,164235.0,191485.0,183639.0,181234.0,207966.0,228535.0,269350.0,299645.0,268340.0,264820.0
계 - 디자인 - 시도별 출원,Statistics,6148.0,9736.0,9946.0,11231.0,13173.0,14951.0,18113.0,17735.0,18902.0,16737.0,16509.0,17406.0,18813.0,21760.0,26200.0,27664.0,28382.0,28091.0,26675.0,,,,,,,,,,,,,,,,,,,,,,,,,,
계 - 복수디자인기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,23524.0,33011.0,33894.0,36657.0,37729.0,36689.0,39656.0,43247.0,49766.0,52055.0,54278.0,56391.0,55369.0,54300.0,60867.0,65485.0,63076.0,65895.0,62629.0,60394.0,60047.0,61274.0,64042.0,61286.0,52864.0,51106.0
계 - 상표 - 시도별 출원,Statistics,7913.0,8785.0,9292.0,12238.0,15617.0,15924.0,18962.0,20446.0,22175.0,24201.0,26918.0,33564.0,33468.0,33163.0,46559.0,56319.0,55118.0,66441.0,66222.0,,,,,,,,,,,,,,,,,,,,,,,,,,
계 - 상품류기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,156802.0,212105.0,263961.0,261865.0,269721.0,289256.0,,,,,,,,,,,,,,,,,,,,
계 - 실용신안 - 시도별 출원,Statistics,6212.0,7936.0,8519.0,9500.0,10345.0,13814.0,17615.0,21434.0,23684.0,21666.0,20655.0,21661.0,25125.0,27923.0,31505.0,39232.0,59362.0,68462.0,45447.0,28604.0,30344.0,36817.0,40389.0,38662.0,40174.0,37167.0,36534.0,32193.0,20632.0,16971.0,16801.0,13193.0,11462.0,11899.0,10463.0,8754.0,8294.0,7395.0,6449.0,5768.0,4975.0,4595.0,3642.0,2784.0,2400.0
계 - 출원서기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,144245.0,188447.0,232354.0,235585.0,240645.0,257849.0,38041.0,41918.0,48018.0,50868.0,52786.0,54934.0,53601.0,52812.0,59487.0,63102.0,60795.0,64081.0,61499.0,59096.0,58725.0,59946.0,62795.0,59957.0,51472.0,49936.0
계 - 특허 - 시도별 출원,Statistics,994.0,1241.0,1319.0,1556.0,1599.0,2014.0,2703.0,3641.0,4871.0,5696.0,7021.0,9082.0,13253.0,15952.0,21459.0,28564.0,59236.0,68413.0,67346.0,50596.0,55970.0,72831.0,73714.0,76570.0,90313.0,105250.0,122188.0,125476.0,128701.0,127111.0,127316.0,131805.0,138034.0,148136.0,159978.0,164073.0,167273.0,163424.0,159031.0,162561.0,171603.0,180477.0,186245.0,183748.0,191142.0
광주 - 계 - 시도별 출원,Statistics,,,,,,,,38.0,313.0,371.0,400.0,552.0,810.0,734.0,893.0,1104.0,1351.0,2070.0,4062.0,,,,,,,,,,,,,,,,,,,,,,,,,,
광주 - 다류상표기준 - 시도별 출원,Statistics,,,,,,,,,,,,,,,,,,,,538.0,981.0,1255.0,1520.0,1345.0,1369.0,1523.0,1604.0,1668.0,1275.0,1466.0,1453.0,1696.0,1955.0,2042.0,1917.0,2235.0,2401.0,2282.0,2263.0,2912.0,2872.0,3640.0,3713.0,3416.0,3489.0
