item,category,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
고창군 - 포장도로＜br＞(A),Statistics,387748.0,389225.0,389225.0,390131.0,390131.0,390676.0,390676.0,394765.0,397910.0,395510.0
고흥군 - 도로포장률＜br＞(A÷B×100),Statistics,90.7,90.7,90.6,90.6,90.6,90.6,90.6,90.8,94.1,94.1
고흥군 - 전체개통도＜br＞(B),Statistics,535969.0,535969.0,533877.0,533979.0,533979.0,533979.0,533979.0,544479.0,559167.0,559167.0
고흥군 - 포장도로＜br＞(A),Statistics,485949.0,485949.0,483857.0,483959.0,483959.0,483959.0,483959.0,494459.0,525897.0,525897.0
곡성군 - 도로포장률＜br＞(A÷B×100),Statistics,85.6,86.3,86.4,86.4,86.4,86.7,87.0,87.7,90.0,91.0
곡성군 - 전체개통도＜br＞(B),Statistics,294024.0,282324.0,284044.0,284644.0,284644.0,285044.0,285044.0,300094.0,289944.0,290144.0
곡성군 - 포장도로＜br＞(A),Statistics,251574.0,243574.0,245294.0,245894.0,245894.0,246994.0,248014.0,263064.0,260914.0,264014.0
공주시 - 도로포장률＜br＞(A÷B×100),Statistics,86.7,87.3,87.5,87.5,87.4,87.4,96.0,99.2,99.2,99.2
공주시 - 전체개통도＜br＞(B),Statistics,626544.0,636906.0,635922.0,636622.0,634922.0,634922.0,603851.0,596941.0,596941.0,596941.0
공주시 - 포장도로＜br＞(A),Statistics,542944.0,556306.0,556222.0,556922.0,555222.0,555222.0,579801.0,592141.0,592141.0,592141.0
과천시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
과천시 - 전체개통도＜br＞(B),Statistics,54968.0,54968.0,55132.0,56332.0,57725.0,57725.0,57786.0,58163.0,58163.0,58163.0
과천시 - 포장도로＜br＞(A),Statistics,54968.0,54968.0,55132.0,56332.0,57725.0,57725.0,57786.0,58163.0,58163.0,58163.0
관악구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
관악구 - 전체개통도＜br＞(B),Statistics,316103.0,316102.0,322203.0,322203.0,322203.0,322203.0,322203.0,322203.0,319883.0,319883.0
관악구 - 포장도로＜br＞(A),Statistics,316103.0,316102.0,322203.0,322203.0,322203.0,322203.0,322203.0,322203.0,319883.0,319883.0
광명시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광명시 - 전체개통도＜br＞(B),Statistics,188287.0,188287.0,195000.0,202020.0,202020.0,202849.0,202849.0,202520.0,202520.0,202520.0
광명시 - 포장도로＜br＞(A),Statistics,188287.0,188287.0,195000.0,202020.0,202020.0,202849.0,202849.0,202520.0,202520.0,202520.0
광산구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광산구 - 전체개통도＜br＞(B),Statistics,597581.0,611296.0,619937.0,620702.0,621508.0,624400.0,624400.0,625497.0,630797.0,630866.0
광산구 - 포장도로＜br＞(A),Statistics,597581.0,611296.0,619780.0,620702.0,621508.0,624400.0,624400.0,625497.0,630797.0,630866.0
광양시 - 도로포장률＜br＞(A÷B×100),Statistics,94.6,94.6,94.6,94.6,94.7,94.8,94.8,94.9,95.9,95.9
광양시 - 전체개통도＜br＞(B),Statistics,851476.0,851716.0,851716.0,845833.0,854521.0,867691.0,867691.0,885996.0,889606.0,889606.0
광양시 - 포장도로＜br＞(A),Statistics,805786.0,806026.0,806026.0,800143.0,809461.0,822631.0,822631.0,840936.0,852696.0,852696.0
광주광역시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 전체개통도＜br＞(B),Statistics,1802141.0,1831849.0,1843542.0,1849565.0,1859035.0,1866324.0,1874209.0,1879429.0,1891666.0,1895832.0
광주광역시 - 포장도로＜br＞(A),Statistics,1802141.0,1831849.0,1843385.0,1849565.0,1859035.0,1866324.0,1874209.0,1879429.0,1891666.0,1895832.0
광주시 - 도로포장률＜br＞(A÷B×100),Statistics,99.7,99.7,99.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주시 - 전체개통도＜br＞(B),Statistics,346209.0,346209.0,358508.0,353272.0,374821.0,351903.0,374258.0,378695.0,384054.0,402226.0
광주시 - 포장도로＜br＞(A),Statistics,345209.0,345209.0,357508.0,353272.0,374821.0,351903.0,374258.0,378695.0,384054.0,402226.0
광진구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광진구 - 전체개통도＜br＞(B),Statistics,323742.0,323792.0,323742.0,323818.0,324237.0,324557.0,324615.0,324709.0,324709.0,324502.0
광진구 - 포장도로＜br＞(A),Statistics,323742.0,323792.0,323742.0,323818.0,324237.0,324557.0,324615.0,324709.0,324709.0,324502.0
괴산군 - 도로포장률＜br＞(A÷B×100),Statistics,93.3,88.6,88.6,88.7,88.9,89.0,89.0,89.0,89.0,89.0
괴산군 - 전체개통도＜br＞(B),Statistics,457610.0,529323.0,529323.0,531423.0,531423.0,535243.0,535243.0,535907.0,537607.0,539407.0
괴산군 - 포장도로＜br＞(A),Statistics,426947.0,469223.0,469223.0,471323.0,472343.0,476163.0,476163.0,476827.0,478527.0,480327.0
구례군 - 도로포장률＜br＞(A÷B×100),Statistics,87.7,92.5,92.5,92.5,93.0,93.0,93.8,93.3,96.8,97.2
구례군 - 전체개통도＜br＞(B),Statistics,221531.0,211431.0,212305.0,212305.0,218795.0,218795.0,238595.0,218905.0,206787.0,216664.0
구례군 - 포장도로＜br＞(A),Statistics,194331.0,195531.0,196405.0,196405.0,203495.0,203495.0,223845.0,204155.0,200187.0,210564.0
구로구 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
구로구 - 전체개통도＜br＞(B),Statistics,293241.0,293246.0,293674.0,294097.0,294178.0,294379.0,294669.0,296889.0,296889.0,296889.0
구로구 - 포장도로＜br＞(A),Statistics,293241.0,293246.0,293674.0,294097.0,294178.0,294379.0,294669.0,296889.0,296889.0,296889.0
구리시 - 도로포장률＜br＞(A÷B×100),Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
구리시 - 전체개통도＜br＞(B),Statistics,125514.0,126649.0,126855.0,133501.0,133501.0,164154.0,164723.0,164723.0,164424.0,164424.0
구리시 - 포장도로＜br＞(A),Statistics,125514.0,126649.0,126855.0,133501.0,133501.0,164154.0,164723.0,164723.0,164424.0,164424.0
구미시 - 도로포장률＜br＞(A÷B×100),Statistics,89.5,89.5,89.7,90.1,90.2,90.3,90.6,94.8,94.7,94.8
구미시 - 전체개통도＜br＞(B),Statistics,463242.0,463242.0,463242.0,484843.0,488738.0,491695.0,503845.0,544068.0,540488.0,543066.0
구미시 - 포장도로＜br＞(A),Statistics,414405.0,414597.0,415333.0,436934.0,440829.0,444106.0,456256.0,515579.0,511999.0,514577.0
군산시 - 도로포장률＜br＞(A÷B×100),Statistics,92.9,92.9,93.0,93.0,93.0,94.1,94.3,94.3,94.4,94.4
군산시 - 전체개통도＜br＞(B),Statistics,790442.0,790442.0,806834.0,809515.0,810850.0,827937.0,860637.0,860637.0,875029.0,875029.0
군산시 - 포장도로＜br＞(A),Statistics,733933.0,733933.0,750325.0,753006.0,754341.0,778728.0,811428.0,811428.0,825820.0,825820.0
군위군 - 도로포장률＜br＞(A÷B×100),Statistics,87.5,87.5,88.7,92.1,96.2,96.2,96.2,98.8,98.8,98.8
군위군 - 전체개통도＜br＞(B),Statistics,243439.0,243739.0,242139.0,279969.0,295909.0,295909.0,295909.0,315765.0,315765.0,311365.0
군위군 - 포장도로＜br＞(A),Statistics,213009.0,213309.0,214709.0,257839.0,284609.0,284609.0,284609.0,312065.0,312065.0,307665.0
