item,category,2020,2021,2022,2023
구례군 - 5년간 연평균 인구증감률,Statistics,-0.4,-0.9,-1.1,-1.0
구례군 - 당해년 총인구,Statistics,23907.0,23543.0,23165.0,22894.0
구로구 - 4년전 총인구,Statistics,442165.0,436869.0,433765.0,435560.0
구로구 - 5년간 연평균 인구증감률,Statistics,-0.4,-0.6,-0.6,-0.7
구로구 - 당해년 총인구,Statistics,435442.0,426220.0,424038.0,423397.0
구리시 - 4년전 총인구,Statistics,183905.0,189741.0,195868.0,192270.0
구리시 - 5년간 연평균 인구증감률,Statistics,1.1,-0.3,-1.5,-1.2
구리시 - 당해년 총인구,Statistics,192051.0,187798.0,184114.0,183048.0
구미시 - 4년전 총인구,Statistics,422237.0,423003.0,422195.0,420319.0
구미시 - 5년간 연평균 인구증감률,Statistics,-0.3,-0.5,-0.8,-0.8
구미시 - 당해년 총인구,Statistics,416603.0,413963.0,409171.0,407458.0
군산시 - 4년전 총인구,Statistics,276394.0,273649.0,272204.0,270635.0
군산시 - 5년간 연평균 인구증감률,Statistics,-0.7,-0.6,-0.5,-0.5
군산시 - 당해년 총인구,Statistics,269023.0,267635.0,266438.0,265764.0
군위군 - 4년전 총인구,Statistics,22079.0,22230.0,22277.0,22206.0
군위군 - 5년간 연평균 인구증감률,Statistics,0.0,-1.1,-0.5,
군위군 - 당해년 총인구,Statistics,22096.0,21285.0,21797.0,21799.0
군포시 - 4년전 총인구,Statistics,284301.0,280913.0,276860.0,275154.0
군포시 - 5년간 연평균 인구증감률,Statistics,-0.8,-0.9,-0.8,-1.0
군포시 - 당해년 총인구,Statistics,275571.0,270443.0,267750.0,263939.0
금산군 - 4년전 총인구,Statistics,56697.0,55672.0,55015.0,54442.0
금산군 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.5,-1.2,-0.6
금산군 - 당해년 총인구,Statistics,53758.0,52436.0,52399.0,53124.0
금정구 - 4년전 총인구,Statistics,247752.0,246891.0,247971.0,244726.0
금정구 - 5년간 연평균 인구증감률,Statistics,-1.1,-1.4,-2.1,-2.4
금정구 - 당해년 총인구,Statistics,237219.0,233596.0,227484.0,221890.0
금천구 - 4년전 총인구,Statistics,247819.0,249930.0,249344.0,249747.0
금천구 - 5년간 연평균 인구증감률,Statistics,0.2,-0.3,-0.2,-0.4
금천구 - 당해년 총인구,Statistics,249419.0,247398.0,247185.0,245860.0
기장군 - 4년전 총인구,Statistics,154091.0,156561.0,160335.0,160732.0
기장군 - 5년간 연평균 인구증감률,Statistics,2.4,2.5,2.1,2.2
기장군 - 당해년 총인구,Statistics,169465.0,172902.0,174501.0,175691.0
김제시 - 4년전 총인구,Statistics,82888.0,82358.0,81410.0,80422.0
김제시 - 5년간 연평균 인구증감률,Statistics,-1.0,-1.4,-1.0,-0.2
김제시 - 당해년 총인구,Statistics,79733.0,77998.0,78277.0,79663.0
김천시 - 4년전 총인구,Statistics,139709.0,140765.0,139894.0,139902.0
김천시 - 5년간 연평균 인구증감률,Statistics,-0.1,-0.5,-0.4,-0.4
김천시 - 당해년 총인구,Statistics,139145.0,137962.0,137698.0,137413.0
김포시 - 4년전 총인구,Statistics,365770.0,392438.0,424865.0,442910.0
김포시 - 5년간 연평균 인구증감률,Statistics,6.7,5.8,3.7,2.9
김포시 - 당해년 총인구,Statistics,474546.0,491572.0,491249.0,496323.0
김해시 - 4년전 총인구,Statistics,532912.0,536456.0,539401.0,549331.0
김해시 - 5년간 연평균 인구증감률,Statistics,0.9,0.5,0.4,0.0
김해시 - 당해년 총인구,Statistics,552427.0,547995.0,547313.0,548672.0
나주시 - 4년전 총인구,Statistics,98221.0,105579.0,109862.0,112101.0
나주시 - 5년간 연평균 인구증감률,Statistics,3.6,2.2,1.1,1.1
나주시 - 당해년 총인구,Statistics,113293.0,115138.0,114785.0,117012.0
남구 - 4년전 총인구,Statistics,279802.0,275941.0,282645.0,278849.0
남구 - 5년간 연평균 인구증감률,Statistics,-1.0,-1.0,-2.2,-1.9
남구 - 당해년 총인구,Statistics,269111.0,264756.0,258062.0,258412.0
남동구 - 4년전 총인구,Statistics,528939.0,534050.0,537389.0,533119.0
남동구 - 5년간 연평균 인구증감률,Statistics,0.0,-0.6,-1.2,-1.6
남동구 - 당해년 총인구,Statistics,528927.0,521165.0,511392.0,500087.0
남양주시 - 4년전 총인구,Statistics,641589.0,644936.0,661866.0,681077.0
남양주시 - 5년간 연평균 인구증감률,Statistics,2.1,2.6,2.1,1.3
남양주시 - 당해년 총인구,Statistics,696033.0,713549.0,719886.0,716123.0
남원시 - 4년전 총인구,Statistics,80076.0,79282.0,78487.0,77690.0
남원시 - 5년간 연평균 인구증감률,Statistics,-0.6,-0.9,-1.0,-1.0
남원시 - 당해년 총인구,Statistics,78097.0,76551.0,75259.0,74554.0
남해군 - 4년전 총인구,Statistics,43568.0,42986.0,42696.0,42169.0
남해군 - 5년간 연평균 인구증감률,Statistics,-1.2,-1.3,-1.3,-1.5
남해군 - 당해년 총인구,Statistics,41587.0,40870.0,40491.0,39706.0
노원구 - 4년전 총인구,Statistics,555420.0,543499.0,534096.0,522480.0
노원구 - 5년간 연평균 인구증감률,Statistics,-2.0,-1.9,-1.8,-1.4
노원구 - 당해년 총인구,Statistics,511982.0,503929.0,496423.0,492979.0
논산시 - 4년전 총인구,Statistics,124202.0,123774.0,122843.0,122111.0
논산시 - 5년간 연평균 인구증감률,Statistics,-0.9,-1.3,-1.2,-1.3
논산시 - 당해년 총인구,Statistics,119707.0,117262.0,116852.0,115925.0
단양군 - 4년전 총인구,Statistics,28503.0,28411.0,28444.0,28095.0
단양군 - 5년간 연평균 인구증감률,Statistics,-0.8,-1.3,-1.8,-1.5
단양군 - 당해년 총인구,Statistics,27640.0,26937.0,26466.0,26473.0
달서구 - 4년전 총인구,Statistics,596901.0,583043.0,576746.0,574390.0
달서구 - 5년간 연평균 인구증감률,Statistics,-1.3,-1.2,-1.4,-1.5
달서구 - 당해년 총인구,Statistics,566712.0,554702.0,545073.0,539884.0
달성군 - 4년전 총인구,Statistics,212895.0,239240.0,250753.0,258474.0
달성군 - 5년간 연평균 인구증감률,Statistics,5.2,2.6,1.5,0.8
달성군 - 당해년 총인구,Statistics,261013.0,264854.0,266123.0,267045.0
담양군 - 4년전 총인구,Statistics,43519.0,43781.0,43749.0,43804.0
담양군 - 5년간 연평균 인구증감률,Statistics,0.4,0.1,-0.1,0.0
담양군 - 당해년 총인구,Statistics,44201.0,44034.0,43572.0,43763.0
당진시 - 4년전 총인구,Statistics,166043.0,168508.0,169965.0,169171.0
당진시 - 5년간 연평균 인구증감률,Statistics,0.4,0.1,0.2,0.8
당진시 - 당해년 총인구,Statistics,168955.0,169507.0,171192.0,174955.0
대구광역시 - 4년전 총인구,Statistics,2461002.0,2453041.0,2444412.0,2429940.0
대구광역시 - 5년간 연평균 인구증감률,Statistics,-0.5,-0.7,-0.8,-0.5
대구광역시 - 당해년 총인구,Statistics,2410700.0,2387911.0,2366852.0,2379188.0
대덕구 - 4년전 총인구,Statistics,194442.0,188469.0,184308.0,179107.0
대덕구 - 5년간 연평균 인구증감률,Statistics,-2.4,-1.7,-1.3,-1.0
대덕구 - 당해년 총인구,Statistics,176393.0,175734.0,174695.0,171779.0
대전광역시 - 4년전 총인구,Statistics,1535445.0,1525849.0,1511214.0,1498839.0
대전광역시 - 5년간 연평균 인구증감률,Statistics,-0.8,-0.8,-0.6,-0.5
대전광역시 - 당해년 총인구,Statistics,1488435.0,1479740.0,1473662.0,1470336.0
도봉구 - 4년전 총인구,Statistics,336745.0,332586.0,328243.0,323543.0
도봉구 - 5년간 연평균 인구증감률,Statistics,-1.6,-1.8,-1.9,-1.9
도봉구 - 당해년 총인구,Statistics,315979.0,309200.0,304137.0,299931.0
동구 - 4년전 총인구,Statistics,87065.0,86106.0,84557.0,85673.0
동구 - 5년간 연평균 인구증감률,Statistics,0.1,0.0,0.4,0.5
