item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경남 마산시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.4,0.4,0.4,,,,,,,,,,,,,,,
경남 마산시 - 자동차등록대수＜br＞(A),Statistics,133686.0,138242.0,144864.0,150141.0,156283.0,160214.0,,,,,,,,,,,,,,,
경남 마산시 - 주민등록인구＜br＞(B),Statistics,427248.0,425018.0,421783.0,415805.0,411078.0,406307.0,,,,,,,,,,,,,,,
경남 진해시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.3,0.3,0.3,0.4,,,,,,,,,,,,,,,
경남 진해시 - 자동차등록대수＜br＞(A),Statistics,46564.0,50400.0,53305.0,55417.0,58250.0,60902.0,,,,,,,,,,,,,,,
경남 진해시 - 주민등록인구＜br＞(B),Statistics,151393.0,156992.0,161175.0,163108.0,168696.0,171407.0,,,,,,,,,,,,,,,
경남 창원시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.5,0.5,0.5,,,,,,,,,,,,,,,
경남 창원시 - 자동차등록대수＜br＞(A),Statistics,182457.0,199543.0,223750.0,244529.0,265016.0,273816.0,,,,,,,,,,,,,,,
경남 창원시 - 주민등록인구＜br＞(B),Statistics,507161.0,504520.0,503881.0,503930.0,503518.0,502727.0,,,,,,,,,,,,,,,
경산시 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
경산시 - 자동차등록대수＜br＞(A),Statistics,80680.0,85186.0,90410.0,93044.0,93994.0,96178.0,99757.0,103523.0,106865.0,111096.0,117314.0,123227.0,128333.0,132614.0,135884.0,138916.0,141274.0,144500.0,146548.0,148406.0,150322.0
경산시 - 주민등록인구＜br＞(B),Statistics,219579.0,227766.0,234839.0,236881.0,237423.0,236459.0,240708.0,243684.0,246358.0,248805.0,253968.0,256888.0,258037.0,259485.0,261093.0,263185.0,263728.0,268369.0,267725.0,266205.0,266398.0
경상남도 - 1인당 자동차등록대수＜br＞(A÷B),Statistics,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
경상남도 - 자동차등록대수＜br＞(A),Statistics,1017801.0,1070316.0,1131088.0,1191420.0,1250129.0,1303680.0,1376820.0,1444721.0,1470733.0,1490651.0,1512207.0,1564192.0,1625244.0,1667809.0,1694448.0,1721503.0,1787867.0,1832049.0,1896515.0,1943849.0,1982320.0
경상남도 - 주민등록인구＜br＞(B),Statistics,3143814.0,3160431.0,3172857.0,3196953.0,3225255.0,3250176.0,3290536.0,3308765.0,3319314.0,3333820.0,3350257.0,3364702.0,3373871.0,3380404.0,3373988.0,3362553.0,3340216.0,3314183.0,3280493.0,3251158.0,3228380.0
