계룡시 - 1인가구비율＜br＞(A÷B×100),Statistics,13.5,15.6,19.1,18.6,19.5,19.9,20.4,21.3,23.9,25.6,28.5
계룡시 - 1인가구＜br＞(A),Statistics,1323.0,2071.0,2591.0,2614.0,2900.0,2969.0,3070.0,3218.0,3794.0,4302.0,5232.0
계룡시 - 일반가구＜br＞(B),Statistics,9766.0,13240.0,13545.0,14051.0,14890.0,14905.0,15028.0,15137.0,15882.0,16790.0,18349.0
계양구 - 1인가구비율＜br＞(A÷B×100),Statistics,14.9,18.8,20.7,21.3,22.1,23.2,24.4,26.1,28.0,29.3,30.2
계양구 - 1인가구＜br＞(A),Statistics,15253.0,21341.0,24111.0,24708.0,25680.0,26424.0,27494.0,29622.0,32694.0,34494.0,35229.0
계양구 - 일반가구＜br＞(B),Statistics,102176.0,113561.0,116403.0,116055.0,115976.0,114050.0,112858.0,113632.0,116818.0,117769.0,116641.0
고령군 - 1인가구비율＜br＞(A÷B×100),Statistics,29.3,31.0,29.6,31.2,32.1,33.0,33.4,34.7,36.7,38.2,37.7
고령군 - 1인가구＜br＞(A),Statistics,3565.0,4010.0,4030.0,4202.0,4333.0,4454.0,4499.0,4686.0,4987.0,5218.0,5191.0
고령군 - 일반가구＜br＞(B),Statistics,12187.0,12930.0,13627.0,13476.0,13519.0,13506.0,13468.0,13498.0,13576.0,13676.0,13781.0
고성군 - 1인가구비율＜br＞(A÷B×100),Statistics,26.3,30.3,40.8,44.1,39.6,38.9,34.3,37.6,38.1,38.6,41.6
고성군 - 1인가구＜br＞(A),Statistics,2836.0,3086.0,5023.0,5723.0,4821.0,4686.0,3823.0,4413.0,4569.0,4755.0,5348.0
고성군 - 일반가구＜br＞(B),Statistics,10788.0,10188.0,12313.0,12982.0,12160.0,12031.0,11132.0,11723.0,11992.0,12309.0,12866.0
고양시 - 1인가구비율＜br＞(A÷B×100),Statistics,16.0,19.2,21.3,21.6,22.2,22.9,24.1,25.2,26.8,28.3,29.8
고양시 - 1인가구＜br＞(A),Statistics,44328.0,58392.0,74782.0,77285.0,80811.0,84595.0,92932.0,100409.0,110048.0,118717.0,127189.0
고양시 - 일반가구＜br＞(B),Statistics,276394.0,303568.0,351477.0,357684.0,364356.0,370108.0,385021.0,398864.0,411137.0,419496.0,427072.0
고창군 - 1인가구비율＜br＞(A÷B×100),Statistics,28.8,32.7,33.1,33.7,34.6,34.9,35.4,35.4,37.2,38.5,39.5
고창군 - 1인가구＜br＞(A),Statistics,6596.0,7458.0,7773.0,7931.0,8181.0,8249.0,8326.0,8326.0,8801.0,9168.0,9430.0
고창군 - 일반가구＜br＞(B),Statistics,22893.0,22782.0,23468.0,23505.0,23614.0,23647.0,23540.0,23512.0,23648.0,23836.0,23871.0
고흥군 - 1인가구비율＜br＞(A÷B×100),Statistics,30.4,35.5,36.9,38.2,38.0,38.3,38.6,40.0,41.5,42.6,43.1
고흥군 - 1인가구＜br＞(A),Statistics,9575.0,10585.0,10758.0,11151.0,11000.0,11115.0,11154.0,11805.0,12338.0,12824.0,12954.0
고흥군 - 일반가구＜br＞(B),Statistics,31492.0,29852.0,29136.0,29198.0,28959.0,28993.0,28933.0,29520.0,29739.0,30107.0,30024.0
곡성군 - 1인가구비율＜br＞(A÷B×100),Statistics,29.9,36.3,38.2,40.8,40.7,39.6,40.9,41.6,43.1,44.1,44.9
곡성군 - 1인가구＜br＞(A),Statistics,3573.0,4246.0,4713.0,5191.0,5216.0,4939.0,5161.0,5278.0,5516.0,5693.0,5847.0
곡성군 - 일반가구＜br＞(B),Statistics,11932.0,11704.0,12344.0,12721.0,12810.0,12464.0,12630.0,12689.0,12801.0,12901.0,13018.0
공주시 - 1인가구비율＜br＞(A÷B×100),Statistics,24.4,28.0,28.7,32.1,33.4,34.2,34.5,36.6,37.8,38.7,40.2
공주시 - 1인가구＜br＞(A),Statistics,10733.0,12409.0,12182.0,14114.0,14817.0,15232.0,15463.0,16886.0,17556.0,18163.0,19079.0
공주시 - 일반가구＜br＞(B),Statistics,43965.0,44317.0,42461.0,43921.0,44298.0,44552.0,44816.0,46165.0,46411.0,46899.0,47452.0
과천시 - 1인가구비율＜br＞(A÷B×100),Statistics,14.9,16.3,19.2,19.4,18.5,18.2,18.4,18.3,18.5,18.7,18.0
과천시 - 1인가구＜br＞(A),Statistics,2632.0,3524.0,4319.0,4119.0,3426.0,3407.0,3473.0,3744.0,4397.0,5009.0,4974.0
과천시 - 일반가구＜br＞(B),Statistics,17652.0,21662.0,22541.0,21211.0,18491.0,18678.0,18901.0,20504.0,23761.0,26753.0,27702.0
관악구 - 1인가구비율＜br＞(A÷B×100),Statistics,32.6,38.8,43.9,45.1,46.0,47.6,49.5,51.9,53.9,55.9,57.3
관악구 - 1인가구＜br＞(A),Statistics,66058.0,84423.0,100302.0,103972.0,106865.0,112733.0,119863.0,129233.0,136255.0,145433.0,150745.0
관악구 - 일반가구＜br＞(B),Statistics,202788.0,217359.0,228636.0,230570.0,232212.0,236761.0,242154.0,248959.0,252619.0,260075.0,263166.0
광명시 - 1인가구비율＜br＞(A÷B×100),Statistics,15.5,16.9,19.3,19.5,20.9,22.1,23.2,23.8,24.8,25.4,25.6
광명시 - 1인가구＜br＞(A),Statistics,15966.0,18662.0,22685.0,22699.0,24423.0,25839.0,26730.0,26496.0,27488.0,27937.0,27527.0
광명시 - 일반가구＜br＞(B),Statistics,102724.0,110306.0,117670.0,116670.0,116608.0,117086.0,115414.0,111383.0,110678.0,109959.0,107445.0
광산구 - 1인가구비율＜br＞(A÷B×100),Statistics,16.4,20.8,25.5,26.2,27.2,27.4,28.1,29.8,31.6,32.4,33.0
광산구 - 1인가구＜br＞(A),Statistics,15634.0,25368.0,36834.0,38707.0,40841.0,41573.0,43378.0,47497.0,51626.0,53329.0,54379.0
광산구 - 일반가구＜br＞(B),Statistics,95260.0,121936.0,144574.0,147467.0,150393.0,151510.0,154385.0,159360.0,163352.0,164743.0,164978.0
광양시 - 1인가구비율＜br＞(A÷B×100),Statistics,19.2,24.3,25.3,25.8,26.1,26.5,26.8,28.2,29.9,30.8,32.2
광양시 - 1인가구＜br＞(A),Statistics,8585.0,12006.0,13682.0,14065.0,14403.0,14748.0,15035.0,16276.0,17780.0,18856.0,20175.0
광양시 - 일반가구＜br＞(B),Statistics,44656.0,49388.0,54018.0,54550.0,55138.0,55698.0,56134.0,57752.0,59376.0,61173.0,62702.0
광주광역시 - 1인가구비율＜br＞(A÷B×100),Statistics,19.0,23.7,28.8,29.0,29.8,30.2,31.1,32.4,34.5,35.5,36.5
광주광역시 - 1인가구＜br＞(A),Statistics,87447.0,122506.0,163577.0,165169.0,171424.0,174614.0,182364.0,193948.0,212385.0,221464.0,228970.0
광주광역시 - 일반가구＜br＞(B),Statistics,460090.0,515855.0,567157.0,569372.0,575732.0,578559.0,587159.0,599217.0,615693.0,623252.0,627602.0
광주시 - 1인가구비율＜br＞(A÷B×100),Statistics,12.8,16.1,21.4,21.5,22.0,22.6,23.4,24.2,25.3,26.2,27.4
광주시 - 1인가구＜br＞(A),Statistics,7983.0,11752.0,23050.0,24301.0,26614.0,29640.0,32001.0,34577.0,37349.0,40030.0,42261.0
광주시 - 일반가구＜br＞(B),Statistics,62560.0,72951.0,107862.0,112798.0,120936.0,131002.0,136730.0,143039.0,147829.0,152615.0,154441.0
광진구 - 1인가구비율＜br＞(A÷B×100),Statistics,22.2,27.3,36.7,36.4,37.1,37.9,39.2,41.0,43.0,44.3,45.4
광진구 - 1인가구＜br＞(A),Statistics,27975.0,36411.0,54210.0,53169.0,54866.0,56337.0,58714.0,62301.0,66140.0,69391.0,71959.0
광진구 - 일반가구＜br＞(B),Statistics,125845.0,133468.0,147718.0,146196.0,147846.0,148735.0,149905.0,152090.0,153962.0,156463.0,158612.0
괴산군 - 1인가구비율＜br＞(A÷B×100),Statistics,25.3,29.9,34.3,36.4,36.8,37.8,38.1,41.5,41.4,41.3,42.4
괴산군 - 1인가구＜br＞(A),Statistics,3337.0,3990.0,5347.0,5897.0,6101.0,6336.0,6477.0,7554.0,7457.0,7471.0,7706.0
괴산군 - 일반가구＜br＞(B),Statistics,13189.0,13330.0,15611.0,16214.0,16590.0,16765.0,17013.0,18209.0,17997.0,18083.0,18191.0
구례군 - 1인가구비율＜br＞(A÷B×100),Statistics,28.7,32.9,34.3,36.0,36.2,36.4,36.4,38.1,39.9,40.2,40.9
구례군 - 1인가구＜br＞(A),Statistics,2918.0,3207.0,3598.0,3860.0,3913.0,3944.0,3930.0,4195.0,4449.0,4501.0,4599.0
구례군 - 일반가구＜br＞(B),Statistics,10179.0,9753.0,10482.0,10736.0,10805.0,10839.0,10786.0,11009.0,11160.0,11198.0,11254.0
구로구 - 1인가구비율＜br＞(A÷B×100),Statistics,17.6,21.1,26.2,26.8,27.5,28.3,29.8,31.1,33.1,34.9,35.8
구로구 - 1인가구＜br＞(A),Statistics,23406.0,30156.0,40988.0,42055.0,42984.0,44151.0,47740.0,50971.0,54980.0,58977.0,61318.0
구로구 - 일반가구＜br＞(B),Statistics,132705.0,142678.0,156528.0,156671.0,156110.0,156235.0,160378.0,164083.0,166197.0,169228.0,171257.0
구리시 - 1인가구비율＜br＞(A÷B×100),Statistics,15.2,18.2,21.4,21.7,21.9,22.2,23.4,24.8,26.2,27.9,29.0
구리시 - 1인가구＜br＞(A),Statistics,8987.0,11302.0,13664.0,14290.0,15095.0,15921.0,16820.0,18155.0,19234.0,20553.0,21530.0
구리시 - 일반가구＜br＞(B),Statistics,58940.0,61934.0,63952.0,66000.0,68928.0,71874.0,71974.0,73253.0,73348.0,73755.0,74350.0
구미시 - 1인가구비율＜br＞(A÷B×100),Statistics,20.9,27.6,29.3,30.2,30.4,30.4,30.8,32.4,34.5,35.4,36.5
구미시 - 1인가구＜br＞(A),Statistics,25915.0,40122.0,46250.0,48338.0,49379.0,49685.0,50734.0,54929.0,60039.0,61869.0,64809.0
구미시 - 일반가구＜br＞(B),Statistics,124202.0,145331.0,157705.0,159917.0,162429.0,163405.0,164752.0,169519.0,173937.0,174947.0,177393.0
군산시 - 1인가구비율＜br＞(A÷B×100),Statistics,20.1,24.8,29.3,30.5,30.8,31.1,31.5,33.4,35.2,36.3,37.7
군산시 - 1인가구＜br＞(A),Statistics,17021.0,23591.0,31080.0,33020.0,33341.0,33802.0,34380.0,37319.0,40199.0,42026.0,44058.0
