item,category,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
괴산군 - 논,Statistics,8477.4,8629.6,9156.9,9276.2,9252.3,9255.0,9365.0,9310.0,9401.0,9401.0,9759.0,8996.0,8932.0,8900.0,8939.0,8905.0,8704.0,8516.0,8333.0,8065.0,7517.0,7422.0,7358.0,7384.0,7437.0,7345.0,7325.0,7252.0,7080.0,6990.0,5324.0,5270.0,5053.0,4762.0,4644.0,4570.0,4668.0,4446.0,3965.0,3881.6669501991,3885.0,3431.4865,3097.5286,3077.6116,3044.8487,2231.8242,2125.6,2092.3535,2061.564
구례군 - 논,Statistics,4652.6,4651.4,4643.5,4624.1,4617.9,4618.0,4608.0,4615.0,4603.0,4789.0,4791.0,4778.0,4770.0,4754.0,4751.0,4752.0,4708.0,4605.0,4599.0,4377.0,4357.0,4332.0,4326.0,4337.0,4359.0,4334.0,4330.0,4254.0,4238.0,4218.0,4171.0,3952.0,3914.0,3600.0,3489.0,3408.0,3409.0,3365.0,3255.0,3216.3359706349,3123.0,3046.4673,2991.8862,2638.752,2568.2065,2296.8203,2233.45,2177.173,2141.3262
구리시 - 논,Statistics,,,,,,,,,,,323.0,300.0,283.0,284.0,259.0,209.0,191.0,129.0,112.0,64.0,35.0,35.0,33.0,33.0,33.0,33.0,33.0,33.0,25.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
구미시 - 논,Statistics,,1989.2,1953.3,1950.3,1919.9,1915.0,1893.0,1904.0,1898.0,1896.0,1833.0,1899.0,1816.0,1739.0,1717.0,1676.0,1647.0,1571.0,1533.0,9648.0,9517.0,9346.0,9285.0,9270.0,9375.0,9474.0,9297.0,9406.0,9244.0,9287.0,9263.0,9220.0,9044.0,8855.0,8723.0,8660.0,9023.0,9517.0,9461.0,8991.3216214536,8926.0,8597.7494,8483.7983,8351.7077,8394.979,7511.4552,7699.18,7578.1414,7622.0921
군산시 - 논,Statistics,1230.5,1152.1,1140.2,1125.8,1103.0,1078.0,1071.0,1083.0,1081.0,1081.0,1071.0,1255.0,3147.0,3132.0,3134.0,3138.0,3132.0,3047.0,3022.0,14328.0,14295.0,14211.0,14104.0,13875.0,13995.0,13942.0,13887.0,13815.0,13659.0,13620.0,13429.0,13437.0,13401.0,13299.0,13290.0,13265.0,13382.0,13381.0,13280.0,13240.7399835326,12996.0,12756.1469,12718.7271,11984.8576,11976.4397,12320.7756,12281.29,12023.7731,12180.873
군위군 - 논,Statistics,4840.4,4936.7,4897.2,4897.5,4896.5,4882.0,4875.0,4866.0,4872.0,4840.0,4807.0,4702.0,4642.0,4588.0,4523.0,4440.0,4196.0,3968.0,3731.0,3503.0,3410.0,3376.0,3426.0,3510.0,3528.0,3599.0,3578.0,3532.0,3525.0,3512.0,3514.0,3479.0,3386.0,3300.0,3148.0,3132.0,3166.0,3343.0,3234.0,3030.0629181657,3055.0,2871.0576,2845.3892,2826.2449,2834.2419,2518.4733,2537.66,2542.4016,2477.5891
군포시 - 논,Statistics,,,,,,,,,,,,,269.0,264.0,186.0,160.0,159.0,159.0,137.0,236.0,239.0,232.0,220.0,213.0,212.0,206.0,202.0,190.0,190.0,147.0,146.0,146.0,129.0,107.0,98.0,99.0,100.0,100.0,94.0,92.2538815104,88.0,81.1894,77.3467,77.738,72.693,67.1743,78.5405,77.4903,77.4903
금릉군 - 논,Statistics,12026.6,12096.0,12123.6,12065.6,11920.5,11765.0,11533.0,10617.0,10585.0,10483.0,10430.0,11771.0,11690.0,11432.0,11258.0,10976.0,10625.0,9942.0,9309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금산군 - 논,Statistics,5621.1,5868.4,6040.5,6212.7,5949.5,6578.0,6617.0,6682.0,6731.0,6797.0,6856.0,6491.0,6535.0,6526.0,6524.0,6469.0,6433.0,6215.0,5890.0,5703.0,5443.0,5310.0,5122.0,4981.0,5010.0,5003.0,4978.0,4955.0,4910.0,4810.0,4723.0,4616.0,3514.0,2862.0,2300.0,2174.0,2134.0,2331.0,1964.0,1959.3154670162,1905.0,1785.3237,1476.9475,1495.4433,1421.7749,1590.899,1782.88,1764.893,1783.0256
금성시 - 논,Statistics,,,,,,1760.0,1766.0,1764.0,1757.0,1784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
