item,category,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
강원특별자치도 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,1213270.0,1220396.0,1198908.0,1204768.0,1240987.0,1250338.0,1238520.0,1255214.0,1253768.0,1268121.0,1256712.0,1262010.0,1256813.0,1258048.0,1276651.0,1276023.0,1274319.0,1273158.0
강원특별자치도 - 상업지역 - 1인당 도시지역면적 현황,Statistics,12.68,12.99,13.81,14.06,14.0732143,14.02124785,14.27497901,14.3,14.37,14.26,14.46,14.47,14.5,14.46,14.42,14.43,14.53,14.57
강원특별자치도 - 주거지역 - 1인당 도시지역면적 현황,Statistics,101.03,102.92,106.58,107.38,109.0525251,108.2304937,110.1913962,109.29,109.96,109.36,111.18,111.46,112.02,112.09,110.83,110.94,111.09,111.62
강진군 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,978.7,984.14,984.14,1061.44,1053.050859,1077.683962,1077.566994,1271.94,1471.6,1321.9,1341.19,1341.49,1354.83,1385.6,1413.16,1534.37,1585.62,1614.59
강진군 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,259.05,260.49,260.49,359.41,356.5743,320.1950611,320.1603082,377.91,437.23,392.76,398.49,398.654145,438.01,447.95,456.87,496.05,512.62,517.58
강진군 - 공업지역 - 1인당 도시지역면적 현황,Statistics,37.34,37.55,37.55,119.86,118.9118053,76.97313433,76.96477994,90.85,105.11,94.42,95.79,95.82,98.5,100.74,102.74,111.56,115.28,120.21
강진군 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,26382000.0,26382000.0,27865730.0,27865730.0,27865730.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27041759.0,27456039.0
강진군 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,20262.0,20150.0,20150.0,18707.0,18856.0,18425.0,18427.0,15611.0,13493.0,15021.0,14805.0,14801.0,14366.0,14047.0,13773.0,12685.0,12275.0,12274.0
강진군 - 상업지역 - 1인당 도시지역면적 현황,Statistics,31.47,31.65,31.65,32.33,32.07530759,32.82561737,32.82205459,38.74,44.82,40.26,40.85,40.84,42.1,43.05,43.91,47.68,49.27,49.27
강진군 - 주거지역 - 1인당 도시지역면적 현황,Statistics,190.24,191.3,191.3,207.22,205.5871871,210.3963094,210.3734737,248.32,287.3,258.08,261.84,262.0,297.41,304.16,310.21,336.82,348.07,348.1
강화군 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,642.17,638.18,635.02,799.74,799.7422398,799.7422398,800.002197,545.06,545.06,959.13,829.7,823.56,629.41,626.92,641.16,639.19,636.65,644.45
강화군 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,97.07,96.47,95.99,120.89,120.889547,120.889547,158.0295491,100.79,100.88,175.59,151.89,151.4310345,116.24,115.78,118.41,118.05,117.58,128.78
강화군 - 공업지역 - 1인당 도시지역면적 현황,Statistics,3.37,3.35,3.34,4.2,4.200943293,4.200943293,29.851266,20.32,20.41,35.4,30.63,30.42,23.26,23.17,23.7,23.63,23.53,24.51
강화군 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,16845800.0,16845800.0,16845800.0,16845800.0,16845800.0,16845800.0,17442884.0,17161142.0,17163475.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306615.0,17306303.0,17511613.0
강화군 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,22708.0,22850.0,22964.0,18234.0,18234.0,18234.0,18207.0,26480.0,26480.0,15200.0,17571.0,17690.0,23131.0,23223.0,22707.0,22777.0,22868.0,22571.0
강화군 - 상업지역 - 1인당 도시지역면적 현황,Statistics,8.73,8.67,8.63,10.87,10.86980366,10.86980366,11.71417587,7.6,7.6,13.24,11.46,11.38,8.7,8.67,8.87,8.84,8.8,9.45
강화군 - 주거지역 - 1인당 도시지역면적 현황,Statistics,84.97,84.44,84.02,105.82,105.8188,105.8188,116.4641072,72.87,72.87,126.94,109.81,109.63,84.27,83.94,85.85,85.58,85.24,94.82
거제시 - 1인당면적 녹지지역 - 1인당 도시지역면적 현황,Statistics,397.68,354.27,377.99,362.72,360.4906482,341.4333201,331.1039252,340.71,327.8,318.03,315.15,319.2,323.27,309.55,312.72,318.6,325.57,322.05
거제시 - 1인당면적 주+상+공 - 1인당 도시지역면적 현황,Statistics,133.2,118.66,121.36,123.42,127.1373934,127.5656802,123.7064309,119.43,121.92,112.76,113.37,114.8253276,122.22,117.37,118.58,120.81,123.46,122.12
거제시 - 공업지역 - 1인당 도시지역면적 현황,Statistics,52.15,46.46,47.55,51.88,55.59269088,53.64504761,52.022122,49.42,51.32,44.31,43.98,44.55,43.05,41.3,41.72,42.51,43.44,42.97
거제시 - 도시지역 면적 - 1인당 도시지역면적 현황,Statistics,94573391.0,94573000.0,96962377.0,98172373.0,98431308.0,98145201.0,98095202.0,101452549.0,98454173.0,97244221.0,97244221.0,97244221.0,98609973.0,98620051.0,97944801.0,97944801.0,97944801.0,97944801.0
거제시 - 도시지역 인구 - 1인당 도시지역면적 현황,Statistics,152151.0,170794.0,167056.0,174084.0,174084.0,181044.0,186692.0,191825.0,189931.0,195471.0,197578.0,195068.0,193200.0,201622.0,199577.0,195892.0,191696.0,193795.0
거제시 - 상업지역 - 1인당 도시지역면적 현황,Statistics,10.36,9.23,9.43,9.05,9.069937501,8.885850953,8.617026975,8.39,8.47,8.23,8.68,8.79,10.01,9.58,9.69,9.87,10.09,9.98
