item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
거창군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,-1.63,-1.99,-1.23,-1.13,-1.31,-1.12,0.18,-1.02,-0.08,0.42,-0.41,-0.08,0.17,-0.04,0.12,0.19,-0.83,-0.52,-0.37,-1.15,-0.68,-0.74,-0.45
거창군 - 전년 총인구＜br＞(B),Statistics,69855.0,68713.0,67344.0,66518.0,65769.0,64905.0,64176.0,64290.0,63637.0,63585.0,63851.0,63588.0,63536.0,63647.0,63622.0,63699.0,63819.0,63290.0,62958.0,62726.0,62005.0,61585.0,61131.0
경기 여주군 - 당해년 총인구＜br＞(A),Statistics,105084.0,104881.0,105067.0,105006.0,105279.0,106270.0,108606.0,109432.0,110277.0,111691.0,111639.0,111929.0,,,,,,,,,,,
경기 여주군 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,1.03,-0.19,0.18,-0.06,0.26,0.94,2.2,0.76,0.77,1.28,-0.05,0.26,,,,,,,,,,,
경기 여주군 - 전년 총인구＜br＞(B),Statistics,104011.0,105084.0,104881.0,105067.0,105006.0,105279.0,106270.0,108606.0,109432.0,110277.0,111691.0,111639.0,111929.0,,,,,,,,,,
경기도 - 당해년 총인구＜br＞(A),Statistics,9612036.0,10000047.0,10361638.0,10628842.0,10853157.0,11106831.0,11340241.0,11549091.0,11727418.0,12071884.0,12239862.0,12381550.0,12549345.0,12709996.0,12892271.0,13090703.0,13255523.0,13485679.0,13653984.0,13807158.0,13925862.0,13972297.0,14056450.0
경기도 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,3.58,4.04,3.62,2.58,2.11,2.34,2.1,1.84,1.54,2.94,1.39,1.16,1.36,1.28,1.43,1.54,1.26,1.74,1.25,1.12,0.86,0.33,0.6
경기도 - 전년 총인구＜br＞(B),Statistics,9280013.0,9612036.0,10000047.0,10361638.0,10628842.0,10853157.0,11106831.0,11340241.0,11549091.0,11727418.0,12071884.0,12239862.0,12381550.0,12549345.0,12709996.0,12892271.0,13090703.0,13255523.0,13485679.0,13653984.0,13807158.0,13925862.0,13972297.0
경남 마산시 - 당해년 총인구＜br＞(A),Statistics,434912.0,434996.0,431248.0,428980.0,427119.0,424727.0,419251.0,414771.0,409776.0,,,,,,,,,,,,,,
경남 마산시 - 인구증가율＜br＞{(A-B)÷B}×100,Statistics,0.19,0.02,-0.86,-0.53,-0.43,-0.56,-1.29,-1.07,-1.2,,,,,,,,,,,,,,
경남 마산시 - 전년 총인구＜br＞(B),Statistics,434085.0,434912.0,434996.0,431248.0,428980.0,427119.0,424727.0,419251.0,414771.0,409776.0,,,,,,,,,,,,,
경남 진해시 - 당해년 총인구＜br＞(A),Statistics,135539.0,141936.0,151348.0,152773.0,158624.0,163221.0,165252.0,171421.0,173911.0,,,,,,,,,,,,,,
