item,category,2020,2021,2022,2023,2024
안양시동안구 - 등록장애인수,Statistics,10103.0,9990.0,10236.0,10252.0,10537.0
안양시만안구 - 등록장애인수,Statistics,10998.0,11026.0,11035.0,11078.0,11184.0
양구군 - 등록장애인수,Statistics,1518.0,1478.0,1467.0,1433.0,1406.0
양산시 - 등록장애인수,Statistics,16404.0,16717.0,16922.0,17149.0,17461.0
양양군 - 등록장애인수,Statistics,2326.0,2312.0,2279.0,2284.0,2277.0
양주시 - 등록장애인수,Statistics,12244.0,12579.0,12953.0,13641.0,14169.0
양천구 - 등록장애인수,Statistics,17550.0,17505.0,17513.0,17544.0,17588.0
양평군 - 등록장애인수,Statistics,7875.0,8014.0,8128.0,8200.0,8290.0
여수시 - 등록장애인수,Statistics,17861.0,17824.0,17687.0,17478.0,17307.0
여주시 - 등록장애인수,Statistics,7322.0,7416.0,7496.0,7500.0,7491.0
연수구 - 등록장애인수,Statistics,13838.0,14002.0,14012.0,14097.0,14216.0
연제구 - 등록장애인수,Statistics,9784.0,9871.0,9849.0,9855.0,10076.0
연천군 - 등록장애인수,Statistics,3438.0,3461.0,3438.0,3412.0,3367.0
영광군 - 등록장애인수,Statistics,5119.0,5075.0,5019.0,4885.0,4851.0
영덕군 - 등록장애인수,Statistics,3817.0,3804.0,3759.0,3629.0,3576.0
영도구 - 등록장애인수,Statistics,9092.0,9008.0,8868.0,8669.0,8470.0
영동군 - 등록장애인수,Statistics,4516.0,4424.0,4369.0,4224.0,4165.0
영등포구 - 등록장애인수,Statistics,14537.0,14492.0,14594.0,14605.0,14778.0
영암군 - 등록장애인수,Statistics,4689.0,4648.0,4578.0,4558.0,4509.0
영양군 - 등록장애인수,Statistics,1963.0,1959.0,1938.0,1892.0,1845.0
영월군 - 등록장애인수,Statistics,3500.0,3456.0,3441.0,3403.0,3331.0
영주시 - 등록장애인수,Statistics,8347.0,8298.0,8290.0,8214.0,8205.0
영천시 - 등록장애인수,Statistics,8340.0,8491.0,8548.0,8440.0,8359.0
예산군 - 등록장애인수,Statistics,7519.0,7535.0,7538.0,7458.0,7380.0
예천군 - 등록장애인수,Statistics,5259.0,5323.0,5299.0,5233.0,5121.0
오산시 - 등록장애인수,Statistics,8849.0,8937.0,8914.0,9014.0,9388.0
옥천군 - 등록장애인수,Statistics,5156.0,5131.0,5107.0,4986.0,4897.0
옹진군 - 등록장애인수,Statistics,1546.0,1566.0,1607.0,1600.0,1574.0
완도군 - 등록장애인수,Statistics,4591.0,4546.0,4458.0,4400.0,4325.0
완주군 - 등록장애인수,Statistics,8032.0,8048.0,8121.0,8201.0,8181.0
용산구 - 등록장애인수,Statistics,7960.0,7683.0,7614.0,7292.0,6871.0
용인시기흥구 - 등록장애인수,Statistics,14342.0,14578.0,14703.0,14859.0,15006.0
용인시수지구 - 등록장애인수,Statistics,9080.0,9151.0,9188.0,9133.0,9110.0
용인시처인구 - 등록장애인수,Statistics,13066.0,13253.0,13389.0,13348.0,13641.0
울릉군 - 등록장애인수,Statistics,558.0,543.0,538.0,535.0,526.0
울산광역시 - 등록장애인수,Statistics,51112.0,51297.0,51306.0,51210.0,51055.0
울주군 - 등록장애인수,Statistics,11733.0,11805.0,11896.0,11704.0,11671.0
울진군 - 등록장애인수,Statistics,4106.0,4081.0,4025.0,3970.0,3902.0
원주시 - 등록장애인수,Statistics,19088.0,19418.0,19523.0,19512.0,19629.0
유성구 - 등록장애인수,Statistics,12222.0,12153.0,12284.0,12387.0,12531.0
은평구 - 등록장애인수,Statistics,21773.0,21743.0,21641.0,21393.0,21324.0
음성군 - 등록장애인수,Statistics,7400.0,7414.0,7377.0,7285.0,7258.0
의령군 - 등록장애인수,Statistics,2910.0,2901.0,2884.0,2826.0,2772.0
의성군 - 등록장애인수,Statistics,6227.0,6198.0,6154.0,6013.0,5898.0
의왕시 - 등록장애인수,Statistics,6558.0,6627.0,6520.0,6512.0,6367.0
의정부시 - 등록장애인수,Statistics,21938.0,22225.0,22427.0,22403.0,22389.0
이천시 - 등록장애인수,Statistics,10687.0,10879.0,10876.0,10849.0,10884.0
익산시 - 등록장애인수,Statistics,20589.0,20559.0,20549.0,20261.0,20301.0
인제군 - 등록장애인수,Statistics,2012.0,2008.0,2010.0,1959.0,1966.0
인천광역시 - 등록장애인수,Statistics,146296.0,148575.0,150670.0,151782.0,152707.0
임실군 - 등록장애인수,Statistics,3164.0,3169.0,3130.0,3058.0,3032.0
장성군 - 등록장애인수,Statistics,4104.0,4025.0,3991.0,3866.0,3732.0
장수군 - 등록장애인수,Statistics,2344.0,2348.0,2314.0,2296.0,2279.0
장흥군 - 등록장애인수,Statistics,3909.0,3835.0,3769.0,3607.0,3531.0
전국 - 등록장애인수,Statistics,2632328.0,2642922.0,2643696.0,2633262.0,2631356.0
전라남도 - 등록장애인수,Statistics,140929.0,139831.0,138300.0,136269.0,134551.0
전북특별자치도 - 등록장애인수,Statistics,132183.0,132010.0,131544.0,129964.0,128993.0
전주시덕진구 - 등록장애인수,Statistics,15295.0,15435.0,15359.0,15367.0,15364.0
전주시완산구 - 등록장애인수,Statistics,18640.0,18656.0,18671.0,18579.0,18444.0
정선군 - 등록장애인수,Statistics,3385.0,3339.0,3308.0,3226.0,3166.0
정읍시 - 등록장애인수,Statistics,10111.0,10021.0,10087.0,9833.0,9699.0
제주도 - 등록장애인수,Statistics,36655.0,36874.0,37124.0,36899.0,36818.0
제주시 - 등록장애인수,Statistics,25261.0,25440.0,25659.0,25502.0,25506.0
제천시 - 등록장애인수,Statistics,10462.0,10389.0,10342.0,10225.0,10217.0
종로구 - 등록장애인수,Statistics,6015.0,5929.0,5816.0,5682.0,5622.0
중구 - 등록장애인수,Statistics,5696.0,5627.0,5520.0,5434.0,5317.0
중랑구 - 등록장애인수,Statistics,20390.0,20333.0,20173.0,20177.0,20066.0
증평군 - 등록장애인수,Statistics,2366.0,2357.0,2395.0,2432.0,2427.0
진도군 - 등록장애인수,Statistics,3217.0,3151.0,3093.0,3044.0,2990.0
진안군 - 등록장애인수,Statistics,2796.0,2804.0,2797.0,2739.0,2713.0
진주시 - 등록장애인수,Statistics,18110.0,18149.0,18133.0,17980.0,17835.0
진천군 - 등록장애인수,Statistics,4534.0,4568.0,4626.0,4555.0,4560.0
창녕군 - 등록장애인수,Statistics,5459.0,5450.0,5452.0,5333.0,5272.0
창원시마산합포구 - 등록장애인수,Statistics,10874.0,11093.0,11083.0,11085.0,11096.0
창원시마산회원구 - 등록장애인수,Statistics,10675.0,10678.0,10657.0,10555.0,10557.0
창원시성산구 - 등록장애인수,Statistics,7347.0,8904.0,8876.0,8777.0,8873.0
창원시의창구 - 등록장애인수,Statistics,12134.0,10581.0,10698.0,10704.0,10684.0
창원시진해구 - 등록장애인수,Statistics,8944.0,9073.0,9157.0,9100.0,9089.0
천안시 동남구 - 등록장애인수,Statistics,12772.0,12799.0,12783.0,12797.0,12895.0
천안시 서북구 - 등록장애인수,Statistics,14251.0,14416.0,14434.0,14433.0,14539.0
철원군 - 등록장애인수,Statistics,3084.0,3062.0,3020.0,2983.0,2956.0
청도군 - 등록장애인수,Statistics,4281.0,4314.0,4359.0,4299.0,4265.0
청송군 - 등록장애인수,Statistics,2869.0,2846.0,2797.0,2781.0,2725.0
청양군 - 등록장애인수,Statistics,3330.0,3311.0,3233.0,3153.0,3099.0
청주시상당구 - 등록장애인수,Statistics,10272.0,10435.0,10528.0,10636.0,10520.0
청주시서원구 - 등록장애인수,Statistics,10232.0,10187.0,10163.0,9957.0,9931.0
청주시청원구 - 등록장애인수,Statistics,8881.0,8905.0,8964.0,8873.0,8849.0
청주시흥덕구 - 등록장애인수,Statistics,10796.0,10820.0,10813.0,10963.0,11250.0
춘천시 - 등록장애인수,Statistics,15626.0,15675.0,15710.0,15463.0,15310.0
충주시 - 등록장애인수,Statistics,13419.0,13440.0,13457.0,13349.0,13359.0
충청남도 - 등록장애인수,Statistics,134222.0,134696.0,134527.0,133686.0,133136.0
충청북도 - 등록장애인수,Statistics,97916.0,97788.0,97734.0,96884.0,96694.0
칠곡군 - 등록장애인수,Statistics,6523.0,6628.0,6731.0,6683.0,6646.0
태백시 - 등록장애인수,Statistics,4213.0,4159.0,4136.0,4020.0,4002.0
태안군 - 등록장애인수,Statistics,5266.0,5285.0,5304.0,5272.0,5233.0
통영시 - 등록장애인수,Statistics,7628.0,7654.0,7580.0,7518.0,7514.0
파주시 - 등록장애인수,Statistics,21154.0,21847.0,22330.0,22516.0,22912.0
평창군 - 등록장애인수,Statistics,3198.0,3182.0,3168.0,3107.0,3071.0
평택시 - 등록장애인수,Statistics,24872.0,25570.0,25837.0,25870.0,26044.0
포천시 - 등록장애인수,Statistics,10218.0,10375.0,10346.0,10195.0,10236.0
포항시남구 - 등록장애인수,Statistics,12628.0,12688.0,12625.0,12589.0,12551.0
포항시북구 - 등록장애인수,Statistics,14740.0,14910.0,14820.0,14833.0,15008.0
하남시 - 등록장애인수,Statistics,11105.0,11813.0,11932.0,11957.0,11923.0
하동군 - 등록장애인수,Statistics,4492.0,4453.0,4381.0,4278.0,4169.0
함안군 - 등록장애인수,Statistics,5121.0,5062.0,5035.0,4973.0,4908.0
함양군 - 등록장애인수,Statistics,3784.0,3749.0,3727.0,3648.0,3574.0
함평군 - 등록장애인수,Statistics,3764.0,3701.0,3645.0,3636.0,3537.0
합천군 - 등록장애인수,Statistics,4824.0,4776.0,4703.0,4584.0,4489.0
해남군 - 등록장애인수,Statistics,6397.0,6343.0,6251.0,6188.0,6119.0
해운대구 - 등록장애인수,Statistics,17780.0,17726.0,17550.0,17424.0,17319.0
홍성군 - 등록장애인수,Statistics,7511.0,7499.0,7439.0,7297.0,7209.0
홍천군 - 등록장애인수,Statistics,5158.0,5138.0,5107.0,5074.0,5018.0
화성시 - 등록장애인수,Statistics,29168.0,30096.0,31047.0,31748.0,32634.0
화순군 - 등록장애인수,Statistics,5165.0,5165.0,5191.0,5101.0,5052.0
화천군 - 등록장애인수,Statistics,1801.0,1748.0,1724.0,1697.0,1662.0
횡성군 - 등록장애인수,Statistics,3725.0,3718.0,3703.0,3736.0,3720.0
