item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경상남도 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.5,5.9,4.9,4.5,5.1,4.8,4.3,4.0,3.3,3.0,2.9,2.7,3.0,3.1,3.0,3.5,2.6
경상남도 - 전체 교통사고발생건수＜br＞(B),Statistics,14135.0,15118.0,14274.0,13861.0,14266.0,13749.0,13434.0,13677.0,12522.0,11742.0,11493.0,12830.0,11739.0,11059.0,10611.0,11122.0,10703.0
경상북도 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,830.0,876.0,770.0,691.0,600.0,581.0,575.0,528.0,452.0,386.0,386.0,358.0,388.0,487.0,408.0,310.0,327.0
경상북도 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,5.4,5.2,4.7,4.5,3.8,3.8,3.7,3.4,3.1,2.8,2.8,2.4,3.1,4.0,3.7,2.9,3.1
경상북도 - 전체 교통사고발생건수＜br＞(B),Statistics,15454.0,16784.0,16498.0,15315.0,15597.0,15269.0,15346.0,15752.0,14629.0,13896.0,13966.0,14648.0,12673.0,12100.0,11037.0,10728.0,10403.0
경주시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,91.0,91.0,80.0,64.0,48.0,67.0,100.0,55.0,40.0,29.0,23.0,27.0,19.0,41.0,32.0,19.0,31.0
경주시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,4.6,4.0,3.4,3.0,2.2,3.1,4.7,2.7,2.3,1.7,1.4,1.6,1.4,3.3,2.7,1.6,3.5
경주시 - 전체 교통사고발생건수＜br＞(B),Statistics,1976.0,2257.0,2369.0,2165.0,2221.0,2174.0,2123.0,2057.0,1715.0,1675.0,1626.0,1741.0,1312.0,1259.0,1206.0,1176.0,882.0
계룡시 - 뺑소니 교통사고발생건수＜br＞(A),Statistics,3.0,2.0,7.0,1.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,,2.0,2.0,6.0
계룡시 - 뺑소니 교통사고율＜br＞(A÷B×100),Statistics,2.9,2.1,7.7,1.3,4.5,5.0,4.1,6.0,2.5,4.2,4.2,3.6,3.7,,4.3,3.4,7.7
