item,category,2009,2011,2013,2015,2017,2019,2021,2023
경상북도 - 여자 - - 약간 불만족,Statistics,36.5,37.9,39.0,36.1,39.1,33.4,27.68,26.213
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 소득 있음,Statistics,57.2,55.0,68.8,67.6,78.8,75.3,79.458,72.684
광주광역시 - 계 - - 매우 만족,Statistics,1.4,0.9,1.6,0.9,1.3,2.0,2.642,3.136
광주광역시 - 계 - - 매우 불만족,Statistics,13.3,12.0,13.8,12.3,11.9,11.4,13.381,13.871
광주광역시 - 계 - - 보통,Statistics,43.5,41.2,43.5,42.9,40.7,47.0,32.304,35.903
광주광역시 - 계 - - 약간 만족,Statistics,10.2,9.8,7.7,9.2,13.9,10.5,23.849,24.691
광주광역시 - 계 - - 약간 불만족,Statistics,31.7,36.2,33.4,34.7,32.2,29.2,27.824,22.399
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 소득 있음,Statistics,62.6,75.7,76.2,78.6,83.3,84.8,82.476,76.226
광주광역시 - 남자 - - 매우 만족,Statistics,2.0,0.7,1.6,1.0,1.6,2.3,2.573,2.348
광주광역시 - 남자 - - 매우 불만족,Statistics,13.0,12.3,12.8,13.5,11.9,9.7,15.016,12.467
광주광역시 - 남자 - - 보통,Statistics,44.0,41.2,44.0,40.3,40.1,49.0,29.709,35.953
광주광역시 - 남자 - - 약간 만족,Statistics,9.6,9.8,7.5,10.3,14.6,10.4,25.28,26.91
광주광역시 - 남자 - - 약간 불만족,Statistics,31.5,36.0,34.1,35.0,31.8,28.7,27.423,22.322
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 남자 - 소득 있음,Statistics,74.2,87.3,90.8,88.9,91.3,89.4,88.597,84.03
광주광역시 - 여자 - - 매우 만족,Statistics,0.5,1.1,1.6,0.8,0.8,1.7,2.717,4.055
광주광역시 - 여자 - - 매우 불만족,Statistics,13.6,11.6,15.0,10.8,12.0,13.1,11.614,15.506
광주광역시 - 여자 - - 보통,Statistics,42.8,41.1,42.9,46.0,41.4,44.9,35.109,35.846
광주광역시 - 여자 - - 약간 만족,Statistics,11.0,9.9,8.1,8.1,13.1,10.6,22.303,22.105
광주광역시 - 여자 - - 약간 불만족,Statistics,32.1,36.3,32.4,34.4,32.7,29.7,28.257,22.488
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 소득 있음,Statistics,51.7,64.9,62.6,69.2,75.5,80.6,76.747,68.782
대구광역시 - 계 - - 매우 만족,Statistics,1.3,1.3,0.7,1.2,1.2,1.1,1.948,1.983
