item,category,2010,2012,2014,2016,2018,2020,2022,2024
부산 - 남자 - 매우 좋다,Statistics,6.9,8.6,11.9,14.5,14.9,25.832,23.606,20.813
부산 - 남자 - 보통,Statistics,42.9,39.0,40.4,40.9,38.2,27.973,31.248,33.321
부산 - 남자 - 약간 나쁘다,Statistics,16.7,17.7,17.1,15.5,10.8,6.065,8.351,6.463
부산 - 남자 - 약간 좋다,Statistics,27.1,29.2,26.7,25.0,34.4,39.218,34.845,37.718
부산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
부산 - 여자 - 매우 나쁘다,Statistics,4.5,5.1,3.5,3.7,1.6,1.186,2.042,1.854
부산 - 여자 - 매우 좋다,Statistics,8.0,8.8,10.1,14.2,14.2,28.745,22.692,20.417
부산 - 여자 - 보통,Statistics,44.5,40.2,38.6,39.6,38.0,29.435,31.142,33.894
부산 - 여자 - 약간 나쁘다,Statistics,18.9,17.6,17.7,17.4,10.5,4.563,7.301,7.403
부산 - 여자 - 약간 좋다,Statistics,24.1,28.3,30.2,25.2,35.7,36.071,36.822,36.433
서울 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 계 - 매우 나쁘다,Statistics,5.6,5.2,4.6,4.6,3.6,1.994,1.917,1.509
서울 - 계 - 매우 좋다,Statistics,8.3,11.5,9.8,10.2,13.0,18.23,18.991,17.622
서울 - 계 - 보통,Statistics,39.6,41.3,43.7,40.9,37.3,35.453,34.301,33.653
서울 - 계 - 약간 나쁘다,Statistics,15.8,14.8,16.2,17.1,13.3,9.59,7.931,9.226
서울 - 계 - 약간 좋다,Statistics,30.8,27.2,25.8,27.3,32.8,34.733,36.86,37.99
서울 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 남자 - 매우 나쁘다,Statistics,5.4,5.1,4.6,4.3,3.3,2.12,1.906,1.351
서울 - 남자 - 매우 좋다,Statistics,8.6,12.1,9.4,10.5,12.6,18.118,17.55,16.053
서울 - 남자 - 보통,Statistics,39.1,41.1,43.6,41.5,37.9,36.543,33.987,33.935
서울 - 남자 - 약간 나쁘다,Statistics,15.9,14.2,16.1,16.7,13.0,7.928,7.268,9.387
서울 - 남자 - 약간 좋다,Statistics,31.0,27.6,26.3,27.0,33.3,35.291,39.289,39.275
서울 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울 - 여자 - 매우 나쁘다,Statistics,5.7,5.4,4.7,4.8,3.9,1.88,1.927,1.651
서울 - 여자 - 매우 좋다,Statistics,8.0,10.9,10.0,9.8,13.4,18.331,20.327,19.04
서울 - 여자 - 보통,Statistics,40.1,41.6,43.7,40.3,36.7,34.468,34.591,33.398
서울 - 여자 - 약간 나쁘다,Statistics,15.7,15.3,16.2,17.5,13.6,11.092,8.545,9.08
서울 - 여자 - 약간 좋다,Statistics,30.5,26.8,25.3,27.6,32.4,34.228,34.609,36.83
세종 - 계 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종 - 계 - 매우 나쁘다,Statistics,,,,1.4,1.9,0.635,0.646,0.564
세종 - 계 - 매우 좋다,Statistics,,,,22.0,18.6,33.366,31.688,33.707
세종 - 계 - 보통,Statistics,,,,30.2,30.8,22.367,26.838,20.604
세종 - 계 - 약간 나쁘다,Statistics,,,,10.5,8.3,3.381,3.507,2.488
세종 - 계 - 약간 좋다,Statistics,,,,35.9,40.3,40.251,37.321,42.636
세종 - 남자 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종 - 남자 - 매우 나쁘다,Statistics,,,,1.2,1.0,0.808,0.805,0.329
세종 - 남자 - 매우 좋다,Statistics,,,,23.0,17.8,33.236,30.652,33.38
세종 - 남자 - 보통,Statistics,,,,30.4,30.1,22.166,25.459,21.426
세종 - 남자 - 약간 나쁘다,Statistics,,,,10.4,7.9,3.98,2.606,2.345
세종 - 남자 - 약간 좋다,Statistics,,,,35.0,43.2,39.81,40.479,42.52
세종 - 여자 - 계,Statistics,,,,100.0,100.0,100.0,100.0,100.0
세종 - 여자 - 매우 나쁘다,Statistics,,,,1.5,2.8,0.464,0.487,0.788
세종 - 여자 - 매우 좋다,Statistics,,,,21.0,19.4,33.494,32.722,34.018
세종 - 여자 - 보통,Statistics,,,,30.1,31.5,22.565,28.212,19.824
세종 - 여자 - 약간 나쁘다,Statistics,,,,10.6,8.7,2.792,4.407,2.624
세종 - 여자 - 약간 좋다,Statistics,,,,36.7,37.5,40.685,34.172,42.746
울산 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 계 - 매우 나쁘다,Statistics,3.0,4.0,2.8,2.2,2.1,0.904,1.268,0.985
울산 - 계 - 매우 좋다,Statistics,9.1,12.0,9.3,7.5,9.9,15.572,20.857,17.207
울산 - 계 - 보통,Statistics,44.3,40.8,47.7,49.0,41.2,37.617,33.842,34.256
울산 - 계 - 약간 나쁘다,Statistics,18.5,13.3,11.7,14.2,11.9,6.166,6.106,7.457
울산 - 계 - 약간 좋다,Statistics,25.1,29.9,28.6,27.0,34.9,39.741,37.927,40.094
울산 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 남자 - 매우 나쁘다,Statistics,3.4,3.9,3.3,2.3,1.9,1.303,1.212,1.228
울산 - 남자 - 매우 좋다,Statistics,8.2,11.9,9.2,7.1,11.0,13.523,20.709,17.562
울산 - 남자 - 보통,Statistics,46.3,40.8,47.8,49.9,40.5,39.521,34.351,34.968
울산 - 남자 - 약간 나쁘다,Statistics,17.7,14.3,11.2,14.1,11.8,5.615,5.974,7.686
울산 - 남자 - 약간 좋다,Statistics,24.4,29.0,28.5,26.6,34.8,40.039,37.754,38.557
울산 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산 - 여자 - 매우 나쁘다,Statistics,2.7,4.1,2.1,2.1,2.3,0.475,1.327,0.731
울산 - 여자 - 매우 좋다,Statistics,10.1,12.1,9.4,8.0,8.7,17.779,21.013,16.836
울산 - 여자 - 보통,Statistics,42.2,40.8,47.6,47.9,42.0,35.567,33.303,33.51
울산 - 여자 - 약간 나쁘다,Statistics,19.3,12.3,12.2,14.4,12.0,6.759,6.246,7.217
울산 - 여자 - 약간 좋다,Statistics,25.7,30.8,28.6,27.5,35.1,39.42,38.11,41.705
인천 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
