item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
아산시 - 실업률 (％),Statistics,2.1,2.2,1.8,1.7,1.7,2.7,3.2,2.7,1.7,1.6,2.5,2.2
안동시 - 실업률 (％),Statistics,1.0,0.8,2.1,2.4,1.9,2.1,2.5,1.8,3.0,1.9,2.0,2.4
안산시 - 실업률 (％),Statistics,2.5,3.3,4.4,4.4,4.3,4.0,5.3,5.0,5.2,4.9,3.5,3.8
안성시 - 실업률 (％),Statistics,2.6,3.2,1.2,1.7,1.5,2.6,3.5,2.4,3.1,3.1,2.4,2.2
안양시 - 실업률 (％),Statistics,2.6,3.2,3.8,4.5,3.3,5.9,4.6,4.1,4.8,3.4,2.7,2.8
양구군 - 실업률 (％),Statistics,0.9,0.2,1.6,1.6,1.5,1.6,2.9,3.4,1.1,1.6,0.6,1.2
양산시 - 실업률 (％),Statistics,1.6,2.2,2.7,3.2,2.3,4.7,3.9,5.1,3.5,3.1,3.0,2.3
양양군 - 실업률 (％),Statistics,1.4,1.5,1.6,1.4,0.7,1.2,2.2,2.2,2.0,1.6,1.2,0.9
양주시 - 실업률 (％),Statistics,1.1,4.4,2.2,3.3,3.9,4.1,4.8,3.6,3.5,2.9,2.4,4.2
양평군 - 실업률 (％),Statistics,1.0,1.8,1.9,3.2,1.9,2.1,1.4,2.2,2.0,1.8,2.1,1.3
여수시 - 실업률 (％),Statistics,2.3,2.9,2.0,2.2,1.9,2.0,1.8,1.4,1.2,1.0,1.1,1.4
여주군 - 실업률 (％),Statistics,1.2,,,,,,,,,,,
여주시 - 실업률 (％),Statistics,1.1,1.4,1.4,1.2,1.0,2.5,1.9,2.2,1.5,1.5,1.0,1.4
연기군 - 실업률 (％),Statistics,2.0,1.5,0.3,2.1,,,,,,,,
연천군 - 실업률 (％),Statistics,3.6,1.8,2.1,1.8,2.4,3.5,3.5,2.0,1.2,1.4,0.8,1.2
영광군 - 실업률 (％),Statistics,0.9,0.2,1.8,1.8,0.8,0.5,1.6,1.1,0.5,1.3,0.3,1.0
영덕군 - 실업률 (％),Statistics,0.3,0.2,1.9,0.9,0.1,1.2,0.0,0.1,0.5,0.8,0.9,0.4
영동군 - 실업률 (％),Statistics,1.2,0.9,1.0,1.6,1.1,0.2,1.0,0.8,0.7,1.1,0.7,1.9
