item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
울산광역시 - 계 - 취업자,Statistics,431.0,404.0,415.7,433.5,452.9,459.9,470.2,476.4,471.7,489.2,505.5,514.2,507.9,528.3,539.1,538.9,555.4,552.9,567.4,569.6,581.7,553.6,567.7,540.3,547.5,559.4,559.6,564.3
울산광역시 - 남자 - 취업자,Statistics,286.0,259.0,277.6,285.1,294.0,308.7,308.3,310.0,310.1,319.5,324.7,324.5,323.1,333.7,347.5,354.8,368.8,366.7,366.4,360.4,358.6,338.8,349.2,339.0,337.9,343.7,340.5,352.3
울산광역시 - 여자 - 취업자,Statistics,146.0,145.0,138.2,148.4,158.8,151.2,161.9,166.4,161.5,169.8,180.8,189.7,184.9,194.7,191.6,184.1,186.6,186.2,201.0,209.2,223.0,214.7,218.5,201.2,209.5,215.7,219.1,212.0
인천광역시 - 계 - 취업자,Statistics,1005.0,973.0,1055.1,1087.5,1151.3,1146.6,1160.6,1167.8,1178.4,1206.4,1260.8,1246.5,1282.2,1313.9,1376.2,1389.4,1434.4,1441.1,1496.2,1490.3,1538.1,1547.1,1551.6,1505.1,1527.8,1597.0,1639.3,1681.1
인천광역시 - 남자 - 취업자,Statistics,638.0,600.0,646.6,660.7,691.6,701.0,704.3,706.1,717.5,726.6,759.6,748.8,769.4,793.4,813.4,818.0,844.2,839.0,873.2,865.1,888.5,883.5,887.9,862.1,891.4,908.8,931.7,949.8
인천광역시 - 여자 - 취업자,Statistics,367.0,374.0,408.6,426.8,459.6,445.6,456.3,461.7,461.0,479.7,501.2,497.7,512.8,520.5,562.9,571.5,590.2,602.0,623.0,625.2,649.6,663.6,663.6,643.1,636.3,688.2,707.6,731.3
전라남도 - 계 - 취업자,Statistics,974.0,947.0,967.7,950.1,958.5,970.3,941.2,936.2,919.8,925.4,909.1,900.5,895.0,850.8,897.0,907.8,899.6,921.5,906.6,903.7,927.4,940.7,955.7,919.8,964.1,979.7,970.2,962.1
전라남도 - 남자 - 취업자,Statistics,546.0,528.0,545.9,522.7,522.4,530.3,522.5,520.6,514.7,517.2,510.6,505.5,512.6,496.2,514.6,521.6,523.9,536.3,526.1,517.7,533.1,534.3,549.6,536.6,550.7,558.5,549.2,547.9
전라남도 - 여자 - 취업자,Statistics,428.0,419.0,421.8,427.3,436.1,440.0,418.7,415.6,405.1,408.2,398.5,395.1,382.4,354.5,382.5,386.2,375.8,385.1,380.4,386.0,394.3,406.4,406.0,383.2,413.4,421.2,421.0,414.2
전북특별자치도 - 계 - 취업자,Statistics,724.0,724.0,750.2,753.8,779.6,766.2,784.2,763.5,772.6,787.1,799.6,806.5,782.7,781.6,797.2,829.3,839.0,862.9,876.8,889.5,870.4,894.3,907.1,892.5,922.6,929.4,949.9,937.9
