item,category,2009,2011,2013,2015,2017,2019,2021,2023
경상북도 - 계 - 관광자 1인당 여행횟수,Statistics,4.5,4.2,4.3,5.0,6.0,5.6,4.742,5.72
경상북도 - 계 - 국내관광여행 경험없음,Statistics,37.3,38.7,34.3,31.8,28.2,34.2,67.378,
경상북도 - 계 - 국내관광여행 경험있음,Statistics,62.7,61.3,65.7,68.2,71.8,65.8,32.622,64.092
경상북도 - 계 - 인구 1인당 여행횟수,Statistics,2.8,2.6,2.9,3.4,4.3,3.7,1.547,3.666
경상북도 - 남자 - - 당일여행,Statistics,44.7,45.3,51.5,55.2,58.0,45.4,24.247,45.441
경상북도 - 남자 - - 숙박여행,Statistics,37.8,36.8,39.0,38.8,45.5,45.7,21.473,44.658
경상북도 - 남자 - · 관광자 1인당 여행횟수,Statistics,2.6,2.3,2.6,2.6,2.8,3.3,2.456,3.056
경상북도 - 남자 - · 인구 1인당 여행횟수,Statistics,1.0,0.9,1.0,1.0,1.3,1.5,0.527,1.365
경상북도 - 남자 - · 회당 평균 숙박일수,Statistics,2.3,2.3,2.3,2.4,2.3,2.5,2.344,2.528
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 관광자 1인당 여행횟수,Statistics,4.6,4.3,4.7,5.1,6.0,5.6,4.722,5.894
경상북도 - 남자 - 국내관광여행 경험없음,Statistics,36.3,37.8,34.2,31.9,28.0,33.7,66.527,
경상북도 - 남자 - 국내관광여행 경험있음,Statistics,63.7,62.2,65.8,68.1,72.0,66.3,33.473,62.234
경상북도 - 남자 - 인구 1인당 여행횟수,Statistics,3.0,2.7,3.1,3.5,4.3,3.7,1.581,3.668
경상북도 - 여자 - - 당일여행,Statistics,45.3,45.2,51.1,56.5,61.2,49.5,23.576,46.713
경상북도 - 여자 - - 숙박여행,Statistics,33.9,31.8,36.4,37.0,40.5,42.5,19.713,47.214
경상북도 - 여자 - · 관광자 1인당 여행횟수,Statistics,2.5,2.2,2.2,2.5,3.0,3.3,2.572,2.976
경상북도 - 여자 - · 인구 1인당 여행횟수,Statistics,0.8,0.7,0.8,0.9,1.2,1.4,0.507,1.405
경상북도 - 여자 - · 회당 평균 숙박일수,Statistics,2.3,2.4,2.4,2.3,2.4,2.6,2.43,2.607
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 관광자 1인당 여행횟수,Statistics,4.3,4.1,4.0,4.9,6.1,5.6,4.764,5.554
경상북도 - 여자 - 국내관광여행 경험없음,Statistics,38.2,39.6,34.4,31.6,28.4,34.7,68.237,
경상북도 - 여자 - 국내관광여행 경험있음,Statistics,61.8,60.4,65.6,68.4,71.6,65.3,31.763,65.969
경상북도 - 여자 - 인구 1인당 여행횟수,Statistics,2.7,2.5,2.7,3.3,4.4,3.6,1.513,3.664
광주광역시 - 계 - - 당일여행,Statistics,48.4,55.7,70.0,59.7,66.8,63.9,32.221,44.34
광주광역시 - 계 - - 숙박여행,Statistics,40.8,44.3,53.6,49.6,54.7,57.0,28.695,52.052
광주광역시 - 계 - · 관광자 1인당 여행횟수,Statistics,2.5,2.3,2.6,2.8,2.9,2.7,2.42,3.074
광주광역시 - 계 - · 인구 1인당 여행횟수,Statistics,1.0,1.0,1.4,1.4,1.6,1.6,0.694,1.6
광주광역시 - 계 - · 회당 평균 숙박일수,Statistics,2.5,2.3,2.3,2.4,2.4,2.5,2.345,2.413
광주광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 계 - 관광자 1인당 여행횟수,Statistics,5.7,4.7,6.3,5.7,6.4,6.7,4.94,5.914
광주광역시 - 계 - 국내관광여행 경험없음,Statistics,37.7,31.2,20.0,25.1,22.1,22.3,54.314,
광주광역시 - 계 - 국내관광여행 경험있음,Statistics,62.3,68.8,80.0,74.9,77.9,77.7,45.686,71.044
광주광역시 - 계 - 인구 1인당 여행횟수,Statistics,3.5,3.2,5.1,4.3,5.0,5.2,2.257,4.201
광주광역시 - 남자 - - 당일여행,Statistics,48.3,55.2,69.1,59.3,68.0,62.2,31.094,43.52
광주광역시 - 남자 - - 숙박여행,Statistics,41.0,44.0,54.0,49.7,55.6,58.5,27.874,52.407
광주광역시 - 남자 - · 관광자 1인당 여행횟수,Statistics,2.5,2.3,2.6,2.8,2.8,2.7,2.333,2.891
광주광역시 - 남자 - · 인구 1인당 여행횟수,Statistics,1.0,1.0,1.4,1.4,1.6,1.6,0.65,1.515
광주광역시 - 남자 - · 회당 평균 숙박일수,Statistics,2.5,2.3,2.3,2.4,2.4,2.5,2.299,2.424
광주광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 남자 - 관광자 1인당 여행횟수,Statistics,5.8,4.7,6.4,6.0,6.3,6.6,4.792,5.545
광주광역시 - 남자 - 국내관광여행 경험없음,Statistics,38.1,32.1,20.1,25.8,20.5,22.3,55.63,
광주광역시 - 남자 - 국내관광여행 경험있음,Statistics,61.9,67.9,79.9,74.2,79.5,77.7,44.37,71.297
광주광역시 - 남자 - 인구 1인당 여행횟수,Statistics,3.6,3.2,5.1,4.4,5.0,5.2,2.126,3.953
광주광역시 - 여자 - - 당일여행,Statistics,48.5,56.2,70.9,60.1,65.6,65.6,33.307,45.129
광주광역시 - 여자 - - 숙박여행,Statistics,40.6,44.6,53.3,49.6,53.9,55.5,29.487,51.709
광주광역시 - 여자 - · 관광자 1인당 여행횟수,Statistics,2.4,2.3,2.5,2.7,3.0,2.8,2.5,3.252
광주광역시 - 여자 - · 인구 1인당 여행횟수,Statistics,1.0,1.0,1.3,1.3,1.6,1.6,0.737,1.681
광주광역시 - 여자 - · 회당 평균 숙박일수,Statistics,2.4,2.3,2.3,2.4,2.3,2.5,2.388,2.402
광주광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
광주광역시 - 여자 - 관광자 1인당 여행횟수,Statistics,5.5,4.8,6.3,5.4,6.4,6.8,5.075,6.271
광주광역시 - 여자 - 국내관광여행 경험없음,Statistics,37.3,30.3,20.0,24.5,23.7,22.3,53.043,
광주광역시 - 여자 - 국내관광여행 경험있음,Statistics,62.7,69.7,80.0,75.5,76.3,77.7,46.957,70.8
광주광역시 - 여자 - 인구 1인당 여행횟수,Statistics,3.5,3.3,5.0,4.1,4.9,5.3,2.383,4.44
대구광역시 - 계 - - 당일여행,Statistics,53.7,54.7,52.3,53.5,58.6,55.8,28.631,47.499
