item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
전국 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,1284.0,1226.0,1027.0,903.0,771.0,644.0,540.0,508.0,443.0,387.0,322.0,326.0,287.0,215.0,225.0,196.0,196.0,163.0,167.0,150.0,139.0,140.0,134.0
전국 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,9924460.5,9827513.5,9694502.5,9544756.0,9361682.0,9128397.0,8881760.0,8641831.0,8383987.0,8129182.0,7905488.5,7709133.5,7521306.5,7336915.5,7151354.0,6982016.5,6844221.0,6700683.5,6541289.5,6381010.0,6210278.0,6002383.0,5772558.5
전라남도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,20.7,21.4,21.8,19.5,14.0,11.6,12.3,10.0,7.1,9.4,6.7,7.2,9.0,3.9,4.4,4.1,7.6,3.5,5.0,1.4,5.8,3.0,2.6
전라남도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,84.0,84.0,83.0,72.0,50.0,40.0,41.0,32.0,22.0,28.0,19.0,20.0,24.0,10.0,11.0,10.0,18.0,8.0,11.0,3.0,12.0,6.0,5.0
전라남도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,405050.0,392847.0,380277.0,368610.5,357220.0,344923.5,332286.0,320851.5,308848.5,296608.0,285604.5,275968.5,266691.0,257730.5,249632.0,242638.5,236213.0,229282.5,221927.5,215269.5,208548.5,200273.5,191454.5
전북특별자치도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,19.0,18.6,18.3,14.7,10.6,9.8,7.2,9.9,7.3,6.9,6.5,4.9,3.6,2.3,3.9,2.8,2.5,2.6,2.2,2.3,1.4,3.0,1.6
전북특별자치도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,76.0,73.0,70.0,55.0,38.0,34.0,24.0,32.0,23.0,21.0,19.0,14.0,10.0,6.0,10.0,7.0,6.0,6.0,5.0,5.0,3.0,6.0,3.0
전북특별자치도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,400980.5,391935.0,382962.5,373704.5,356967.5,345513.0,335162.0,324622.0,313055.0,302284.0,292701.0,284047.5,275283.0,266563.0,257631.5,248940.5,241056.0,232715.0,223966.5,215670.5,207517.0,198032.5,187943.5
제주특별자치도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,20.8,16.6,18.2,12.4,14.2,7.7,7.0,5.4,10.2,6.7,7.8,5.0,1.0,5.1,7.1,,3.0,2.0,4.1,4.2,4.2,4.3,4.5
제주특별자치도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,25.0,20.0,22.0,15.0,17.0,9.0,8.0,6.0,11.0,7.0,8.0,5.0,1.0,5.0,7.0,,3.0,2.0,4.0,4.0,4.0,4.0,4.0
제주특별자치도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,120156.5,120765.5,120835.0,120523.5,119493.0,117353.0,114598.0,111524.5,108057.0,104881.0,102324.0,100444.0,99310.0,98664.5,98097.5,97917.0,98369.5,98435.5,97515.5,96284.5,95009.5,92857.5,89645.0
충청남도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,18.4,18.2,21.2,13.1,12.0,11.4,6.5,8.0,7.5,7.4,6.6,6.3,2.9,3.9,4.6,2.0,3.1,4.5,3.2,3.2,4.8,3.1,0.8
충청남도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,70.0,68.0,78.0,48.0,44.0,41.0,23.0,28.0,26.0,25.0,22.0,20.0,9.0,12.0,14.0,6.0,9.0,13.0,9.0,9.0,13.0,8.0,2.0
충청남도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,379407.5,373950.5,368758.5,367646.5,365730.5,360073.5,354836.5,350207.5,344808.0,339565.0,335419.5,318046.5,312818.5,307313.0,301201.5,296337.5,293788.5,290699.0,284750.5,277349.0,269547.0,260457.0,250670.0
충청북도 - 아동 십만명당 안전사고사망률＜br＞(A÷B×100000),Statistics,14.9,13.4,9.0,12.9,10.4,8.9,8.7,8.2,5.7,7.0,4.4,6.6,6.3,3.0,4.0,3.7,1.4,2.9,1.5,1.5,1.6,3.2,3.9
충청북도 - 안전사고사망자수(0-14세)＜br＞(A),Statistics,46.0,41.0,27.0,38.0,30.0,25.0,24.0,22.0,15.0,18.0,11.0,16.0,15.0,7.0,9.0,8.0,3.0,6.0,3.0,3.0,3.0,6.0,7.0
충청북도 - 주민등록연앙인구(0-14세)＜br＞(B),Statistics,309523.0,304876.5,299728.5,294604.5,288739.0,282030.5,275796.0,269607.0,262493.0,255455.0,249353.0,242611.0,236322.5,229631.0,222630.0,216696.5,212087.5,207712.5,203162.5,198440.5,193476.0,186701.5,179236.0
