item,category,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
경산시 - 계 - 농가수,Statistics,55.0,52.0,47.0,47.0,49.0,55.0,71.0,75.0,76.0,81.0
경산시 - 계 - 출하량,Statistics,943.0,1022.0,5125.8,1643.0,4052.58,1359.09,1026.42,4654.15,6622.94,4252.85
경산시 - 무항생제축산물 - 건수,Statistics,13.0,36.0,42.0,44.0,49.0,55.0,71.0,75.0,76.0,81.0
경산시 - 무항생제축산물 - 농가수,Statistics,55.0,52.0,47.0,47.0,49.0,55.0,71.0,75.0,76.0,81.0
경산시 - 무항생제축산물 - 출하량,Statistics,943.0,1022.0,5125.8,1643.0,4052.58,1359.09,1026.42,4654.15,6622.94,4252.85
경상남도 소계 - 계 - 건수,Statistics,350.0,357.0,367.0,303.0,337.0,325.0,358.0,381.0,382.0,406.0
경상남도 소계 - 계 - 농가수,Statistics,717.0,841.0,654.0,578.0,534.0,506.0,542.0,576.0,577.0,595.0
경상남도 소계 - 계 - 출하량,Statistics,63142.0,79394.0,88984.4,73442.0,63681.27,64813.17,74351.4,105311.59,107061.34,124099.15
경상남도 소계 - 무항생제축산물 - 건수,Statistics,346.0,355.0,366.0,301.0,335.0,323.0,356.0,379.0,379.0,402.0
경상남도 소계 - 무항생제축산물 - 농가수,Statistics,693.0,823.0,640.0,568.0,518.0,490.0,526.0,557.0,565.0,582.0
경상남도 소계 - 무항생제축산물 - 출하량,Statistics,63022.0,79384.0,88891.3,73330.0,63674.7,64685.81,74258.3,105193.93,106920.5,123488.11
경상남도 소계 - 유기축산물 - 건수,Statistics,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0
경상남도 소계 - 유기축산물 - 농가수,Statistics,24.0,18.0,14.0,10.0,16.0,16.0,16.0,19.0,12.0,13.0
경상남도 소계 - 유기축산물 - 출하량,Statistics,120.0,10.0,93.1,112.0,6.57,127.36,93.1,117.66,140.84,611.05
경상북도 소계 - 계 - 건수,Statistics,589.0,679.0,694.0,519.0,505.0,519.0,595.0,635.0,655.0,782.0
경상북도 소계 - 계 - 농가수,Statistics,937.0,890.0,853.0,642.0,601.0,617.0,689.0,726.0,735.0,811.0
경상북도 소계 - 계 - 출하량,Statistics,135052.0,157219.0,248499.7,104873.0,121045.68,136980.74,144541.58,201769.33,215973.3,223982.32
경상북도 소계 - 무항생제축산물 - 건수,Statistics,586.0,676.0,690.0,516.0,502.0,517.0,591.0,631.0,650.0,777.0
경상북도 소계 - 무항생제축산물 - 농가수,Statistics,934.0,887.0,849.0,639.0,598.0,615.0,685.0,722.0,730.0,806.0
경상북도 소계 - 무항생제축산물 - 출하량,Statistics,134967.0,157127.0,248232.5,104498.0,120814.08,136726.67,144252.33,201572.92,215750.77,223600.89
경상북도 소계 - 유기축산물 - 건수,Statistics,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0
경상북도 소계 - 유기축산물 - 농가수,Statistics,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0
경상북도 소계 - 유기축산물 - 출하량,Statistics,85.0,92.0,267.2,375.0,231.6,254.07,289.24,196.42,222.53,381.43
경주시 - 계 - 건수,Statistics,37.0,30.0,54.0,66.0,62.0,70.0,86.0,87.0,80.0,77.0
경주시 - 계 - 농가수,Statistics,67.0,54.0,77.0,66.0,62.0,70.0,86.0,87.0,80.0,77.0
경주시 - 계 - 출하량,Statistics,13832.0,14334.0,18325.8,5306.0,4022.35,5646.07,6139.0,7600.45,8218.26,7599.37
경주시 - 무항생제축산물 - 건수,Statistics,37.0,30.0,54.0,66.0,62.0,70.0,86.0,87.0,80.0,77.0
경주시 - 무항생제축산물 - 농가수,Statistics,67.0,54.0,77.0,66.0,62.0,70.0,86.0,87.0,80.0,77.0
경주시 - 무항생제축산물 - 출하량,Statistics,13832.0,14334.0,18325.8,5306.0,4022.35,5646.07,6139.0,7600.45,8218.26,7599.37
계양구 - 계 - 건수,Statistics,1.0,,,,1.0,,,,,
계양구 - 계 - 농가수,Statistics,1.0,,,,1.0,,,,,
계양구 - 계 - 출하량,Statistics,135.0,,,,,,,,,
계양구 - 무항생제축산물 - 건수,Statistics,1.0,,,,1.0,,,,,
계양구 - 무항생제축산물 - 농가수,Statistics,1.0,,,,1.0,,,,,
계양구 - 무항생제축산물 - 출하량,Statistics,135.0,,,,,,,,,
고령군 - 계 - 건수,Statistics,14.0,27.0,24.0,15.0,17.0,13.0,13.0,13.0,16.0,20.0
고령군 - 계 - 농가수,Statistics,31.0,28.0,24.0,15.0,17.0,13.0,13.0,13.0,16.0,20.0
고령군 - 계 - 출하량,Statistics,3854.0,2476.0,3214.8,1034.0,1592.37,829.48,1904.86,152.42,1246.79,2084.96
고령군 - 무항생제축산물 - 건수,Statistics,14.0,27.0,24.0,15.0,17.0,13.0,13.0,13.0,16.0,20.0
고령군 - 무항생제축산물 - 농가수,Statistics,31.0,28.0,24.0,15.0,17.0,13.0,13.0,13.0,16.0,20.0
고령군 - 무항생제축산물 - 출하량,Statistics,3854.0,2476.0,3214.8,1034.0,1592.37,829.48,1904.86,152.42,1246.79,2084.96
고성군 - 계 - 건수,Statistics,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
고성군 - 계 - 농가수,Statistics,2.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
고성군 - 계 - 출하량,Statistics,5.0,18.0,6.5,11.0,7.61,8.27,5.6,60.26,26.98,24.8
고성군 - 무항생제축산물 - 건수,Statistics,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
고성군 - 무항생제축산물 - 농가수,Statistics,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
고성군 - 무항생제축산물 - 출하량,Statistics,5.0,18.0,6.5,8.0,7.61,8.27,5.6,60.26,26.98,24.8
고성군 - 유기축산물 - 건수,Statistics,,1.0,1.0,1.0,,,,,,
고성군 - 유기축산물 - 농가수,Statistics,,1.0,1.0,1.0,,,,,,
고성군 - 유기축산물 - 출하량,Statistics,,,,3.0,,,,,,
고양시 - 계 - 건수,Statistics,41.0,47.0,46.0,41.0,40.0,38.0,38.0,36.0,36.0,39.0
