item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
광산구 - 전문대＜br＞(B),Statistics,5442.0,5389.0,5415.0,5320.0,5486.0,5456.0,5454.0,5376.0,5180.0,4999.0,4888.0,4875.0,4830.0,4751.0,4672.0,4564.0,4491.0
광양시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,4063.0,4184.0,4423.0,4874.0,5230.0,4136.0,3411.0,3279.0,2754.0,2415.0,2106.0,1702.0,1277.0,878.0,210.0,141.0,131.0
광양시 - 산업대＜br＞(D),Statistics,1241.0,1358.0,1388.0,1117.0,704.0,290.0,,,,,,,,,,,
광양시 - 일반대＜br＞(A),Statistics,,,,503.0,1221.0,705.0,839.0,840.0,838.0,708.0,629.0,517.0,454.0,424.0,,,
광양시 - 전문대＜br＞(B),Statistics,2822.0,2826.0,3035.0,3254.0,3305.0,3141.0,2572.0,2439.0,1916.0,1707.0,1477.0,1185.0,823.0,454.0,210.0,141.0,131.0
광주광역시 - 교육대＜br＞(C),Statistics,2082.0,1978.0,1885.0,1802.0,1688.0,1597.0,1513.0,1446.0,1432.0,1418.0,1408.0,1401.0,1389.0,1359.0,1337.0,1335.0,1319.0
광주광역시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,116577.0,116786.0,117771.0,118071.0,116977.0,116534.0,117615.0,116106.0,113624.0,111946.0,111046.0,109105.0,108225.0,104086.0,101125.0,94217.0,92008.0
광주광역시 - 산업대＜br＞(D),Statistics,2365.0,1306.0,663.0,355.0,257.0,169.0,,,,,,,,,,,
광주광역시 - 일반대＜br＞(A),Statistics,81218.0,82334.0,83602.0,84268.0,85459.0,86712.0,88274.0,87415.0,86280.0,84814.0,84187.0,82653.0,82338.0,79973.0,78184.0,75438.0,73657.0
광주광역시 - 전문대＜br＞(B),Statistics,30912.0,31168.0,31621.0,31646.0,29573.0,28056.0,27828.0,27245.0,25912.0,25714.0,25451.0,25051.0,24498.0,22754.0,21604.0,17444.0,17032.0
광주시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,7577.0,7791.0,7898.0,7702.0,7584.0,7225.0,7009.0,6933.0,6704.0,6392.0,6343.0,6250.0,6058.0,5281.0,4522.0,3965.0,3978.0
광주시 - 일반대＜br＞(A),Statistics,677.0,673.0,679.0,694.0,684.0,668.0,663.0,679.0,661.0,648.0,631.0,635.0,599.0,517.0,453.0,379.0,357.0
광주시 - 전문대＜br＞(B),Statistics,6900.0,7118.0,7219.0,7008.0,6900.0,6557.0,6346.0,6254.0,6043.0,5744.0,5712.0,5615.0,5459.0,4764.0,4069.0,3586.0,3621.0
광진구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,37696.0,39142.0,40275.0,40921.0,41188.0,41252.0,40014.0,39423.0,39403.0,39617.0,39779.0,40186.0,40242.0,39791.0,39221.0,39461.0,39825.0
광진구 - 일반대＜br＞(A),Statistics,37696.0,39142.0,40275.0,40921.0,41188.0,41252.0,40014.0,39423.0,39403.0,39617.0,39779.0,40186.0,40242.0,39791.0,39221.0,39461.0,39825.0
괴산군 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,213.0,316.0,741.0,1235.0,2129.0,3032.0,3907.0,4713.0,5090.0,5399.0,5672.0,5636.0,5591.0,5216.0,4819.0,4257.0,4009.0
괴산군 - 일반대＜br＞(A),Statistics,,221.0,698.0,1228.0,2129.0,3032.0,3907.0,4713.0,5090.0,5399.0,5672.0,5636.0,5591.0,5216.0,4819.0,4257.0,4009.0
괴산군 - 전문대＜br＞(B),Statistics,213.0,95.0,43.0,7.0,,,,,,,,,,,,,
구로구 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,15943.0,16070.0,16390.0,16625.0,16735.0,16532.0,16475.0,16199.0,15667.0,15203.0,14783.0,14489.0,14155.0,13914.0,13671.0,13398.0,13294.0
구로구 - 일반대＜br＞(A),Statistics,4186.0,4337.0,4426.0,4436.0,4400.0,4312.0,4292.0,4251.0,4156.0,4086.0,3959.0,3895.0,3833.0,3758.0,3698.0,3701.0,3726.0
구로구 - 전문대＜br＞(B),Statistics,11757.0,11733.0,11964.0,12189.0,12335.0,12220.0,12183.0,11948.0,11511.0,11117.0,10824.0,10594.0,10322.0,10156.0,9973.0,9697.0,9568.0
구미시 - 대학교 재학생수＜br＞(A+B+C+D),Statistics,22821.0,23105.0,23967.0,25157.0,25695.0,26158.0,25792.0,25665.0,24968.0,23931.0,22961.0,22002.0,21221.0,20975.0,20280.0,19927.0,20149.0
구미시 - 산업대＜br＞(D),Statistics,6851.0,6900.0,7225.0,7895.0,6495.0,4976.0,3280.0,1831.0,940.0,330.0,,,,,,,
