item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
계양구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,51.6,51.1,54.6,50.8,64.3,50.8,66.4,66.1,71.4,69.7,67.0,68.8,67.3,57.5,59.3,61.2,59.3,61.5,59.9,70.2,53.2,49.2,45.9
계양구 - 생활계폐기물 총발생량＜br＞(B),Statistics,297.9,371.8,391.8,280.0,228.0,191.3,262.1,242.3,284.8,266.1,234.7,241.8,262.0,185.2,195.2,206.4,206.0,218.8,228.4,323.0,361.5,323.9,342.5
계양구 - 총재활용량＜br＞(A),Statistics,153.7,190.0,214.0,142.3,146.5,97.2,174.1,160.2,203.3,185.4,157.2,166.3,176.2,106.5,115.8,126.3,122.2,134.6,136.7,226.8,192.3,159.4,157.3
고령군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,25.9,28.4,39.8,47.7,32.8,36.3,38.2,35.5,27.3,30.4,28.6,29.6,15.4,26.6,23.6,23.9,24.1,47.4,49.0,65.1,50.8,61.3,49.7
고령군 - 생활계폐기물 총발생량＜br＞(B),Statistics,15.8,21.5,24.9,23.7,18.9,21.2,23.3,22.8,20.9,20.4,19.6,19.6,17.5,20.3,23.7,25.5,27.0,39.0,53.9,90.3,73.0,66.4,76.4
고령군 - 총재활용량＜br＞(A),Statistics,4.1,6.1,9.9,11.3,6.2,7.7,8.9,8.1,5.7,6.2,5.6,5.8,2.7,5.4,5.6,6.1,6.5,18.5,26.4,58.8,37.1,40.7,38.0
고성군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,33.6,28.3,29.0,20.5,33.8,35.1,64.6,34.4,28.6,34.7,32.1,30.4,27.4,13.6,13.2,20.2,33.8,47.4,36.1,50.8,38.2,60.1,54.6
고성군 - 생활계폐기물 총발생량＜br＞(B),Statistics,39.0,44.9,49.7,51.7,36.7,42.4,45.8,31.4,46.5,56.5,71.4,71.1,69.7,57.9,58.2,50.0,61.2,34.0,55.7,65.2,64.1,76.1,72.1
고성군 - 총재활용량＜br＞(A),Statistics,13.1,12.7,14.4,10.6,12.4,14.9,29.6,10.8,13.3,19.6,22.9,21.6,19.1,7.9,7.7,10.1,20.7,16.1,20.1,33.1,24.5,45.7,39.4
고양시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,38.9,38.8,42.5,48.0,60.8,61.4,62.3,61.4,63.6,64.2,62.3,66.4,63.5,60.8,68.3,65.5,64.8,63.1,67.3,65.7,73.3,72.6,70.6
고양시 - 생활계폐기물 총발생량＜br＞(B),Statistics,679.6,707.3,707.7,695.8,690.2,646.7,724.0,783.7,832.9,843.5,877.2,845.6,895.9,874.2,913.0,885.6,953.4,924.3,936.9,993.9,1297.4,1338.6,1138.2
고양시 - 총재활용량＜br＞(A),Statistics,264.4,274.1,300.8,334.2,419.4,397.3,450.7,481.5,529.7,541.2,546.2,561.1,569.1,531.4,623.7,580.4,618.0,583.2,630.3,653.0,951.5,971.9,803.2
고창군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,58.4,36.9,57.7,58.4,63.8,67.1,70.1,70.4,68.3,66.7,69.2,73.1,72.4,75.4,69.8,68.8,79.8,76.7,74.7,70.7,74.5,77.6,76.2
고창군 - 생활계폐기물 총발생량＜br＞(B),Statistics,49.7,49.9,48.7,48.6,49.2,49.2,52.1,50.7,47.9,45.7,41.5,45.0,45.6,54.1,43.7,44.3,80.8,63.1,62.0,63.5,64.8,69.5,60.5
고창군 - 총재활용량＜br＞(A),Statistics,29.0,18.4,28.1,28.4,31.4,33.0,36.5,35.7,32.7,30.5,28.7,32.9,33.0,40.8,30.5,30.5,64.5,48.4,46.3,44.9,48.3,53.9,46.1
고흥군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,44.9,46.3,46.9,33.1,31.6,31.8,44.5,53.3,55.7,42.1,42.4,48.7,44.7,35.9,33.8,28.7,21.1,15.9,33.8,37.2,34.6,38.4,39.9
고흥군 - 생활계폐기물 총발생량＜br＞(B),Statistics,66.8,65.0,64.0,61.6,59.5,58.8,55.1,70.9,76.1,61.0,60.2,64.3,63.6,58.0,63.7,55.0,60.7,64.9,80.2,70.9,73.6,80.4,84.2
고흥군 - 총재활용량＜br＞(A),Statistics,30.0,30.1,30.0,20.4,18.8,18.7,24.5,37.8,42.4,25.7,25.5,31.3,28.4,20.8,21.5,15.8,12.8,10.3,27.1,26.4,25.5,30.9,33.6
곡성군 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,7.8,38.5,38.7,31.0,41.5,44.2,49.1,50.0,51.0,69.5,64.7,62.8,62.4,66.7,56.0,59.0,100.0,100.0,100.0,65.4,72.6,62.0,60.0
곡성군 - 생활계폐기물 총발생량＜br＞(B),Statistics,29.5,23.9,24.8,24.2,28.2,26.0,29.1,27.4,25.1,17.7,18.7,19.9,20.2,22.8,26.6,25.1,21.7,21.5,21.0,47.1,61.4,26.6,27.0
곡성군 - 총재활용량＜br＞(A),Statistics,2.3,9.2,9.6,7.5,11.7,11.5,14.3,13.7,12.8,12.3,12.1,12.5,12.6,15.2,14.9,14.8,21.7,21.5,21.0,30.8,44.6,16.5,16.2
공주시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,38.4,40.9,22.7,30.9,33.8,28.8,47.5,59.6,59.9,60.3,60.8,62.9,63.7,58.1,68.9,67.0,69.8,71.7,57.7,31.1,45.3,42.5,41.7
공주시 - 생활계폐기물 총발생량＜br＞(B),Statistics,102.0,117.0,220.1,827.9,123.4,119.6,126.4,144.6,136.5,135.1,135.5,130.6,130.7,128.1,150.0,141.2,155.8,173.8,140.9,98.1,101.0,96.9,94.9
공주시 - 총재활용량＜br＞(A),Statistics,39.2,47.8,49.9,256.2,41.7,34.5,60.1,86.2,81.8,81.5,82.4,82.1,83.2,74.4,103.3,94.6,108.7,124.6,81.3,30.5,45.8,41.2,39.6
과천시 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,32.4,32.7,34.9,36.9,44.3,37.8,41.0,37.3,37.2,36.8,36.2,35.1,32.6,30.4,26.7,37.5,32.6,36.4,42.0,44.1,48.5,53.9,62.1
과천시 - 생활계폐기물 총발생량＜br＞(B),Statistics,77.4,85.3,83.3,82.6,73.1,51.8,70.3,82.4,80.1,79.8,78.2,79.5,76.8,73.6,73.5,89.6,70.3,88.7,89.2,74.4,87.6,94.4,92.9
과천시 - 총재활용량＜br＞(A),Statistics,25.1,27.9,29.1,30.5,32.4,19.6,28.8,30.7,29.8,29.4,28.3,27.9,25.0,22.4,19.6,33.6,22.9,32.3,37.5,32.8,42.5,50.9,57.7
관악구 - 생활계폐기물 재활용률＜br＞(A÷B×100),Statistics,34.5,41.6,49.8,57.8,65.7,65.3,68.0,71.3,68.7,47.9,49.0,59.0,57.0,61.6,62.1,62.7,64.0,72.3,72.0,70.4,60.1,67.8,66.3
