item,category,2009,2011,2013,2015,2017,2019,2021,2023
울산광역시 - 계 - 약간 좋아짐,Statistics,29.2,29.7,35.3,31.5,39.2,38.0,25.213,29.32
울산광역시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 남자 - 많이 나빠짐,Statistics,8.2,6.7,6.2,2.9,3.1,3.1,5.234,2.342
울산광역시 - 남자 - 많이 좋아짐,Statistics,4.1,3.8,3.0,3.9,3.0,2.4,5.22,5.125
울산광역시 - 남자 - 변화없음,Statistics,45.3,40.7,42.0,48.6,46.6,46.5,48.213,50.469
울산광역시 - 남자 - 약간 나빠짐,Statistics,14.4,20.7,13.8,15.0,11.1,10.6,18.818,14.014
울산광역시 - 남자 - 약간 좋아짐,Statistics,28.1,28.0,35.0,29.6,36.2,37.4,22.516,28.05
울산광역시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
울산광역시 - 여자 - 많이 나빠짐,Statistics,5.9,6.7,5.1,3.0,2.7,2.5,6.181,1.21
울산광역시 - 여자 - 많이 좋아짐,Statistics,4.7,3.9,3.8,5.7,4.6,3.7,6.856,3.953
울산광역시 - 여자 - 변화없음,Statistics,43.5,39.9,41.8,45.3,41.4,48.6,42.618,51.521
울산광역시 - 여자 - 약간 나빠짐,Statistics,15.6,18.1,13.6,12.5,9.1,6.6,16.303,12.684
울산광역시 - 여자 - 약간 좋아짐,Statistics,30.4,31.5,35.6,33.4,42.3,38.6,28.042,30.633
인천광역시 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
인천광역시 - 계 - 많이 나빠짐,Statistics,8.4,9.6,9.0,2.3,3.7,1.5,6.399,2.501
인천광역시 - 계 - 많이 좋아짐,Statistics,6.5,3.6,4.3,6.5,4.5,6.7,4.938,6.906
인천광역시 - 계 - 변화없음,Statistics,42.1,38.9,44.5,49.2,45.8,42.4,44.252,51.071
인천광역시 - 계 - 약간 나빠짐,Statistics,16.7,25.1,19.5,8.8,16.1,7.9,20.623,9.922
