진해 - 비만유병률(표준화율),Statistics,33.9
창녕군 - 비만유병률(표준화율),Statistics,38.3
창원 - 비만유병률(표준화율),Statistics,34.8
창원시 - 비만유병률(표준화율),Statistics,33.3
처인구 - 비만유병률(표준화율),Statistics,40.7
천안시 - 비만유병률(표준화율),Statistics,33.4
철원군 - 비만유병률(표준화율),Statistics,39.8
청도군 - 비만유병률(표준화율),Statistics,33.9
청송군 - 비만유병률(표준화율),Statistics,39.1
청양군 - 비만유병률(표준화율),Statistics,38.5
청원구 - 비만유병률(표준화율),Statistics,33.3
청주시 - 비만유병률(표준화율),Statistics,32.7
춘천시 - 비만유병률(표준화율),Statistics,32.6
충주시 - 비만유병률(표준화율),Statistics,38.7
충청남도 - 비만유병률(표준화율),Statistics,36.1
충청북도 - 비만유병률(표준화율),Statistics,34.7
칠곡군 - 비만유병률(표준화율),Statistics,39.1
태백시 - 비만유병률(표준화율),Statistics,39.8
태안군 - 비만유병률(표준화율),Statistics,36.5
통영시 - 비만유병률(표준화율),Statistics,32.8
파주시 - 비만유병률(표준화율),Statistics,35.5
팔달구 - 비만유병률(표준화율),Statistics,33.2
평창군 - 비만유병률(표준화율),Statistics,40.1
평택 - 비만유병률(표준화율),Statistics,39.7
평택시 - 비만유병률(표준화율),Statistics,40.0
포천시 - 비만유병률(표준화율),Statistics,34.7
포항시 - 비만유병률(표준화율),Statistics,37.8
하남시 - 비만유병률(표준화율),Statistics,31.5
하동군 - 비만유병률(표준화율),Statistics,34.7
함안군 - 비만유병률(표준화율),Statistics,36.2
함양군 - 비만유병률(표준화율),Statistics,34.9
함평군 - 비만유병률(표준화율),Statistics,35.3
합천군 - 비만유병률(표준화율),Statistics,30.2
해남군 - 비만유병률(표준화율),Statistics,35.4
해운대구 - 비만유병률(표준화율),Statistics,34.6
홍성군 - 비만유병률(표준화율),Statistics,39.8
홍천군 - 비만유병률(표준화율),Statistics,36.1
화성시 - 비만유병률(표준화율),Statistics,36.0
화순군 - 비만유병률(표준화율),Statistics,33.0
화천군 - 비만유병률(표준화율),Statistics,40.2
횡성군 - 비만유병률(표준화율),Statistics,33.2
흥덕구 - 비만유병률(표준화율),Statistics,33.7
