item,category,2003,2004,2005,2006,2007,2008
서천군 - 요양기관수,Statistics,107.0,106.0,109.0,107.0,115.0,118.0
서초구 - 요양기관수,Statistics,944.0,948.0,984.0,1029.0,1094.0,1165.0
성남시분당구 - 요양기관수,Statistics,658.0,657.0,763.0,766.0,806.0,826.0
성남시수정구 - 요양기관수,Statistics,352.0,355.0,366.0,362.0,374.0,366.0
성남시중원구 - 요양기관수,Statistics,351.0,351.0,367.0,379.0,403.0,408.0
성동구 - 요양기관수,Statistics,505.0,502.0,523.0,534.0,546.0,548.0
성북구 - 요양기관수,Statistics,715.0,719.0,724.0,751.0,779.0,771.0
성주군 - 요양기관수,Statistics,62.0,63.0,64.0,68.0,70.0,72.0
속초시 - 요양기관수,Statistics,137.0,137.0,140.0,141.0,144.0,141.0
송파구 - 요양기관수,Statistics,985.0,982.0,1026.0,1072.0,1099.0,1145.0
수성구 - 요양기관수,Statistics,643.0,646.0,651.0,683.0,709.0,731.0
수영구 - 요양기관수,Statistics,294.0,294.0,302.0,303.0,309.0,318.0
수원시권선구 - 요양기관수,Statistics,297.0,300.0,308.0,326.0,339.0,341.0
수원시영통구 - 요양기관수,Statistics,344.0,342.0,358.0,356.0,372.0,374.0
수원시장안구 - 요양기관수,Statistics,369.0,370.0,378.0,361.0,373.0,374.0
수원시팔달구 - 요양기관수,Statistics,420.0,423.0,429.0,437.0,459.0,471.0
순창군 - 요양기관수,Statistics,60.0,63.0,64.0,64.0,67.0,63.0
순천시 - 요양기관수,Statistics,332.0,337.0,351.0,355.0,363.0,372.0
시흥시 - 요양기관수,Statistics,369.0,369.0,402.0,415.0,425.0,433.0
신안군 - 요양기관수,Statistics,56.0,56.0,59.0,59.0,61.0,63.0
아산시 - 요양기관수,Statistics,220.0,221.0,226.0,246.0,255.0,267.0
안동시 - 요양기관수,Statistics,234.0,235.0,242.0,252.0,253.0,256.0
안산시단원구 - 요양기관수,Statistics,458.0,453.0,471.0,501.0,519.0,527.0
안산시상록구 - 요양기관수,Statistics,317.0,314.0,352.0,371.0,385.0,376.0
안성시 - 요양기관수,Statistics,177.0,175.0,190.0,193.0,210.0,222.0
안양시동안구 - 요양기관수,Statistics,484.0,483.0,509.0,543.0,556.0,558.0
안양시만안구 - 요양기관수,Statistics,366.0,366.0,373.0,380.0,376.0,367.0
양구군 - 요양기관수,Statistics,25.0,25.0,25.0,25.0,24.0,25.0
양산시 - 요양기관수,Statistics,229.0,232.0,252.0,271.0,276.0,293.0
양양군 - 요양기관수,Statistics,32.0,32.0,33.0,35.0,35.0,35.0
양주시 - 요양기관수,Statistics,126.0,125.0,130.0,140.0,148.0,157.0
양천구 - 요양기관수,Statistics,642.0,643.0,669.0,698.0,738.0,751.0
양평군 - 요양기관수,Statistics,105.0,105.0,109.0,114.0,115.0,121.0
여수시 - 요양기관수,Statistics,359.0,357.0,365.0,377.0,386.0,395.0
여주시 - 요양기관수,Statistics,131.0,130.0,146.0,146.0,154.0,156.0
연기군 - 요양기관수,Statistics,116.0,118.0,119.0,127.0,132.0,135.0
연수구 - 요양기관수,Statistics,243.0,245.0,243.0,253.0,273.0,283.0
연제구 - 요양기관수,Statistics,329.0,333.0,344.0,376.0,400.0,396.0
연천군 - 요양기관수,Statistics,61.0,61.0,63.0,67.0,67.0,65.0
영광군 - 요양기관수,Statistics,99.0,99.0,99.0,102.0,101.0,103.0
영덕군 - 요양기관수,Statistics,63.0,64.0,67.0,68.0,70.0,73.0
영도구 - 요양기관수,Statistics,198.0,200.0,200.0,199.0,211.0,214.0
영동군 - 요양기관수,Statistics,87.0,88.0,90.0,89.0,93.0,92.0
영등포구 - 요양기관수,Statistics,841.0,841.0,843.0,861.0,887.0,909.0
영암군 - 요양기관수,Statistics,76.0,77.0,81.0,80.0,84.0,84.0
영양군 - 요양기관수,Statistics,27.0,27.0,26.0,27.0,26.0,26.0
영월군 - 요양기관수,Statistics,54.0,54.0,56.0,55.0,53.0,53.0
영주시 - 요양기관수,Statistics,153.0,153.0,155.0,161.0,162.0,164.0
영천시 - 요양기관수,Statistics,172.0,173.0,173.0,173.0,180.0,181.0
예산군 - 요양기관수,Statistics,140.0,140.0,138.0,137.0,149.0,144.0
예천군 - 요양기관수,Statistics,68.0,68.0,71.0,72.0,77.0,76.0
오산시 - 요양기관수,Statistics,159.0,159.0,174.0,189.0,182.0,192.0
옥천군 - 요양기관수,Statistics,93.0,94.0,98.0,102.0,103.0,101.0
옹진군 - 요양기관수,Statistics,18.0,17.0,18.0,18.0,20.0,20.0
완도군 - 요양기관수,Statistics,78.0,78.0,79.0,85.0,84.0,86.0
완주군 - 요양기관수,Statistics,109.0,108.0,113.0,113.0,115.0,122.0
용산구 - 요양기관수,Statistics,390.0,391.0,401.0,413.0,417.0,415.0
용인시 - 요양기관수,Statistics,605.0,614.0,713.0,0.0,,
용인시기흥구 - 요양기관수,Statistics,,,268.0,270.0,333.0,379.0
용인시수지구 - 요양기관수,Statistics,,,346.0,344.0,359.0,367.0
용인시처인구 - 요양기관수,Statistics,,,226.0,225.0,239.0,242.0
울릉군 - 요양기관수,Statistics,11.0,11.0,11.0,11.0,10.0,11.0
울산광역시 - 요양기관수,Statistics,1265.0,1280.0,1323.0,1393.0,1421.0,1467.0
