item,category,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
울산광역시 - 임금근로자＜br＞(B),Statistics,322.0,292.0,309.7,332.1,345.4,362.4,370.5,375.0,366.1,381.4,393.5,401.4,406.6,425.1,432.3,436.7,449.2,451.0,466.9,454.4,474.6,454.3,462.9,441.8,453.8,473.8,462.1,466.9
인천광역시 - 상용근로자＜br＞(A),Statistics,430.0,362.0,369.5,382.4,408.4,388.1,412.9,426.1,433.2,452.9,450.2,450.6,515.9,570.9,609.3,657.0,657.8,719.2,754.6,767.9,807.1,824.6,847.6,864.7,901.3,933.6,973.3,1014.4
인천광역시 - 상용직 비중＜br＞(A÷B×100),Statistics,59.1,52.5,48.4,50.2,49.3,47.3,48.6,49.1,50.2,50.5,47.8,48.3,52.2,55.8,59.0,61.6,60.1,62.8,62.1,63.9,65.8,66.9,67.7,70.6,72.0,72.3,74.0,74.9
인천광역시 - 임금근로자＜br＞(B),Statistics,728.0,689.0,763.4,761.1,828.9,820.9,849.8,867.2,863.2,896.9,941.4,932.7,988.8,1023.0,1033.2,1066.6,1094.3,1145.7,1214.4,1200.9,1227.4,1233.2,1251.7,1225.2,1252.2,1291.5,1315.2,1353.7
전국 - 상용근로자＜br＞(A),Statistics,6966.0,6153.0,6202.9,6561.7,6750.9,7170.6,7458.6,7787.9,8053.5,8460.7,8909.6,9201.1,9795.8,10413.1,10915.7,11421.6,12116.4,12457.8,12911.8,13157.9,13643.3,13922.6,14586.3,14622.2,15308.6,15883.9,16203.9,16428.2
전국 - 상용직 비중＜br＞(A÷B×100),Statistics,55.3,51.7,47.8,49.7,48.8,50.6,51.2,52.5,52.9,53.7,55.1,56.8,59.7,61.2,62.7,64.3,65.6,65.8,66.8,67.9,69.2,70.3,71.6,74.5,74.2,75.4,75.5,76.0
전국 - 임금근로자＜br＞(B),Statistics,12604.0,11893.0,12967.5,13215.6,13831.9,14177.0,14561.2,14832.3,15212.8,15761.4,16176.8,16197.2,16419.4,17002.4,17398.7,17750.4,18469.3,18920.4,19327.4,19392.3,19714.5,19806.7,20376.4,19617.4,20620.7,21074.1,21449.8,21630.2
전라남도 - 상용근로자＜br＞(A),Statistics,219.0,186.0,178.0,181.0,194.0,214.8,201.9,219.5,218.4,221.9,227.8,225.8,267.4,275.0,265.5,289.8,315.9,331.8,336.4,332.7,357.6,369.3,397.9,381.7,398.3,404.0,421.5,389.8
전라남도 - 상용직 비중＜br＞(A÷B×100),Statistics,53.2,47.3,42.6,45.8,47.0,46.4,47.3,50.0,51.9,51.1,50.5,49.8,56.3,58.7,57.4,60.2,62.2,60.5,61.2,60.5,63.9,65.9,65.5,70.3,68.3,68.7,68.3,66.5
전라남도 - 임금근로자＜br＞(B),Statistics,412.0,393.0,417.8,394.8,413.2,463.3,426.8,438.7,421.0,434.5,451.5,453.0,474.6,468.5,462.7,481.3,507.6,548.2,549.4,550.3,559.2,560.7,607.1,543.2,582.8,587.9,617.1,585.8
전북특별자치도 - 상용근로자＜br＞(A),Statistics,232.0,201.0,215.1,228.4,223.2,212.8,227.3,231.6,241.2,252.4,265.3,236.8,261.6,282.1,318.2,342.7,367.6,366.4,372.2,386.0,380.1,396.4,408.0,423.5,434.1,444.0,449.3,487.1
전북특별자치도 - 상용직 비중＜br＞(A÷B×100),Statistics,54.8,51.1,50.2,54.6,52.6,49.9,49.9,52.6,53.3,54.2,56.8,51.5,56.7,58.4,61.8,63.3,64.0,63.3,63.5,66.5,64.9,66.7,68.0,73.2,72.1,72.2,72.0,75.1
전북특별자치도 - 임금근로자＜br＞(B),Statistics,423.0,393.0,428.8,418.3,424.2,426.7,455.2,440.1,452.7,466.1,466.9,459.9,461.4,483.2,514.5,541.1,574.4,578.6,586.1,580.5,585.3,594.1,600.3,578.5,601.7,614.8,623.7,648.4
제주특별자치도 - 상용근로자＜br＞(A),Statistics,70.0,58.0,59.7,62.3,57.3,57.6,61.2,67.1,75.9,87.0,87.8,83.9,86.5,87.0,95.3,99.8,105.4,113.4,129.9,150.6,153.1,148.4,160.3,167.9,176.6,188.8,191.5,193.1
제주특별자치도 - 상용직 비중＜br＞(A÷B×100),Statistics,51.9,47.2,41.9,42.4,36.8,37.5,38.5,42.3,46.9,48.3,49.7,47.5,49.1,50.8,49.7,51.5,51.2,53.1,57.1,60.9,61.1,61.9,63.0,71.3,69.4,72.8,70.7,71.5
제주특별자치도 - 임금근로자＜br＞(B),Statistics,135.0,123.0,142.6,146.8,155.6,153.7,159.1,158.7,161.9,180.0,176.6,176.5,176.0,171.4,191.9,193.7,205.7,213.5,227.3,247.3,250.5,239.9,254.4,235.6,254.4,259.3,270.8,270.0
충청남도 - 상용근로자＜br＞(A),Statistics,248.0,226.0,231.1,243.5,254.6,243.8,291.1,302.0,300.4,326.7,342.7,358.5,416.7,433.7,470.2,505.7,544.5,571.0,580.7,565.9,560.6,615.9,585.9,591.5,632.6,659.7,690.3,718.7
충청남도 - 상용직 비중＜br＞(A÷B×100),Statistics,64.2,60.6,57.2,57.7,57.4,52.9,57.9,59.6,57.1,58.1,58.2,61.1,68.3,67.1,68.7,70.8,72.5,74.1,71.8,72.6,71.0,75.4,75.4,77.1,78.6,77.8,79.4,79.8
충청남도 - 임금근로자＜br＞(B),Statistics,386.0,373.0,403.8,422.2,443.9,461.1,502.9,506.6,525.7,562.2,589.3,586.4,610.2,646.8,684.8,714.2,751.0,770.6,809.1,779.6,789.9,817.1,776.8,767.0,804.6,848.4,869.3,900.6
충청북도 - 상용근로자＜br＞(A),Statistics,220.0,200.0,195.2,224.3,217.8,192.7,201.7,214.1,227.4,231.8,258.9,277.4,289.4,313.0,327.4,333.8,342.7,361.5,394.3,413.3,430.2,457.7,453.5,465.3,479.9,495.8,506.2,508.5
충청북도 - 상용직 비중＜br＞(A÷B×100),Statistics,65.3,60.2,58.0,63.9,58.7,51.5,52.2,53.0,54.8,55.7,59.9,62.0,61.5,64.5,66.8,67.4,65.6,65.9,68.4,70.6,74.1,76.0,73.8,76.0,76.5,79.5,76.4,75.9
충청북도 - 임금근로자＜br＞(B),Statistics,337.0,332.0,336.8,351.0,371.3,374.4,386.4,403.6,414.8,416.5,432.5,447.6,470.2,484.9,490.2,495.0,522.7,548.4,576.8,585.3,580.8,601.9,614.5,611.9,627.3,624.0,662.2,670.4
