item,category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
울산광역시 - 구조대원 수＜br＞(B),Statistics,68.0,73.0,73.0,83.0,90.0,114.0,113.0,122.0,95.0,95.0,116.0,119.0,105.0,121.0,132.0,155.0
울산광역시 - 주민등록인구＜br＞(A),Statistics,1112407.0,1114866.0,1126298.0,1135494.0,1147256.0,1156480.0,1166377.0,1173534.0,1172304.0,1165132.0,1155623.0,1148019.0,1136017.0,1121592.0,1110663.0,1103661.0
인천광역시 - 구급대원 수＜br＞(C),Statistics,277.0,312.0,310.0,338.0,335.0,332.0,355.0,365.0,432.0,465.0,486.0,548.0,563.0,592.0,616.0,651.0
인천광역시 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,6396.0,5554.0,5676.0,5112.0,5427.0,5284.0,5110.0,5001.0,4380.0,4182.0,3955.0,3606.0,3541.0,3240.0,3147.0,3025.0
인천광역시 - 구조대원 수＜br＞(B),Statistics,144.0,176.0,176.0,210.0,189.0,213.0,213.0,220.0,240.0,240.0,261.0,272.0,268.0,318.0,327.0,340.0
인천광역시 - 주민등록인구＜br＞(A),Statistics,2692696.0,2710579.0,2758296.0,2801274.0,2843981.0,2879782.0,2902608.0,2925815.0,2943069.0,2948542.0,2954642.0,2957026.0,2942828.0,2948375.0,2967314.0,2997410.0
전국 - 구급대원 수＜br＞(C),Statistics,5969.0,6400.0,7219.0,7584.0,7781.0,7875.0,8134.0,8442.0,9091.0,9772.0,10882.0,12033.0,12732.0,13133.0,13896.0,14212.0
전국 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,5735.0,5426.0,4973.0,4735.0,4687.0,4481.0,4377.0,4192.0,3936.0,3671.0,3391.0,3116.0,2982.0,2804.0,2661.0,2567.0
전국 - 구조대원 수＜br＞(B),Statistics,2669.0,2773.0,2940.0,3130.0,3089.0,3537.0,3592.0,3851.0,4042.0,4334.0,4402.0,4609.0,4649.0,5284.0,5432.0,5784.0
전국 - 주민등록인구＜br＞(A),Statistics,49540367.0,49773145.0,50515666.0,50734284.0,50948272.0,51141463.0,51327916.0,51529338.0,51696216.0,51778544.0,51826059.0,51849861.0,51829023.0,51638809.0,51439038.0,51325329.0
전라남도 - 구급대원 수＜br＞(C),Statistics,333.0,411.0,497.0,535.0,516.0,553.0,547.0,493.0,550.0,594.0,720.0,743.0,846.0,870.0,990.0,1052.0
전라남도 - 구조·구급대원 1인당 담당주민수＜br＞{A÷(B+C)},Statistics,4255.0,3416.0,3036.0,2815.0,2846.0,2638.0,2611.0,2518.0,2351.0,2109.0,1837.0,1771.0,1616.0,1516.0,1328.0,1257.0
전라남도 - 구조대원 수＜br＞(B),Statistics,118.0,149.0,135.0,145.0,155.0,170.0,183.0,265.0,260.0,305.0,305.0,312.0,300.0,339.0,379.0,383.0
전라남도 - 주민등록인구＜br＞(A),Statistics,1919000.0,1913004.0,1918485.0,1914339.0,1909618.0,1907172.0,1905780.0,1908996.0,1903914.0,1896424.0,1882970.0,1868745.0,1851549.0,1832803.0,1817697.0,1804217.0
전북특별자치도 - 구급대원 수＜br＞(C),Statistics,314.0,334.0,321.0,366.0,455.0,452.0,474.0,489.0,503.0,538.0,585.0,693.0,813.0,891.0,963.0,963.0
