item,category,2021,2022,2023
금산군 - 인구천명당 사업체수(A÷B×1000),Statistics,187.7,189.8,194.2
금산군 - 주민등록인구(B),Statistics,50477.0,50092.0,50093.0
금정구 - 사업체수(A),Statistics,26714.0,26544.0,26080.0
금정구 - 인구천명당 사업체수(A÷B×1000),Statistics,117.1,120.0,121.0
금정구 - 주민등록인구(B),Statistics,228049.0,221256.0,215590.0
금천구 - 사업체수(A),Statistics,47964.0,48438.0,47935.0
금천구 - 인구천명당 사업체수(A÷B×1000),Statistics,207.8,210.9,210.7
금천구 - 주민등록인구(B),Statistics,230811.0,229642.0,227481.0
기장군 - 사업체수(A),Statistics,17930.0,18481.0,18994.0
기장군 - 인구천명당 사업체수(A÷B×1000),Statistics,101.2,103.5,106.3
기장군 - 주민등록인구(B),Statistics,177125.0,178614.0,178729.0
김제시 - 사업체수(A),Statistics,13001.0,13019.0,13461.0
김제시 - 인구천명당 사업체수(A÷B×1000),Statistics,160.7,159.8,165.3
김제시 - 주민등록인구(B),Statistics,80913.0,81455.0,81430.0
김천시 - 사업체수(A),Statistics,16101.0,16917.0,17481.0
김천시 - 인구천명당 사업체수(A÷B×1000),Statistics,114.8,121.4,127.1
김천시 - 주민등록인구(B),Statistics,140239.0,139324.0,137515.0
김포시 - 사업체수(A),Statistics,62310.0,64231.0,66118.0
김포시 - 인구천명당 사업체수(A÷B×1000),Statistics,128.1,132.6,136.0
김포시 - 주민등록인구(B),Statistics,486508.0,484267.0,486172.0
김해시 - 사업체수(A),Statistics,67905.0,69770.0,68717.0
김해시 - 인구천명당 사업체수(A÷B×1000),Statistics,126.3,130.4,128.8
김해시 - 주민등록인구(B),Statistics,537673.0,535129.0,533659.0
나주시 - 사업체수(A),Statistics,15459.0,15963.0,16660.0
나주시 - 인구천명당 사업체수(A÷B×1000),Statistics,132.4,137.1,141.9
나주시 - 주민등록인구(B),Statistics,116726.0,116456.0,117377.0
남구 - 사업체수(A),Statistics,24190.0,23966.0,23686.0
남구 - 인구천명당 사업체수(A÷B×1000),Statistics,92.3,93.5,93.2
남구 - 주민등록인구(B),Statistics,262069.0,256333.0,254185.0
남동구 - 사업체수(A),Statistics,57621.0,58596.0,58158.0
남동구 - 인구천명당 사업체수(A÷B×1000),Statistics,111.2,115.8,118.1
남동구 - 주민등록인구(B),Statistics,518272.0,506181.0,492415.0
남양주시 - 사업체수(A),Statistics,66794.0,68272.0,71539.0
남양주시 - 인구천명당 사업체수(A÷B×1000),Statistics,91.0,92.6,97.7
남양주시 - 주민등록인구(B),Statistics,733798.0,737353.0,732265.0
남원시 - 사업체수(A),Statistics,11634.0,10807.0,12207.0
남원시 - 인구천명당 사업체수(A÷B×1000),Statistics,146.5,138.6,159.0
남원시 - 주민등록인구(B),Statistics,79431.0,77948.0,76781.0
남해군 - 사업체수(A),Statistics,5909.0,6239.0,6446.0
남해군 - 인구천명당 사업체수(A÷B×1000),Statistics,139.8,150.1,158.1
남해군 - 주민등록인구(B),Statistics,42266.0,41579.0,40780.0
노원구 - 사업체수(A),Statistics,37909.0,38018.0,38439.0
노원구 - 인구천명당 사업체수(A÷B×1000),Statistics,74.2,75.5,77.2
노원구 - 주민등록인구(B),Statistics,510956.0,503734.0,498213.0
논산시 - 사업체수(A),Statistics,16724.0,17205.0,17940.0
논산시 - 인구천명당 사업체수(A÷B×1000),Statistics,146.1,152.8,162.5
논산시 - 주민등록인구(B),Statistics,114483.0,112617.0,110423.0
단양군 - 사업체수(A),Statistics,4451.0,4468.0,4679.0
단양군 - 인구천명당 사업체수(A÷B×1000),Statistics,157.1,160.9,168.9
단양군 - 주민등록인구(B),Statistics,28331.0,27767.0,27701.0
달서구 - 사업체수(A),Statistics,59739.0,59909.0,59835.0
달서구 - 인구천명당 사업체수(A÷B×1000),Statistics,109.6,111.6,113.4
달서구 - 주민등록인구(B),Statistics,544926.0,536989.0,527781.0
달성군 - 사업체수(A),Statistics,26278.0,26404.0,27083.0
달성군 - 인구천명당 사업체수(A÷B×1000),Statistics,100.1,100.3,103.3
달성군 - 주민등록인구(B),Statistics,262451.0,263162.0,262084.0
담양군 - 사업체수(A),Statistics,6922.0,6992.0,7332.0
담양군 - 인구천명당 사업체수(A÷B×1000),Statistics,149.9,152.7,161.6
담양군 - 주민등록인구(B),Statistics,46180.0,45792.0,45373.0
당진시 - 사업체수(A),Statistics,21029.0,21838.0,22607.0
당진시 - 인구천명당 사업체수(A÷B×1000),Statistics,125.9,129.8,132.7
당진시 - 주민등록인구(B),Statistics,167092.0,168253.0,170302.0
대구광역시 - 사업체수(A),Statistics,279798.0,279223.0,285388.0
대구광역시 - 인구천명당 사업체수(A÷B×1000),Statistics,117.3,118.1,120.2
대구광역시 - 주민등록인구(B),Statistics,2385412.0,2363691.0,2374960.0
대덕구 - 사업체수(A),Statistics,25405.0,25428.0,25377.0
대덕구 - 인구천명당 사업체수(A÷B×1000),Statistics,145.1,147.2,149.4
대덕구 - 주민등록인구(B),Statistics,175046.0,172746.0,169853.0
대전광역시 - 사업체수(A),Statistics,164095.0,164664.0,167782.0
대전광역시 - 인구천명당 사업체수(A÷B×1000),Statistics,113.0,113.9,116.3
대전광역시 - 주민등록인구(B),Statistics,1452251.0,1446072.0,1442216.0
도봉구 - 사업체수(A),Statistics,25391.0,25193.0,25580.0
도봉구 - 인구천명당 사업체수(A÷B×1000),Statistics,80.0,80.8,83.3
도봉구 - 주민등록인구(B),Statistics,317366.0,311694.0,306948.0
동구 - 사업체수(A),Statistics,18208.0,17943.0,17620.0
동구 - 인구천명당 사업체수(A÷B×1000),Statistics,207.7,207.5,200.7
동구 - 주민등록인구(B),Statistics,87679.0,86462.0,87792.0
동대문구 - 사업체수(A),Statistics,42813.0,42491.0,42782.0
동대문구 - 인구천명당 사업체수(A÷B×1000),Statistics,126.9,126.2,125.4
동대문구 - 주민등록인구(B),Statistics,337400.0,336644.0,341149.0
동두천시 - 사업체수(A),Statistics,9011.0,9077.0,9327.0
동두천시 - 인구천명당 사업체수(A÷B×1000),Statistics,96.3,99.2,105.2
동두천시 - 주민등록인구(B),Statistics,93592.0,91546.0,88626.0
동래구 - 사업체수(A),Statistics,27667.0,27647.0,28059.0
동래구 - 인구천명당 사업체수(A÷B×1000),Statistics,103.7,101.2,103.6
동래구 - 주민등록인구(B),Statistics,266866.0,273226.0,270815.0
동작구 - 사업체수(A),Statistics,27915.0,27120.0,27441.0
동작구 - 인구천명당 사업체수(A÷B×1000),Statistics,72.4,71.3,72.4
동작구 - 주민등록인구(B),Statistics,385483.0,380596.0,378769.0
동해시 - 사업체수(A),Statistics,11395.0,11516.0,11666.0
동해시 - 인구천명당 사업체수(A÷B×1000),Statistics,126.5,128.8,131.6
동해시 - 주민등록인구(B),Statistics,90081.0,89426.0,88625.0
마포구 - 사업체수(A),Statistics,56782.0,55516.0,55741.0
마포구 - 인구천명당 사업체수(A÷B×1000),Statistics,153.9,152.2,153.3
마포구 - 주민등록인구(B),Statistics,368905.0,364638.0,363697.0
목포시 - 사업체수(A),Statistics,29018.0,28662.0,28791.0
목포시 - 인구천명당 사업체수(A÷B×1000),Statistics,132.8,132.1,134.4
목포시 - 주민등록인구(B),Statistics,218589.0,216939.0,214156.0
무안군 - 사업체수(A),Statistics,9738.0,9612.0,10313.0
무안군 - 인구천명당 사업체수(A÷B×1000),Statistics,106.9,106.1,114.2
무안군 - 주민등록인구(B),Statistics,91107.0,90608.0,90296.0
무주군 - 사업체수(A),Statistics,3462.0,3581.0,3703.0
무주군 - 인구천명당 사업체수(A÷B×1000),Statistics,145.8,152.5,159.3
무주군 - 주민등록인구(B),Statistics,23748.0,23489.0,23251.0
문경시 - 사업체수(A),Statistics,8647.0,8600.0,8944.0
문경시 - 인구천명당 사업체수(A÷B×1000),Statistics,121.5,122.2,130.1
문경시 - 주민등록인구(B),Statistics,71154.0,70373.0,68755.0
미추홀구 - 사업체수(A),Statistics,41395.0,41696.0,42151.0
미추홀구 - 인구천명당 사업체수(A÷B×1000),Statistics,101.6,102.7,103.8
미추홀구 - 주민등록인구(B),Statistics,407464.0,406004.0,405995.0
밀양시 - 사업체수(A),Statistics,13979.0,14422.0,14694.0
밀양시 - 인구천명당 사업체수(A÷B×1000),Statistics,135.0,140.1,143.9
밀양시 - 주민등록인구(B),Statistics,103525.0,102945.0,102084.0
보령시 - 사업체수(A),Statistics,13513.0,13600.0,14136.0
보령시 - 인구천명당 사업체수(A÷B×1000),Statistics,137.3,140.0,147.6
보령시 - 주민등록인구(B),Statistics,98408.0,97157.0,95772.0
보성군 - 사업체수(A),Statistics,5129.0,5088.0,5412.0
보성군 - 인구천명당 사업체수(A÷B×1000),Statistics,130.3,132.3,143.6
보성군 - 주민등록인구(B),Statistics,39375.0,38471.0,37686.0
보은군 - 사업체수(A),Statistics,4488.0,4293.0,4597.0
보은군 - 인구천명당 사업체수(A÷B×1000),Statistics,140.8,136.5,148.2
보은군 - 주민등록인구(B),Statistics,31878.0,31455.0,31010.0
봉화군 - 사업체수(A),Statistics,3598.0,3508.0,3686.0
봉화군 - 인구천명당 사업체수(A÷B×1000),Statistics,117.0,116.4,124.5
봉화군 - 주민등록인구(B),Statistics,30762.0,30139.0,29603.0
부산광역시 - 사업체수(A),Statistics,401254.0,400565.0,401008.0
부산광역시 - 인구천명당 사업체수(A÷B×1000),Statistics,119.8,120.7,121.8
부산광역시 - 주민등록인구(B),Statistics,3350380.0,3317812.0,3293362.0
부산진구 - 사업체수(A),Statistics,44355.0,44035.0,44530.0
부산진구 - 인구천명당 사업체수(A÷B×1000),Statistics,125.6,123.7,123.9
부산진구 - 주민등록인구(B),Statistics,353159.0,355917.0,359508.0
부안군 - 사업체수(A),Statistics,7676.0,7650.0,7956.0
부안군 - 인구천명당 사업체수(A÷B×1000),Statistics,151.1,152.7,161.8
부안군 - 주민등록인구(B),Statistics,50795.0,50094.0,49187.0
부여군 - 사업체수(A),Statistics,8146.0,7671.0,8337.0
부여군 - 인구천명당 사업체수(A÷B×1000),Statistics,127.7,123.0,136.6
부여군 - 주민등록인구(B),Statistics,63774.0,62343.0,61046.0
부천시 - 사업체수(A),Statistics,87889.0,88728.0,89469.0
부천시 - 인구천명당 사업체수(A÷B×1000),Statistics,109.0,112.3,114.7
부천시 - 주민등록인구(B),Statistics,806067.0,790128.0,779968.0
부평구 - 사업체수(A),Statistics,45679.0,47615.0,47307.0
부평구 - 인구천명당 사업체수(A÷B×1000),Statistics,93.8,97.3,95.7
부평구 - 주민등록인구(B),Statistics,486765.0,489118.0,494138.0
북구 - 사업체수(A),Statistics,21049.0,20544.0,20780.0
북구 - 인구천명당 사업체수(A÷B×1000),Statistics,74.3,73.7,76.0
북구 - 주민등록인구(B),Statistics,283211.0,278857.0,273596.0
사상구 - 사업체수(A),Statistics,36104.0,35788.0,35210.0
사상구 - 인구천명당 사업체수(A÷B×1000),Statistics,173.3,175.6,173.5
사상구 - 주민등록인구(B),Statistics,208298.0,203789.0,202932.0
사천시 - 사업체수(A),Statistics,13520.0,13679.0,13954.0
사천시 - 인구천명당 사업체수(A÷B×1000),Statistics,123.0,125.1,128.0
사천시 - 주민등록인구(B),Statistics,109953.0,109369.0,109030.0
사하구 - 사업체수(A),Statistics,29196.0,29298.0,29208.0
사하구 - 인구천명당 사업체수(A÷B×1000),Statistics,95.4,97.0,98.1
사하구 - 주민등록인구(B),Statistics,306003.0,301987.0,297831.0
산청군 - 사업체수(A),Statistics,5025.0,5088.0,5292.0
산청군 - 인구천명당 사업체수(A÷B×1000),Statistics,146.2,149.5,156.8
산청군 - 주민등록인구(B),Statistics,34360.0,34028.0,33752.0
삼척시 - 사업체수(A),Statistics,8912.0,9150.0,9268.0
삼척시 - 인구천명당 사업체수(A÷B×1000),Statistics,140.5,144.2,147.9
삼척시 - 주민등록인구(B),Statistics,63429.0,63455.0,62651.0
상주시 - 사업체수(A),Statistics,12883.0,13332.0,13909.0
상주시 - 인구천명당 사업체수(A÷B×1000),Statistics,134.8,140.6,148.2
상주시 - 주민등록인구(B),Statistics,95566.0,94823.0,93858.0
서구 - 사업체수(A),Statistics,11376.0,11216.0,11146.0
서구 - 인구천명당 사업체수(A÷B×1000),Statistics,108.2,106.6,107.1
서구 - 주민등록인구(B),Statistics,105164.0,105192.0,104089.0
서귀포시 - 사업체수(A),Statistics,24722.0,24879.0,25484.0
서귀포시 - 인구천명당 사업체수(A÷B×1000),Statistics,134.6,134.6,138.8
서귀포시 - 주민등록인구(B),Statistics,183663.0,184770.0,183598.0
서대문구 - 사업체수(A),Statistics,28522.0,28427.0,28401.0
서대문구 - 인구천명당 사업체수(A÷B×1000),Statistics,93.6,92.8,92.7
서대문구 - 주민등록인구(B),Statistics,304819.0,306337.0,306231.0
서산시 - 사업체수(A),Statistics,19964.0,19588.0,20443.0
서산시 - 인구천명당 사업체수(A÷B×1000),Statistics,113.0,111.0,116.1
서산시 - 주민등록인구(B),Statistics,176645.0,176413.0,176011.0
서울특별시 - 사업체수(A),Statistics,1188091.0,1180025.0,1177287.0
서울특별시 - 인구천명당 사업체수(A÷B×1000),Statistics,124.9,125.2,125.4
서울특별시 - 주민등록인구(B),Statistics,9509458.0,9428372.0,9386034.0
서천군 - 사업체수(A),Statistics,7630.0,7898.0,8210.0
서천군 - 인구천명당 사업체수(A÷B×1000),Statistics,150.4,158.1,167.2
서천군 - 주민등록인구(B),Statistics,50745.0,49964.0,49116.0
서초구 - 사업체수(A),Statistics,71958.0,69975.0,70510.0
서초구 - 인구천명당 사업체수(A÷B×1000),Statistics,174.5,173.1,173.0
서초구 - 주민등록인구(B),Statistics,412279.0,404325.0,407664.0
성남시 - 사업체수(A),Statistics,97955.0,97596.0,98891.0
성남시 - 인구천명당 사업체수(A÷B×1000),Statistics,105.2,105.8,107.5
성남시 - 주민등록인구(B),Statistics,930948.0,922518.0,919747.0
성동구 - 사업체수(A),Statistics,41665.0,41306.0,40674.0
성동구 - 인구천명당 사업체수(A÷B×1000),Statistics,145.7,147.0,146.6
성동구 - 주민등록인구(B),Statistics,285990.0,281000.0,277361.0
성북구 - 사업체수(A),Statistics,34712.0,35162.0,35548.0
성북구 - 인구천명당 사업체수(A÷B×1000),Statistics,80.6,81.7,83.5
성북구 - 주민등록인구(B),Statistics,430528.0,430397.0,425602.0
성주군 - 사업체수(A),Statistics,7485.0,7567.0,7750.0
성주군 - 인구천명당 사업체수(A÷B×1000),Statistics,174.7,177.8,184.1
성주군 - 주민등록인구(B),Statistics,42842.0,42566.0,42086.0
세종특별자치시 - 사업체수(A),Statistics,30478.0,33076.0,34099.0
세종특별자치시 - 인구천명당 사업체수(A÷B×1000),Statistics,82.0,86.2,88.2
세종특별자치시 - 주민등록인구(B),Statistics,371895.0,383591.0,386525.0
속초시 - 사업체수(A),Statistics,11658.0,11736.0,12035.0
속초시 - 인구천명당 사업체수(A÷B×1000),Statistics,140.8,141.7,146.7
속초시 - 주민등록인구(B),Statistics,82791.0,82806.0,82054.0
송파구 - 사업체수(A),Statistics,74531.0,74738.0,74893.0
송파구 - 인구천명당 사업체수(A÷B×1000),Statistics,113.2,113.4,114.5
송파구 - 주민등록인구(B),Statistics,658338.0,658801.0,654166.0
수성구 - 사업체수(A),Statistics,36963.0,36566.0,38258.0
수성구 - 인구천명당 사업체수(A÷B×1000),Statistics,88.6,88.8,93.9
수성구 - 주민등록인구(B),Statistics,417097.0,411553.0,407331.0
수영구 - 사업체수(A),Statistics,19613.0,19880.0,20369.0
수영구 - 인구천명당 사업체수(A÷B×1000),Statistics,112.0,113.7,116.7
수영구 - 주민등록인구(B),Statistics,175095.0,174806.0,174518.0
수원시 - 사업체수(A),Statistics,110987.0,112282.0,116559.0
수원시 - 인구천명당 사업체수(A÷B×1000),Statistics,93.8,94.3,97.4
