item,category,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경상북도 - 주민등록인구＜br＞(B),Statistics,2695917.0,2688491.0,2688577.0,2681364.0,2673931.0,2669876.0,2689920.0,2699195.0,2698353.0,2699440.0,2700794.0,2702826.0,2700398.0,2691706.0,2676831.0,2665836.0,2639422.0,2626609.0,2600492.0,2554324.0
경주시 - 등록외국인＜br＞(A),Statistics,2222.0,2677.0,3766.0,4671.0,4952.0,4865.0,5471.0,6381.0,6572.0,7210.0,8395.0,9197.0,9476.0,10188.0,11296.0,11794.0,10202.0,9604.0,9947.0,11045.0
경주시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,8.0,9.73,13.77,17.16,18.39,18.19,20.48,24.03,24.89,27.38,32.1,35.4,36.52,39.5,43.98,46.18,40.24,38.13,39.85,44.63
경주시 - 주민등록인구＜br＞(B),Statistics,277870.0,275087.0,273419.0,272206.0,269343.0,267466.0,267098.0,265488.0,264091.0,263283.0,261535.0,259773.0,259452.0,257903.0,256864.0,255402.0,253502.0,251889.0,249607.0,247489.0
계룡시 - 등록외국인＜br＞(A),Statistics,96.0,81.0,113.0,145.0,168.0,181.0,181.0,173.0,153.0,150.0,161.0,190.0,204.0,207.0,203.0,217.0,209.0,191.0,193.0,228.0
계룡시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,3.08,2.36,3.07,3.84,4.06,4.23,4.2,4.03,3.68,3.66,3.97,4.55,4.78,4.71,4.64,5.05,4.88,4.41,4.34,4.89
계룡시 - 주민등록인구＜br＞(B),Statistics,31174.0,34370.0,36846.0,37775.0,41411.0,42760.0,43088.0,42942.0,41550.0,40957.0,40552.0,41730.0,42634.0,43967.0,43731.0,42971.0,42822.0,43331.0,44475.0,46667.0
계양구 - 등록외국인＜br＞(A),Statistics,1882.0,1997.0,2573.0,3195.0,3414.0,3257.0,3216.0,3123.0,2924.0,2953.0,3111.0,3116.0,3060.0,3108.0,3223.0,3346.0,3154.0,3106.0,3256.0,3556.0
계양구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,5.58,5.95,7.52,9.33,9.97,9.47,9.25,9.07,8.54,8.59,9.16,9.32,9.26,9.6,10.31,11.03,10.63,10.5,11.27,12.69
계양구 - 주민등록인구＜br＞(B),Statistics,337103.0,335435.0,342335.0,342564.0,342299.0,344039.0,347810.0,344299.0,342202.0,343806.0,339538.0,334332.0,330284.0,323784.0,312680.0,303471.0,296750.0,295696.0,288856.0,280266.0
고령군 - 등록외국인＜br＞(A),Statistics,867.0,872.0,1134.0,1140.0,1155.0,1144.0,1214.0,1424.0,1446.0,1578.0,1820.0,1845.0,1812.0,1757.0,1704.0,1749.0,1530.0,1375.0,1569.0,1902.0
고령군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,25.11,25.44,32.61,32.66,33.22,33.13,35.01,40.16,40.91,44.83,51.95,53.33,52.89,52.03,51.68,54.03,48.79,44.9,51.69,63.11
고령군 - 주민등록인구＜br＞(B),Statistics,34522.0,34271.0,34777.0,34907.0,34770.0,34535.0,34678.0,35455.0,35343.0,35198.0,35033.0,34594.0,34257.0,33768.0,32969.0,32373.0,31361.0,30626.0,30353.0,30139.0
고성군 - 등록외국인＜br＞(A),Statistics,171.0,203.0,356.0,411.0,562.0,530.0,503.0,428.0,392.0,345.0,491.0,440.0,635.0,842.0,974.0,1132.0,1112.0,1183.0,1373.0,1812.0
고성군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,5.28,6.35,11.38,13.53,18.63,17.51,16.7,14.24,13.01,11.35,16.22,14.64,21.09,28.04,34.61,41.53,41.56,43.41,50.34,66.36
고성군 - 주민등록인구＜br＞(B),Statistics,32361.0,31964.0,31285.0,30383.0,30172.0,30272.0,30112.0,30057.0,30124.0,30398.0,30269.0,30060.0,30114.0,30029.0,28144.0,27260.0,26757.0,27249.0,27274.0,27305.0
고양시 - 등록외국인＜br＞(A),Statistics,7965.0,6525.0,9159.0,10804.0,11919.0,12217.0,12182.0,12426.0,11304.0,11371.0,11859.0,12293.0,12286.0,12253.0,12664.0,12508.0,11522.0,10986.0,11618.0,12700.0
고양시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,8.99,7.22,10.06,11.68,12.7,13.01,12.82,12.93,11.65,11.48,11.79,11.96,11.82,11.76,12.13,11.73,10.68,10.18,10.79,11.81
고양시 - 주민등록인구＜br＞(B),Statistics,886000.0,904077.0,910206.0,924839.0,938831.0,938784.0,950115.0,961239.0,969916.0,990571.0,1006154.0,1027546.0,1039684.0,1041983.0,1044189.0,1066351.0,1079216.0,1079353.0,1076535.0,1074907.0
고창군 - 등록외국인＜br＞(A),Statistics,246.0,323.0,397.0,453.0,510.0,566.0,546.0,558.0,608.0,753.0,823.0,851.0,911.0,934.0,976.0,963.0,895.0,814.0,1102.0,1517.0
고창군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,3.77,5.07,6.4,7.43,8.45,9.42,8.97,9.29,10.06,12.44,13.7,14.17,15.03,15.45,17.11,17.35,16.41,15.25,21.06,29.31
고창군 - 주민등록인구＜br＞(B),Statistics,65203.0,63676.0,62030.0,60962.0,60328.0,60102.0,60861.0,60065.0,60440.0,60522.0,60090.0,60046.0,60597.0,60472.0,57041.0,55504.0,54529.0,53386.0,52338.0,51750.0
고흥군 - 등록외국인＜br＞(A),Statistics,160.0,193.0,293.0,363.0,427.0,446.0,451.0,513.0,592.0,628.0,751.0,790.0,813.0,895.0,980.0,1059.0,1001.0,949.0,1383.0,1689.0
고흥군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,1.84,2.3,3.61,4.62,5.57,5.94,6.1,7.07,8.27,8.89,10.78,11.52,12.02,13.41,14.9,16.31,15.66,15.12,22.35,27.64
고흥군 - 주민등록인구＜br＞(B),Statistics,86747.0,83830.0,81068.0,78589.0,76605.0,75127.0,73924.0,72607.0,71560.0,70631.0,69641.0,68601.0,67656.0,66736.0,65777.0,64913.0,63922.0,62762.0,61880.0,61113.0
곡성군 - 등록외국인＜br＞(A),Statistics,154.0,186.0,247.0,357.0,424.0,398.0,404.0,382.0,421.0,382.0,352.0,374.0,395.0,435.0,494.0,489.0,475.0,413.0,482.0,508.0
곡성군 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.48,5.45,7.34,10.72,13.0,12.4,12.67,12.19,13.63,12.32,11.45,12.19,12.99,14.44,16.68,16.93,16.94,15.0,17.81,18.88
곡성군 - 주민등록인구＜br＞(B),Statistics,34396.0,34157.0,33631.0,33311.0,32608.0,32084.0,31886.0,31332.0,30878.0,31009.0,30732.0,30672.0,30400.0,30131.0,29624.0,28887.0,28039.0,27535.0,27060.0,26905.0
공주시 - 등록외국인＜br＞(A),Statistics,860.0,1106.0,1532.0,1961.0,2248.0,2370.0,2330.0,2277.0,1859.0,1867.0,1763.0,1796.0,1918.0,1996.0,2106.0,2155.0,1991.0,1949.0,2153.0,2420.0
공주시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,6.6,8.54,11.94,15.49,17.96,19.09,18.65,18.25,15.85,16.04,15.52,16.14,17.45,18.41,19.58,20.24,19.04,18.9,20.99,23.7
공주시 - 주민등록인구＜br＞(B),Statistics,130280.0,129489.0,128330.0,126612.0,125143.0,124172.0,124930.0,124748.0,117298.0,116369.0,113621.0,111261.0,109931.0,108432.0,107581.0,106474.0,104545.0,103145.0,102571.0,102104.0
과천시 - 등록외국인＜br＞(A),Statistics,308.0,250.0,394.0,312.0,326.0,333.0,316.0,331.0,310.0,297.0,292.0,274.0,235.0,211.0,183.0,173.0,166.0,183.0,192.0,219.0
과천시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.51,4.1,6.51,5.01,4.69,4.62,4.37,4.6,4.36,4.21,4.16,3.97,3.68,3.67,3.15,2.97,2.63,2.5,2.46,2.7
과천시 - 주민등록인구＜br＞(B),Statistics,68333.0,60956.0,60482.0,62291.0,69477.0,72049.0,72279.0,71955.0,71068.0,70578.0,70156.0,68946.0,63778.0,57527.0,58142.0,58289.0,63231.0,73345.0,78137.0,81000.0
관악구 - 등록외국인＜br＞(A),Statistics,5532.0,7215.0,10778.0,15195.0,17317.0,17442.0,18302.0,19960.0,17491.0,17100.0,18774.0,19368.0,18756.0,17632.0,18083.0,17240.0,14743.0,13750.0,14474.0,15927.0
관악구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,10.43,13.61,20.14,28.37,32.4,32.92,34.44,37.92,33.44,33.01,36.58,38.0,37.0,35.03,36.02,34.47,29.78,28.31,29.74,33.05
관악구 - 주민등록인구＜br＞(B),Statistics,530156.0,530020.0,535217.0,535571.0,534556.0,529869.0,531434.0,526397.0,523029.0,518028.0,513186.0,509663.0,506851.0,503297.0,501957.0,500094.0,495060.0,485699.0,486752.0,481956.0
광명시 - 등록외국인＜br＞(A),Statistics,1634.0,1888.0,2573.0,3335.0,3816.0,3897.0,4232.0,4724.0,4444.0,4607.0,5279.0,5739.0,5919.0,5843.0,6273.0,5942.0,4469.0,3578.0,3215.0,2927.0
광명시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.93,5.76,8.21,10.65,12.29,12.4,12.3,13.3,12.5,13.05,15.15,16.64,17.44,17.56,19.19,18.77,14.97,12.22,11.17,10.45
광명시 - 주민등록인구＜br＞(B),Statistics,331419.0,327828.0,313372.0,313019.0,310501.0,314257.0,343982.0,355226.0,355560.0,353100.0,348560.0,344978.0,339484.0,332790.0,326841.0,316552.0,298599.0,292893.0,287945.0,280197.0
광산구 - 등록외국인＜br＞(A),Statistics,2707.0,2840.0,3729.0,4294.0,5162.0,5576.0,6606.0,6871.0,7054.0,7738.0,8793.0,9790.0,10907.0,12154.0,12954.0,13461.0,11978.0,11791.0,13142.0,14541.0
광산구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,9.14,9.25,11.97,13.58,16.1,16.26,18.19,18.3,18.32,19.7,22.13,24.43,27.06,30.07,32.02,33.21,29.53,29.17,32.8,36.65
광산구 - 주민등록인구＜br＞(B),Statistics,296101.0,306989.0,311621.0,316101.0,320660.0,342936.0,363239.0,375509.0,385101.0,392875.0,397281.0,400753.0,403049.0,404131.0,404547.0,405315.0,405579.0,404221.0,400654.0,396741.0
광양시 - 등록외국인＜br＞(A),Statistics,541.0,632.0,783.0,870.0,1011.0,1167.0,1167.0,1442.0,1387.0,1374.0,1573.0,1530.0,1597.0,1546.0,1598.0,1687.0,1563.0,1495.0,1761.0,2104.0
광양시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,3.93,4.58,5.66,6.27,7.15,8.13,8.02,9.57,9.2,9.06,10.34,9.96,10.26,9.92,10.21,10.76,10.3,9.93,11.57,13.78
광양시 - 주민등록인구＜br＞(B),Statistics,137601.0,138098.0,138237.0,138865.0,141388.0,143461.0,145512.0,150725.0,150837.0,151621.0,152097.0,153587.0,155580.0,155857.0,156564.0,156750.0,151769.0,150531.0,152168.0,152666.0
광주광역시 - 등록외국인＜br＞(A),Statistics,5743.0,6361.0,8155.0,10016.0,11923.0,12188.0,13360.0,14106.0,14492.0,15557.0,17064.0,18455.0,19920.0,21279.0,22815.0,23825.0,21323.0,20934.0,22967.0,25348.0
광주광역시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,4.1,4.54,5.79,7.09,8.38,8.5,9.18,9.64,9.86,10.56,11.56,12.54,13.56,14.54,15.63,16.36,14.7,14.52,16.05,17.86
광주광역시 - 주민등록인구＜br＞(B),Statistics,1401172.0,1401745.0,1407798.0,1413444.0,1422702.0,1433640.0,1454636.0,1463464.0,1469216.0,1472910.0,1475884.0,1472199.0,1469214.0,1463770.0,1459336.0,1456468.0,1450062.0,1441611.0,1431050.0,1419237.0
광주시 - 등록외국인＜br＞(A),Statistics,6980.0,6207.0,7864.0,8725.0,9256.0,9374.0,9598.0,9592.0,9106.0,9684.0,10843.0,11477.0,12114.0,12424.0,13037.0,12986.0,11900.0,10936.0,11302.0,12893.0
광주시 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,33.94,28.94,35.42,38.05,39.42,39.29,38.42,36.17,33.03,33.78,36.28,36.72,36.96,35.91,35.84,34.85,31.15,28.24,28.87,32.94
광주시 - 주민등록인구＜br＞(B),Statistics,205641.0,214498.0,222048.0,229319.0,234777.0,238583.0,249789.0,265222.0,275656.0,286699.0,298858.0,312579.0,327723.0,345947.0,363782.0,372654.0,382054.0,387289.0,391462.0,391377.0
광진구 - 등록외국인＜br＞(A),Statistics,4144.0,4867.0,7098.0,9795.0,11772.0,12515.0,13312.0,14743.0,12956.0,12512.0,14021.0,14811.0,14889.0,14595.0,15504.0,15622.0,13427.0,12631.0,13836.0,15626.0
광진구 - 인구 천명당 외국인수＜br＞(A÷B×1000),Statistics,10.89,12.96,18.96,26.01,31.35,33.46,35.45,39.64,34.89,33.91,38.59,41.1,41.68,40.8,43.6,44.46,38.73,37.15,41.01,46.57
광진구 - 주민등록인구＜br＞(B),Statistics,380537.0,375613.0,374442.0,376572.0,375482.0,373998.0,375463.0,371936.0,371313.0,368927.0,363354.0,360369.0,357215.0,357703.0,355559.0,351350.0,346682.0,339996.0,337416.0,335554.0
