item,category,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
군포시 - 조이혼율 (천명당),Statistics,2.6,2.6,3.1,2.5,2.3,2.1,2.0,2.0,2.2,1.9,1.9,1.9,1.9,1.9,1.8,1.6,1.8,1.8,1.9,1.8,1.7,1.5,1.6,1.5
권선구 - 조이혼율 (천명당),Statistics,3.1,3.3,3.5,3.0,2.8,2.6,2.9,2.6,2.7,2.7,2.5,2.4,2.4,2.5,2.4,2.2,2.4,2.2,2.2,2.3,2.1,1.9,1.9,1.9
금산군 - 조이혼율 (천명당),Statistics,2.1,2.1,2.4,2.4,1.9,2.1,2.7,1.9,2.2,2.3,2.4,2.1,2.4,2.6,2.7,2.1,2.0,1.9,2.5,2.2,2.1,2.2,2.0,2.0
금정구 - 조이혼율 (천명당),Statistics,2.2,2.9,3.3,2.7,2.5,2.1,2.1,1.9,2.1,1.8,1.9,1.9,2.0,1.9,1.6,1.7,1.7,1.8,1.7,1.7,1.8,1.4,1.5,1.5
금천구 - 조이혼율 (천명당),Statistics,3.4,3.5,3.9,3.3,3.0,2.9,3.1,3.0,3.3,2.8,2.9,2.8,2.6,2.6,2.4,2.3,2.3,2.3,2.4,2.3,2.0,1.8,1.6,1.8
기장군 - 조이혼율 (천명당),Statistics,3.4,2.6,3.8,3.8,3.3,2.7,2.5,2.8,2.7,2.7,2.6,2.3,2.4,2.3,2.0,2.2,2.3,2.3,2.4,2.2,2.1,2.0,2.1,2.0
기흥구 - 조이혼율 (천명당),Statistics,,,,,2.3,2.2,2.0,2.0,2.0,1.8,1.7,1.7,1.7,1.8,1.7,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.4,1.5
김제시 - 조이혼율 (천명당),Statistics,2.1,2.1,2.9,2.4,2.6,2.3,2.5,2.0,2.3,2.5,2.3,2.3,2.2,2.3,2.2,2.4,2.0,2.2,2.8,2.2,2.2,1.9,2.2,2.3
김천시 - 조이혼율 (천명당),Statistics,1.9,2.2,2.4,2.3,1.9,2.0,1.8,1.7,1.6,1.9,1.6,1.7,1.9,1.7,1.6,1.8,1.9,2.0,1.9,2.0,1.6,1.8,1.4,1.5
김포시 - 조이혼율 (천명당),Statistics,2.9,2.6,3.0,2.9,2.6,2.9,2.7,2.5,2.5,2.4,2.6,2.3,2.3,2.4,2.3,2.1,2.1,2.2,2.1,2.1,1.9,1.7,1.9,2.0
김해시 - 조이혼율 (천명당),Statistics,3.0,3.2,4.1,3.1,3.0,2.7,2.5,2.5,2.6,2.4,2.4,2.5,2.4,2.5,2.4,2.4,2.4,2.4,2.5,2.3,2.3,2.3,2.2,2.3
나주시 - 조이혼율 (천명당),Statistics,2.6,2.5,2.9,2.4,2.0,2.4,2.3,2.3,2.4,2.2,2.3,2.6,2.4,2.2,2.2,2.3,2.0,2.1,2.3,1.8,2.2,1.8,1.9,1.8
남구 - 조이혼율 (천명당),Statistics,2.5,3.1,3.7,3.0,2.5,2.2,2.1,2.0,2.3,2.1,2.1,1.9,1.9,2.1,1.7,1.8,1.8,1.7,1.8,1.7,1.6,1.4,1.6,1.4
남동구 - 조이혼율 (천명당),Statistics,4.0,4.1,4.8,3.9,3.5,3.2,3.1,2.9,3.0,2.8,2.4,2.8,2.6,2.6,2.5,2.4,2.6,2.4,2.6,2.5,2.4,2.1,2.1,2.0
남양주시 - 조이혼율 (천명당),Statistics,3.4,3.6,4.1,3.3,3.0,2.9,2.9,2.8,2.7,2.5,2.6,2.6,2.6,2.5,2.4,2.3,2.2,2.3,2.3,2.3,2.2,2.0,2.1,2.0
남원시 - 조이혼율 (천명당),Statistics,2.0,2.1,2.3,2.2,1.9,1.9,2.1,1.8,2.1,1.8,2.1,2.1,2.2,2.2,2.0,1.9,1.9,2.4,2.1,2.1,1.9,1.7,2.3,2.1
남제주군 - 조이혼율 (천명당),Statistics,2.8,2.8,3.4,2.9,2.9,,,,,,,,,,,,,,,,,,,
남해군 - 조이혼율 (천명당),Statistics,1.7,1.8,1.8,1.9,1.8,2.1,1.7,1.7,2.3,1.8,2.0,1.7,2.0,1.6,1.9,1.8,1.8,1.5,1.6,2.1,1.7,1.6,1.4,2.0
노원구 - 조이혼율 (천명당),Statistics,2.5,2.5,2.9,2.4,2.2,2.1,2.1,1.9,2.1,2.0,1.9,1.8,1.8,1.8,1.7,1.7,1.8,1.6,1.7,1.7,1.5,1.3,1.3,1.2
논산시 - 조이혼율 (천명당),Statistics,2.6,2.7,3.3,2.9,2.5,2.1,2.5,2.2,2.6,2.4,2.5,2.1,2.4,2.7,2.2,2.4,2.6,2.1,2.5,2.2,2.6,2.0,2.1,2.3
단양군 - 조이혼율 (천명당),Statistics,2.1,2.7,2.4,2.2,2.2,2.1,2.3,2.3,2.3,2.0,2.7,2.3,2.2,1.9,2.5,2.1,1.8,2.2,2.3,2.0,1.6,1.6,1.7,2.0
단원구 - 조이혼율 (천명당),Statistics,,4.0,4.7,4.0,3.7,3.6,3.6,3.5,3.6,3.0,3.3,3.3,3.2,3.0,3.0,2.9,2.8,2.8,2.9,2.8,2.5,2.4,2.4,2.3
달서구 - 조이혼율 (천명당),Statistics,2.4,2.7,3.2,2.5,2.2,2.0,1.9,1.9,2.0,1.9,1.7,1.7,1.8,1.9,1.6,1.6,1.6,1.8,1.9,1.8,1.7,1.5,1.6,1.5
달성군 - 조이혼율 (천명당),Statistics,2.4,3.0,3.1,2.7,2.4,2.3,2.1,2.0,2.3,2.2,2.1,2.1,2.1,2.2,2.0,1.9,1.7,1.9,2.2,1.9,1.8,1.7,2.0,1.9
담양군 - 조이혼율 (천명당),Statistics,1.7,1.6,2.7,2.2,1.8,2.1,1.8,1.8,2.3,1.9,1.6,1.7,1.6,1.7,1.7,1.7,2.3,2.1,2.2,1.8,1.7,1.5,1.8,1.8
당진군 - 조이혼율 (천명당),Statistics,2.2,2.0,2.7,2.5,2.3,2.2,2.4,2.0,2.4,2.2,1.7,,,,,,,,,,,,,
당진시 - 조이혼율 (천명당),Statistics,,,,,,,,,,,,2.3,2.7,2.5,2.5,2.5,2.7,2.7,2.9,2.5,2.4,2.6,2.4,2.6
대구광역시 - 조이혼율 (천명당),Statistics,2.5,2.9,3.4,2.6,2.3,2.2,2.1,2.0,2.2,2.1,1.9,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.9,1.8,1.7,1.6,1.7,1.6
대덕구 - 조이혼율 (천명당),Statistics,3.3,3.3,4.0,3.1,2.6,2.6,2.7,2.4,2.6,2.5,2.5,2.4,2.2,2.5,2.5,2.4,2.4,2.5,2.4,2.7,2.1,2.1,1.9,2.0
대전광역시 - 조이혼율 (천명당),Statistics,2.9,3.1,3.5,2.7,2.3,2.3,2.3,2.2,2.3,2.1,2.0,1.9,2.0,2.1,2.0,1.9,1.9,2.0,2.1,2.1,1.9,1.7,1.7,1.7
덕양구 - 조이혼율 (천명당),Statistics,3.1,2.8,3.4,3.0,2.7,2.9,2.7,2.4,2.7,2.3,2.2,2.2,2.2,2.4,2.2,2.1,2.1,2.1,1.8,2.0,1.9,1.8,1.6,1.6
