item,category,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
경상북도 - 도시지역 - 면적,Statistics,1768211310.0,1831356118.0,1834757408.0,1842786082.0,1847438673.0,1849864949.0,1850243160.0,1855416781.0,1856748798.0,1866786485.0,1879985260.0,1879972483.0,1879078335.0,1877732907.0,1870996639.0
경주시 - 녹지지역 - 면적,Statistics,363915534.0,411283952.0,411284105.0,411247759.0,410641466.0,410520566.0,410520566.0,410297637.0,410301049.0,408153675.0,407990645.0,407990645.0,408196226.0,408196226.0,408196226.0
경주시 - 녹지지역 - 비율,Statistics,89.69,89.78,89.78,89.68,89.5,89.48,89.48,89.15,89.1,87.81,87.8,87.8,87.82,88.0,88.0
경주시 - 도시지역 - 면적,Statistics,405764002.0,458094112.0,458094112.0,458549162.0,458797176.0,458797176.0,458797176.0,460253134.0,460490505.0,464832544.0,464678805.0,464678805.0,464824021.0,463852114.0,463852114.0
계룡시 - 녹지지역 - 면적,Statistics,45210070.0,45210070.0,45210070.0,44572625.0,44572625.0,44595581.0,44382489.0,44404171.0,44404171.0,44403346.0,44403346.0,44403346.0,44402733.0,44402733.0,44408296.0
계룡시 - 녹지지역 - 비율,Statistics,91.85,91.85,91.85,90.55,90.55,90.6,90.17,90.21,90.21,90.21,90.2,90.2,90.2,90.2,90.2
계룡시 - 도시지역 - 면적,Statistics,49221918.0,49221918.0,49221918.0,49221981.0,49221981.0,49221981.0,49221981.0,49221873.0,49221873.0,49221048.0,49225821.0,49225821.0,49225821.0,49225821.0,49231150.0
계양구 - 녹지지역 - 면적,Statistics,34803975.0,34774869.0,34774869.0,34748324.0,34748755.0,34748755.0,34223759.0,34162506.0,34125820.0,34125843.0,34125803.0,33503840.0,33814774.0,31502964.0,31257098.0
계양구 - 녹지지역 - 비율,Statistics,76.4,76.34,76.34,76.29,76.29,76.29,75.13,74.97,74.92,74.92,74.92,73.55,74.24,69.16,68.62
계양구 - 도시지역 - 면적,Statistics,45553141.0,45549927.0,45549927.0,45549927.0,45549960.0,45549996.0,45550111.0,45570111.0,45549909.0,45549827.0,45549828.0,45549424.0,45549863.0,45548544.0,45548927.0
고령군 - 녹지지역 - 면적,Statistics,25682525.0,25682525.0,25682525.0,25682525.0,25682525.0,25682525.0,25871975.0,25873060.0,25873060.0,25800280.0,25802895.0,25802895.0,25800330.0,25800330.0,25800330.0
고령군 - 녹지지역 - 비율,Statistics,84.17,84.17,84.17,84.17,81.99,81.99,80.29,80.29,80.3,79.4,79.46,79.46,79.45,79.45,79.45
고령군 - 도시지역 - 면적,Statistics,30514266.0,30514468.0,30514468.0,30514468.0,31325447.0,31325447.0,32224961.0,32224831.0,32220928.0,32492599.0,32473748.0,32473748.0,32473748.0,32473748.0,32473748.0
고성군 - 녹지지역 - 면적,Statistics,5643258.0,5675373.0,5675373.0,8362130.0,8362130.0,8362130.0,8340800.0,8368536.0,8317985.0,8317985.0,8304854.0,8304854.0,8304854.0,8304854.0,8304854.0
고성군 - 녹지지역 - 비율,Statistics,73.1,71.1,71.1,67.54,67.54,67.54,67.37,67.37,66.96,66.96,66.86,66.86,66.86,66.86,69.33
고성군 - 도시지역 - 면적,Statistics,7720023.0,7982698.0,7982698.0,12380128.0,12380128.0,12380128.0,12380128.0,12421767.0,12421767.0,12421767.0,12421767.0,12421767.0,12421767.0,12421947.0,11979402.0
고양시 - 녹지지역 - 면적,Statistics,151489936.0,151530409.0,150545086.0,150542280.0,150235509.0,150289910.0,149848563.0,149824803.0,149520036.0,149852554.0,149477399.0,149095090.0,145090022.0,144745865.0,144666520.0
고양시 - 녹지지역 - 비율,Statistics,78.98,78.9,78.39,78.39,78.63,78.66,78.11,78.09,77.94,77.48,77.0,76.47,74.4,74.23,74.19
고양시 - 도시지역 - 면적,Statistics,191808518.0,192042932.0,192042440.0,192032728.0,191068487.0,191068487.0,191850650.0,191850023.0,191850023.0,193400919.0,194127720.0,194977956.0,195008686.0,195009556.0,195000580.0
고창군 - 녹지지역 - 면적,Statistics,26176696.0,26139283.0,26139283.0,26139283.0,26139719.0,26139719.0,26210500.0,26210500.0,26210500.0,26210500.0,26210500.0,26199811.0,26210429.0,26210429.0,26210429.0
고창군 - 녹지지역 - 비율,Statistics,82.36,80.11,80.11,80.11,80.11,80.11,80.76,80.76,80.76,80.76,80.76,80.71,80.73,80.73,80.73
고창군 - 도시지역 - 면적,Statistics,31782100.0,32630919.0,32630919.0,32630919.0,32631219.0,32631219.0,32453860.0,32453860.0,32453860.0,32453860.0,32453860.0,32461878.0,32466784.0,32466784.0,32466784.0
고흥군 - 녹지지역 - 면적,Statistics,23170242.0,23173688.0,23173688.0,23173688.0,23173688.0,23173688.0,23173688.0,23173688.0,23128123.0,23128123.0,23128123.0,23128123.0,23128123.0,23128123.0,23128123.0
고흥군 - 녹지지역 - 비율,Statistics,73.15,73.17,73.17,73.16,73.16,73.16,73.16,73.16,70.81,70.81,70.81,70.81,70.81,70.81,70.81
고흥군 - 도시지역 - 면적,Statistics,31675678.0,31672934.0,31672934.0,31675678.0,31675678.0,31675678.0,31675678.0,31675678.0,32660659.0,32660659.0,32660659.0,32660659.0,32660659.0,32660659.0,32660659.0
곡성군 - 녹지지역 - 면적,Statistics,12897409.0,12897409.0,12897409.0,12897409.0,12897409.0,12908145.0,12710181.0,12710181.0,12708507.0,12708507.0,12708507.0,12708507.0,12708507.0,12708507.0,12698670.0
곡성군 - 녹지지역 - 비율,Statistics,83.33,83.33,83.33,83.33,83.33,83.4,82.12,82.12,82.11,82.11,82.11,82.11,82.11,82.11,82.05
곡성군 - 도시지역 - 면적,Statistics,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0,15477288.0
공주시 - 녹지지역 - 면적,Statistics,51137317.0,51084607.0,51084607.0,51084607.0,50228290.0,50229037.0,50229037.0,50240946.0,50235952.0,50235952.0,50235951.0,50235952.0,50235952.0,50235952.0,50235952.0
공주시 - 녹지지역 - 비율,Statistics,87.46,87.37,87.37,86.37,84.56,83.55,83.55,83.57,83.57,83.57,83.57,83.57,83.57,83.57,83.57
공주시 - 도시지역 - 면적,Statistics,58466513.0,58466513.0,58466513.0,59145838.0,59401803.0,60114957.0,60114957.0,60114957.0,60114957.0,60114957.0,60114954.0,60114957.0,60114957.0,60114957.0,60114957.0
과천시 - 녹지지역 - 면적,Statistics,32452829.0,32452829.0,32822300.0,31908099.0,31908099.0,31820129.0,31814154.0,31726669.0,31726669.0,31115748.0,31110023.0,31110023.0,31115112.0,31115112.0,31115112.0
과천시 - 녹지지역 - 비율,Statistics,90.62,90.62,91.55,89.0,89.0,88.75,88.73,88.49,88.49,86.79,86.77,86.77,86.79,86.79,86.79
과천시 - 도시지역 - 면적,Statistics,35813000.0,35813000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0,35853000.0
관악구 - 녹지지역 - 면적,Statistics,17663896.0,17663896.0,17663896.0,17663896.0,17663896.0,17663896.0,17663896.0,17663896.0,13846047.0,13846047.0,13846047.0,13846047.0,13846047.0,13846047.0,13846047.0
관악구 - 녹지지역 - 비율,Statistics,59.74,59.74,59.74,59.74,59.74,59.74,59.74,59.74,46.83,46.83,46.83,46.83,46.83,46.83,46.83
관악구 - 도시지역 - 면적,Statistics,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29570000.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0,29563482.0
광명시 - 녹지지역 - 면적,Statistics,27711388.0,21543366.0,21544284.0,21544284.0,21591112.0,21302262.0,27545171.0,27541642.0,27544201.0,27212829.0,26884378.0,26714921.0,26715255.0,26715255.0,26715255.0
광명시 - 녹지지역 - 비율,Statistics,71.97,55.95,55.95,55.95,56.07,55.32,71.53,71.52,71.53,70.67,69.82,69.38,69.38,69.38,69.38
광명시 - 도시지역 - 면적,Statistics,38506473.0,38506473.0,38506550.0,38506550.0,38506569.0,38506473.0,38506473.0,38506473.0,38506472.0,38506472.0,38506473.0,38506473.0,38506473.0,38506473.0,38506473.0
광산구 - 녹지지역 - 면적,Statistics,163611632.0,163614821.0,163566404.0,163554789.0,163554789.0,163554789.0,163554789.0,157149120.0,156907059.0,157135670.0,157023095.0,156673814.0,156629787.0,156558373.0,156434441.0
광산구 - 녹지지역 - 비율,Statistics,81.02,81.03,81.01,81.01,81.01,81.01,81.01,77.31,77.75,77.83,77.81,77.61,77.62,77.61,77.56
광산구 - 도시지역 - 면적,Statistics,201933331.0,201929181.0,201906112.0,201906112.0,201906113.0,201906113.0,201906113.0,203272589.0,201815081.0,201906112.0,201793538.0,201863790.0,201798359.0,201726606.0,201705958.0
광양시 - 녹지지역 - 면적,Statistics,83996292.0,83996292.0,84002056.0,84035715.0,83995847.0,84009978.0,83776952.0,83672913.0,83341869.0,83341869.0,83341869.0,83348937.0,83381191.0,83416428.0,83376826.0
