item,category,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
남해군 - 면적,Statistics,10775.0,10510.0,11853.0,9134.0,8260.0,7180.0,8023.0,7166.0,7640.0,6581.0,7496.0,7924.0,7006.0,5104.0,6834.0,6870.0,4178.0,4256.0
노원구 - 면적,Statistics,756.0,719.0,1530.0,709.0,502.0,654.0,563.0,1106.0,858.0,1341.0,853.0,827.0,1835.0,982.0,1139.0,385.0,251.0,281.0
논산시 - 면적,Statistics,12837.0,15582.0,18788.0,20681.0,13916.0,12248.0,11507.0,11305.0,11078.0,12890.0,12893.0,11548.0,11045.0,13098.0,13309.0,13423.0,8096.0,7672.0
단양군 - 면적,Statistics,10454.0,10377.0,10381.0,14010.0,12507.0,8040.0,9355.0,8061.0,10668.0,8148.0,10468.0,7782.0,8244.0,9002.0,8629.0,7442.0,4555.0,6326.0
달서구 - 면적,Statistics,2013.0,1909.0,1917.0,1719.0,2373.0,1960.0,1987.0,2337.0,2608.0,1273.0,1853.0,1989.0,1703.0,1980.0,1574.0,1205.0,768.0,747.0
달성군 - 면적,Statistics,12230.0,16804.0,7972.0,8883.0,7875.0,12345.0,8390.0,11985.0,8418.0,10007.0,13445.0,8001.0,5641.0,6812.0,6239.0,5583.0,4361.0,3921.0
담양군 - 면적,Statistics,10011.0,9666.0,8851.0,8246.0,8716.0,10034.0,12160.0,11221.0,11055.0,33898.0,12108.0,24187.0,13164.0,13540.0,11541.0,8891.0,7698.0,6468.0
당진군 - 면적,Statistics,14732.0,18245.0,22970.0,17105.0,16307.0,,,,,,,,,,,,,
당진시 - 면적,Statistics,,,,,,13548.0,15277.0,16740.0,19486.0,17214.0,17282.0,21207.0,19787.0,22117.0,26863.0,19340.0,13287.0,12129.0
대구광역시 - 면적,Statistics,25501.0,28805.0,17143.0,18046.0,18716.0,21988.0,19369.0,26420.0,23123.0,21340.0,26821.0,19423.0,16676.0,19691.0,19410.0,13119.0,12808.0,13931.0
대덕구 - 면적,Statistics,1353.0,1377.0,837.0,1322.0,1247.0,926.0,1002.0,844.0,1251.0,1440.0,1322.0,1231.0,897.0,1298.0,1238.0,771.0,654.0,770.0
대전광역시 - 면적,Statistics,13223.0,12827.0,10641.0,13247.0,11906.0,8858.0,10196.0,9964.0,13666.0,11582.0,11942.0,12139.0,10474.0,13307.0,14228.0,10278.0,6362.0,7319.0
도봉구 - 면적,Statistics,573.0,454.0,413.0,308.0,386.0,291.0,339.0,423.0,782.0,558.0,516.0,1040.0,712.0,572.0,520.0,208.0,213.0,226.0
동구 - 면적,Statistics,158.0,282.0,108.0,141.0,205.0,140.0,139.0,162.0,244.0,242.0,246.0,206.0,279.0,247.0,964.0,182.0,75.0,104.0
동대문구 - 면적,Statistics,1708.0,1242.0,413.0,374.0,364.0,305.0,667.0,599.0,680.0,687.0,929.0,827.0,607.0,616.0,443.0,264.0,473.0,361.0
