item,category,2011,2013,2015,2017,2019,2021,2023
서울특별시 - 계 - 적정함,Statistics,32.3,25.5,24.5,25.5,27.9,30.803,30.314
서울특별시 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 남자 - 매우 부족함,Statistics,15.4,23.1,21.2,21.7,18.1,18.346,13.527
서울특별시 - 남자 - 매우 여유있음,Statistics,2.0,1.0,1.4,1.9,2.1,2.315,2.09
서울특별시 - 남자 - 약간  여유있음,Statistics,19.6,9.9,10.3,13.5,11.8,11.285,15.852
서울특별시 - 남자 - 약간 부족함,Statistics,30.3,39.2,41.1,37.5,39.4,36.732,39.392
서울특별시 - 남자 - 적정함,Statistics,32.7,26.8,26.0,25.4,28.6,31.323,29.14
서울특별시 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
서울특별시 - 여자 - 매우 부족함,Statistics,19.5,29.6,31.6,25.5,27.3,20.223,19.542
서울특별시 - 여자 - 매우 여유있음,Statistics,1.1,1.0,0.8,1.3,0.8,1.681,0.358
서울특별시 - 여자 - 약간  여유있음,Statistics,13.0,5.9,4.6,10.0,7.1,9.051,9.974
서울특별시 - 여자 - 약간 부족함,Statistics,35.1,41.2,42.3,37.5,38.8,39.402,37.284
서울특별시 - 여자 - 적정함,Statistics,31.2,22.2,20.7,25.7,26.1,29.644,32.841
세종특별자치시 - 계 - 계,Statistics,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 계 - 매우 부족함,Statistics,,,16.5,14.6,12.8,12.006,10.276
세종특별자치시 - 계 - 매우 여유있음,Statistics,,,1.0,1.7,1.7,2.515,1.394
세종특별자치시 - 계 - 약간  여유있음,Statistics,,,11.7,17.8,11.7,11.689,17.169
세종특별자치시 - 계 - 약간 부족함,Statistics,,,41.0,35.9,36.7,37.851,40.304
세종특별자치시 - 계 - 적정함,Statistics,,,29.8,30.0,37.1,35.939,30.857
세종특별자치시 - 남자 - 계,Statistics,,,100.0,100.0,100.0,100.0,100.0
세종특별자치시 - 남자 - 매우 부족함,Statistics,,,14.8,12.2,11.0,12.363,10.631
세종특별자치시 - 남자 - 매우 여유있음,Statistics,,,1.0,1.8,1.9,2.26,1.235
세종특별자치시 - 남자 - 약간  여유있음,Statistics,,,13.2,19.0,13.3,12.067,17.412
세종특별자치시 - 남자 - 약간 부족함,Statistics,,,41.7,34.8,35.2,36.024,39.667
