item,category,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
부천시 - 15 - 29세 - 고용률 (%),Statistics,35.9,36.6,37.4,40.4,43.0,44.2,46.3,43.2,45.4,44.6,47.7,45.9
사천시 - 15 - 29세 - 고용률 (%),Statistics,44.4,39.6,36.4,37.7,32.4,33.5,39.1,30.7,27.7,28.1,41.7,39.0
산청군 - 15 - 29세 - 고용률 (%),Statistics,29.8,28.8,42.8,28.6,38.0,37.0,38.1,47.6,40.2,32.3,36.5,40.1
삼척시 - 15 - 29세 - 고용률 (%),Statistics,27.9,21.9,22.5,28.7,24.1,24.4,23.3,28.9,30.0,29.8,35.2,31.8
상주시 - 15 - 29세 - 고용률 (%),Statistics,27.5,29.1,29.1,28.6,37.0,28.8,42.5,29.6,29.2,36.9,24.7,27.7
서귀포시 - 15 - 29세 - 고용률 (%),Statistics,38.4,37.8,39.6,44.7,40.9,42.3,38.2,35.6,37.4,36.0,48.6,43.1
서산시 - 15 - 29세 - 고용률 (%),Statistics,35.0,33.7,31.4,32.1,39.5,42.3,45.9,46.8,47.7,44.3,45.9,46.1
서울 강남구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,39.8,41.2,38.0,40.2
서울 강동구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,46.0,45.1,55.0,51.6
서울 강북구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,45.1,40.0,52.8,51.3
서울 강서구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,50.1,50.0,59.3,56.5
서울 관악구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,50.0,55.0,58.2,53.5
서울 광진구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,43.7,50.8,52.2,53.2
서울 구로구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,47.9,47.3,47.6,48.7
서울 금천구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,54.9,57.1,63.9,65.4
서울 노원구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,36.3,36.6,40.4,40.4
서울 도봉구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,46.6,45.7,42.3,48.8
서울 동대문구 - 15 - 29세 - 고용률 (%),Statistics,,,,,,,,,37.6,42.3,37.5,38.0
