item,category,2009,2011,2013,2015,2017,2019,2021
전라남도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,50.1,70.3,68.4,55.3,54.4,54.6,38.944
전라남도 - 계 - - 자녀교육 등,Statistics,7.4,4.7,6.2,4.4,5.8,5.9,3.61
전라남도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,9.9,3.6,4.4,5.8,3.8,3.4,10.4
전라남도 - 계 - - 환경보전 범죄예방 등,Statistics,34.3,14.8,21.1,28.6,24.4,22.8,32.527
전라남도 - 계 - 참여한 적 있다,Statistics,23.2,21.0,22.1,24.4,20.5,19.6,11.877
전북특별자치도 - 계 - - 국가 및 지역 행사 등,Statistics,8.8,8.3,10.1,4.7,11.7,11.0,6.883
전북특별자치도 - 계 - - 기타 일반인을 위한 봉사,Statistics,22.8,15.2,13.3,26.4,23.9,15.6,16.15
전북특별자치도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,49.6,58.5,67.8,60.1,50.7,50.5,55.482
전북특별자치도 - 계 - - 자녀교육 등,Statistics,9.5,5.4,3.8,4.7,7.2,7.5,6.848
전북특별자치도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,8.3,6.3,8.4,5.1,2.4,5.5,9.935
전북특별자치도 - 계 - - 환경보전 범죄예방 등,Statistics,23.1,21.4,14.4,11.1,18.5,21.7,21.344
전북특별자치도 - 계 - 참여한 적 있다,Statistics,19.3,20.3,18.0,17.8,18.9,17.5,10.645
제주특별자치도 - 계 - - 국가 및 지역 행사 등,Statistics,11.7,7.3,5.3,9.1,13.8,8.7,4.976
제주특별자치도 - 계 - - 기타 일반인을 위한 봉사,Statistics,12.7,13.8,7.4,4.4,17.6,6.3,9.21
제주특별자치도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,54.0,60.1,70.4,69.3,49.7,56.7,53.231
제주특별자치도 - 계 - - 자녀교육 등,Statistics,13.1,6.0,5.0,7.7,9.4,8.9,5.016
제주특별자치도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,12.9,2.7,4.0,2.5,3.7,7.1,10.844
제주특별자치도 - 계 - - 환경보전 범죄예방 등,Statistics,31.7,22.9,19.8,20.1,21.3,36.3,36.654
제주특별자치도 - 계 - 참여한 적 있다,Statistics,23.2,23.9,24.2,24.9,25.8,18.5,9.289
충청남도 - 계 - - 국가 및 지역 행사 등,Statistics,17.2,8.1,8.8,7.6,5.7,9.4,4.759
충청남도 - 계 - - 기타 일반인을 위한 봉사,Statistics,13.0,18.3,13.5,24.4,17.0,6.8,17.762
충청남도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,42.5,59.5,52.8,49.1,61.4,65.1,42.755
충청남도 - 계 - - 자녀교육 등,Statistics,10.5,7.1,5.2,4.1,7.2,7.3,5.115
충청남도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,16.5,9.4,4.7,2.4,4.8,4.7,15.391
충청남도 - 계 - - 환경보전 범죄예방 등,Statistics,27.5,25.6,34.3,27.0,20.4,30.4,31.896
충청남도 - 계 - 참여한 적 있다,Statistics,19.9,20.8,23.0,20.2,17.7,19.5,8.917
충청북도 - 계 - - 국가 및 지역 행사 등,Statistics,10.5,7.1,9.6,5.9,6.5,13.3,7.334
충청북도 - 계 - - 기타 일반인을 위한 봉사,Statistics,10.0,13.1,23.5,6.9,13.2,24.1,19.275
충청북도 - 계 - - 아동 청소년 노인 장애인 재소자 등,Statistics,39.8,56.4,47.4,61.4,55.8,54.5,46.219
충청북도 - 계 - - 자녀교육 등,Statistics,8.9,7.8,3.3,3.0,4.5,7.2,1.326
충청북도 - 계 - - 재해지역 주민돕기 및 시설복구 등,Statistics,15.8,6.5,4.2,5.1,5.0,6.3,19.009
충청북도 - 계 - - 환경보전 범죄예방 등,Statistics,33.7,24.4,34.9,29.6,31.3,18.6,22.9
충청북도 - 계 - 참여한 적 있다,Statistics,19.5,18.4,21.7,21.0,16.6,16.7,8.876
