item,category,2011,2013,2015,2017,2019,2021,2023
경상남도 - 여자 - - 박물관,Statistics,26.7,28.8,31.2,32.7,26.4,20.833,29.381
경상남도 - 여자 - - 스포츠 경기,Statistics,13.1,13.2,11.7,13.6,15.5,10.894,15.682
경상남도 - 여자 - - 연극·마당극·뮤지컬,Statistics,17.4,20.4,18.0,20.1,23.7,10.243,16.392
경상남도 - 여자 - - 영화,Statistics,80.4,86.4,87.3,86.5,86.2,68.22,77.668
경상남도 - 여자 - - 음악·연주회·콘서트,Statistics,26.9,23.6,24.6,24.8,30.7,14.874,38.01
경상남도 - 여자 - · 관람 횟수(평균),Statistics,2.9,2.2,2.3,2.1,2.4,1.804,1.851
경상남도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상남도 - 여자 - 관람함,Statistics,50.7,55.6,65.2,62.2,62.0,21.675,55.555
경상남도 - 여자 - 관람횟수(평균),Statistics,8.6,8.5,8.2,8.8,7.9,4.749,6.422
경상북도 - 계 - - 기타,Statistics,,,,0.1,0.1,,0.397
경상북도 - 계 - - 무용,Statistics,1.9,1.3,1.4,1.4,0.9,0.809,1.851
경상북도 - 계 - - 문학행사,Statistics,,,,,,,7.986
경상북도 - 계 - - 미술관,Statistics,16.3,17.2,18.1,15.8,15.2,13.831,16.711
경상북도 - 계 - - 박물관,Statistics,30.3,29.0,29.2,24.4,24.7,20.36,24.719
경상북도 - 계 - - 스포츠 경기,Statistics,21.4,21.0,19.3,19.3,26.4,20.585,26.213
경상북도 - 계 - - 연극·마당극·뮤지컬,Statistics,19.9,18.3,15.9,19.3,20.0,9.181,16.015
경상북도 - 계 - - 영화,Statistics,74.2,79.2,81.6,86.4,84.9,66.996,73.105
경상북도 - 계 - - 음악·연주회·콘서트,Statistics,22.6,18.8,18.8,19.1,23.6,10.066,26.711
경상북도 - 계 - · 관람 횟수(평균),Statistics,2.1,2.3,2.2,2.4,2.0,2.187,1.876
경상북도 - 계 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 계 - 관람함,Statistics,49.3,51.4,56.9,56.1,56.5,16.115,44.159
경상북도 - 계 - 관람횟수(평균),Statistics,6.7,7.4,7.3,7.7,7.8,3.839,6.065
경상북도 - 남자 - - 기타,Statistics,,,,0.1,0.1,,0.331
경상북도 - 남자 - - 무용,Statistics,2.4,0.6,1.6,0.9,0.8,0.65,0.704
경상북도 - 남자 - - 문학행사,Statistics,,,,,,,7.263
경상북도 - 남자 - - 미술관,Statistics,13.4,14.6,16.3,13.3,13.0,11.884,14.375
경상북도 - 남자 - - 박물관,Statistics,26.0,28.4,27.1,23.7,23.0,18.07,23.24
경상북도 - 남자 - - 스포츠 경기,Statistics,30.9,30.5,26.7,26.9,36.6,31.515,34.54
경상북도 - 남자 - - 연극·마당극·뮤지컬,Statistics,15.5,14.4,12.6,15.5,16.5,7.389,14.411
경상북도 - 남자 - - 영화,Statistics,71.8,78.2,79.6,85.3,82.6,64.21,71.721
경상북도 - 남자 - - 음악·연주회·콘서트,Statistics,18.3,17.1,16.4,16.7,19.3,8.158,20.447
경상북도 - 남자 - · 관람 횟수(평균),Statistics,2.0,2.4,2.1,2.1,1.9,1.813,1.91
경상북도 - 남자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 남자 - 관람함,Statistics,50.6,53.6,59.2,57.8,57.8,17.887,45.592
경상북도 - 남자 - 관람횟수(평균),Statistics,6.6,7.6,7.4,7.4,7.9,4.151,6.295
경상북도 - 여자 - - 기타,Statistics,,,,0.2,0.2,,0.469
경상북도 - 여자 - - 무용,Statistics,1.5,2.0,1.3,1.9,1.1,1.01,3.087
경상북도 - 여자 - - 문학행사,Statistics,,,,,,,8.766
경상북도 - 여자 - - 미술관,Statistics,19.2,20.0,20.1,18.5,17.4,16.288,19.228
경상북도 - 여자 - - 박물관,Statistics,34.7,29.6,31.5,25.1,26.6,23.248,26.313
경상북도 - 여자 - - 스포츠 경기,Statistics,11.6,11.0,11.5,11.4,15.7,6.795,17.236
경상북도 - 여자 - - 연극·마당극·뮤지컬,Statistics,24.5,22.5,19.3,23.3,23.7,11.442,17.745
경상북도 - 여자 - - 영화,Statistics,76.7,80.3,83.6,87.5,87.2,70.511,74.597
경상북도 - 여자 - - 음악·연주회·콘서트,Statistics,27.1,20.7,21.3,21.6,28.1,12.472,33.464
경상북도 - 여자 - · 관람 횟수(평균),Statistics,2.2,2.3,2.3,2.7,2.0,2.497,1.846
경상북도 - 여자 - 계,Statistics,100.0,100.0,100.0,100.0,100.0,100.0,100.0
경상북도 - 여자 - 관람함,Statistics,48.1,49.3,54.7,54.3,55.2,14.324,42.712
경상북도 - 여자 - 관람횟수(평균),Statistics,6.8,7.2,7.3,8.1,7.6,3.445,5.817
광주광역시 - 계 - - 기타,Statistics,,,,,,,0.632
광주광역시 - 계 - - 무용,Statistics,1.2,1.9,2.0,1.2,1.9,1.218,2.046
광주광역시 - 계 - - 문학행사,Statistics,,,,,,,9.689
